timestamp,Movimento
1742909164,Start
1742909166,Stop
1742909180,Start
1742909182,Stop
1742909183,Start
1742909184,Stop
1742909211,Start
1742909211,Stop
1742909213,Start
1742909213,Stop
1742909217,Start
1742909217,Stop
1742909224,Start
1742909226,Stop
1742909231,Start
1742909233,Stop
1742909236,Start
1742909238,Stop
1742909239,Start
1742909239,Stop
1742909239,Start
1742909240,Stop
1742909243,Start
1742909244,Stop
1742909246,Start
1742909247,Stop
1742909257,Start
1742909258,Stop
1742909259,Start
1742909261,Stop
1742909262,Start
1742909264,Stop
1742909266,Start
1742909268,Stop
1742909270,Start
1742909271,Stop
1742909273,Start
1742909274,Stop
1742909274,Start
1742909274,Stop
1742909278,Start
1742909279,Stop
1742909281,Start
1742909282,Stop
1742909284,Start
1742909285,Stop
1742909286,Start
1742909287,Stop
1742909288,Start
1742909289,Stop
1742909290,Start
1742909292,Stop
1742909293,Start
1742909294,Stop
1742909294,Start
1742909296,Stop
1742909297,Start
1742909298,Stop
1742909299,Start
1742909300,Stop
1742909301,Start
1742909302,Stop
1742909303,Start
1742909304,Stop
1742909305,Start
1742909306,Stop
1742909307,Start
1742909308,Stop
1742909309,Start
1742909310,Stop
1742909311,Start
1742909312,Stop
1742909313,Start
1742909314,Stop
1742909315,Start
1742909316,Stop
1742909317,Start
1742909318,Stop
1742909318,Start
1742909320,Stop
1742909321,Start
1742909322,Stop
1742909322,Start
1742909323,Stop
1742909324,Start
1742909325,Stop
1742909326,Start
1742909327,Stop
1742909328,Start
1742909329,Stop
1742909329,Start
1742909330,Stop
1742909331,Start
1742909332,Stop
1742909333,Start
1742909334,Stop
1742909335,Start
1742909336,Stop
1742909337,Start
1742909338,Stop
1742909339,Start
1742909339,Stop
1742909340,Start
1742909340,Stop
1742909341,Start
1742909342,Stop
1742909343,Start
1742909344,Stop
1742909345,Start
1742909346,Stop
1742909349,Start
1742909350,Stop
1742909350,Start
1742909351,Stop
1742909352,Start
1742909353,Stop
1742909354,Start
1742909355,Stop
1742909356,Start
1742909357,Stop
1742909357,Start
1742909358,Stop
1742909359,Start
1742909360,Stop
1742909361,Start
1742909362,Stop
1742909374,Start
1742909375,Stop
1742909376,Start
1742909377,Stop
1742909378,Start
1742909380,Stop
1742909381,Start
1742909382,Stop
1742909383,Start
1742909384,Stop
1742909385,Start
1742909385,Stop
1742909385,Start
1742909386,Stop
1742909387,Start
1742909389,Stop
1742909390,Start
1742909391,Stop
1742909392,Start
1742909394,Stop
1742909395,Start
1742909396,Stop
1742909397,Start
1742909399,Stop
1742909400,Start
1742909401,Stop
1742909402,Start
1742909403,Stop
1742909404,Start
1742909404,Stop
1742909404,Start
1742909406,Stop
1742909407,Start
1742909408,Stop
1742909421,Start
1742909423,Stop
1742909432,Start
1742909435,Stop
1742909436,Start
1742909438,Stop
1742909439,Start
1742909441,Stop
1742909445,Start
1742909445,Stop
1742909451,Start
1742909453,Stop
1742909454,Start
1742909456,Stop
1742909457,Start
1742909458,Stop
1742909459,Start
1742909459,Stop
1742909459,Start
1742909461,Stop
1742909461,Start
1742909463,Stop
1742909464,Start
1742909465,Stop
1742909466,Start
1742909467,Stop
1742909468,Start
1742909469,Stop
1742909470,Start
1742909471,Stop
1742909471,Start
1742909471,Stop
1742909471,Start
1742909473,Stop
1742909473,Start
1742909474,Stop
1742909475,Start
1742909476,Stop
1742909477,Start
1742909478,Stop
1742909478,Start
1742909479,Stop
1742909480,Start
1742909481,Stop
