timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744122151.380381,-2.0,-0.16,0.26,-1.69,5.87,7.46,-0.98,0.0,-0.29,-1.08,-0.58,3.11,0
1744122151.384131,-2.0,-0.17,0.26,-0.61,6.08,7.54,-0.97,-0.01,-0.28,-0.82,-0.77,4.24,0
1744122151.389511,-2.0,-0.17,0.26,0.11,5.71,7.29,-0.98,0.0,-0.28,-1.24,-1.39,4.68,0
1744122151.393022,-2.0,-0.17,0.26,-0.31,5.66,6.66,-0.97,-0.02,-0.28,-1.08,-1.11,4.93,0
1744122151.393022,-2.0,-0.17,0.27,-1.44,5.32,6.36,-0.97,-0.03,-0.28,-0.43,-0.56,4.84,0
1744122151.393022,-2.0,-0.17,0.26,-2.51,5.37,5.69,-0.97,-0.03,-0.29,0.6,0.64,4.47,0
1744122151.4034,-2.0,-0.17,0.27,-2.66,4.46,5.38,-0.98,-0.02,-0.27,-0.02,0.5,4.04,0
1744122151.409797,-2.0,-0.18,0.29,-2.5,4.16,5.42,-0.97,-0.02,-0.27,-1.35,0.36,4.2,0
1744122151.409797,-2.0,-0.19,0.27,-1.63,3.86,5.46,-0.97,-0.02,-0.26,-1.97,-0.21,4.54,0
1744122151.409797,-2.0,-0.19,0.26,-0.96,3.57,5.06,-0.97,-0.03,-0.27,-1.57,-0.42,5.6,0
1744122151.417352,-2.0,-0.18,0.27,-0.55,3.22,4.35,-0.96,-0.04,-0.28,0.71,1.05,5.95,0
1744122151.420567,-2.0,-0.18,0.27,-0.56,2.89,3.56,-0.97,-0.04,-0.26,1.66,0.87,5.99,0
1744122151.428661,-2.0,-0.17,0.27,-0.53,2.89,2.57,-0.96,-0.04,-0.26,1.87,0.91,4.85,0
1744122151.428661,-2.0,-0.17,0.27,-0.84,2.27,2.18,-0.95,-0.04,-0.28,1.23,1.14,3.81,0
1744122151.428661,-2.0,-0.16,0.27,-2.31,2.22,2.48,-0.95,-0.04,-0.26,0.08,1.29,2.45,0
1744122151.428661,-2.0,-0.16,0.25,-3.4,1.73,2.75,-0.96,-0.03,-0.27,-0.24,0.93,2.31,0
1744122151.4401,-2.0,-0.16,0.25,-3.76,0.79,2.38,-0.96,-0.03,-0.27,-0.04,1.32,2.12,0
1744122151.447521,-2.0,-0.17,0.26,-3.55,0.6,2.59,-0.96,-0.04,-0.27,0.53,1.19,2.31,0
1744122151.447521,-2.0,-0.16,0.26,-2.6,0.79,1.89,-0.97,-0.05,-0.27,1.66,2.21,1.78,0
1744122151.450532,-2.0,-0.15,0.24,-2.31,1.13,1.68,-0.98,-0.03,-0.27,1.39,2.88,0.79,0
1744122151.461421,-2.0,-0.16,0.26,-2.73,0.79,1.54,-0.99,-0.02,-0.27,0.22,2.73,-0.14,0
1744122151.465549,-2.0,-0.14,0.24,-3.14,0.53,1.55,-0.99,-0.01,-0.27,-1.73,2.15,-0.5,0
1744122151.466486,-2.0,-0.14,0.25,-3.49,-0.56,2.02,-0.99,-0.01,-0.27,-2.67,0.89,-0.63,0
1744122151.475678,-2.0,-0.14,0.25,-4.42,-0.47,2.13,-0.98,-0.02,-0.27,-1.18,2.05,0.42,0
1744122151.477889,-2.0,-0.14,0.25,-5.24,-0.39,2.56,-0.99,0.01,-0.24,-0.71,2.15,1.24,0
1744122151.477889,-2.0,-0.15,0.23,-4.98,0.07,2.98,-0.98,-0.0,-0.24,-0.84,1.54,2.34,0
1744122151.484026,-2.0,-0.16,0.24,-4.24,-0.45,3.27,-0.98,-0.0,-0.25,-0.44,1.31,2.79,0
1744122151.492894,-2.0,-0.15,0.23,-3.11,-0.5,3.3,-0.98,-0.0,-0.25,0.12,1.0,3.16,0
1744122151.492894,-2.0,-0.14,0.23,-2.38,-0.38,3.37,-0.98,-0.0,-0.27,0.66,1.63,3.52,0
1744122151.498765,-2.0,-0.14,0.24,-2.59,-0.22,3.51,-0.98,-0.01,-0.26,0.53,1.84,3.5,0
1744122151.498765,-2.0,-0.14,0.23,-2.66,-0.11,3.53,-0.98,-0.01,-0.25,-0.48,1.21,3.11,0
1744122151.498765,-2.0,-0.14,0.24,-2.81,-0.08,3.92,-0.98,-0.0,-0.26,-1.24,1.45,2.69,0
1744122151.510052,-2.0,-0.14,0.24,-3.2,0.27,4.4,-0.99,-0.01,-0.26,-1.76,0.34,2.69,0
1744122151.510052,-2.0,-0.15,0.24,-2.95,0.23,5.21,-0.98,-0.01,-0.26,-1.26,0.66,3.0,0
1744122151.510052,-2.0,-0.14,0.25,-2.4,0.28,5.77,-0.97,-0.01,-0.26,-0.5,0.89,3.21,0
1744122151.510052,-2.0,-0.15,0.24,-1.74,0.08,5.91,-0.97,-0.0,-0.27,0.04,0.59,4.07,0
1744122151.519093,-2.0,-0.16,0.24,-1.14,0.24,5.77,-0.97,0.0,-0.27,-1.14,1.43,3.66,0
1744122151.521151,-2.0,-0.16,0.24,-1.21,0.51,5.31,-0.98,-0.02,-0.27,-1.69,1.58,2.93,0
1744122151.525287,-2.0,-0.17,0.24,-1.77,1.15,4.81,-0.98,-0.0,-0.27,-2.63,1.72,2.27,0
1744122151.529509,-2.0,-0.16,0.24,-2.94,2.15,3.92,-0.99,-0.02,-0.28,-2.68,1.61,1.89,0
1744122151.53007,-2.0,-0.16,0.25,-4.41,2.82,3.37,-0.99,-0.0,-0.26,-3.21,0.76,2.04,0
1744122151.53007,-2.0,-0.16,0.25,-5.59,3.46,3.16,-0.99,-0.01,-0.27,-3.04,0.41,2.28,0
1744122151.533579,-2.0,-0.17,0.26,-5.16,3.57,2.75,-0.99,-0.01,-0.27,-2.65,0.05,2.4,0
1744122151.541274,-2.0,-0.16,0.27,-4.21,3.44,2.5,-0.98,-0.01,-0.27,-1.72,0.26,2.5,0
1744122151.545265,-2.0,-0.16,0.27,-3.89,3.3,2.54,-0.98,-0.02,-0.28,-0.76,0.53,2.11,0
1744122151.545265,-2.0,-0.16,0.26,-3.95,2.98,3.19,-0.97,-0.02,-0.27,-0.79,0.67,1.46,0
1744122151.550823,-2.0,-0.15,0.27,-3.96,2.87,3.79,-0.98,-0.02,-0.27,-1.34,0.21,0.88,0
1744122151.552793,-2.0,-0.15,0.26,-3.54,3.71,4.39,-0.98,-0.01,-0.27,-1.86,-0.36,0.37,0
1744122151.561137,-2.0,-0.15,0.27,-3.13,4.76,4.37,-0.99,-0.03,-0.28,-2.07,-1.07,-0.1,0
1744122151.561137,-2.0,-0.16,0.27,-2.32,5.73,4.39,-0.98,-0.02,-0.28,-1.66,-1.04,-0.5,0
1744122151.561137,-2.0,-0.19,0.29,-0.84,5.89,3.85,-0.99,-0.02,-0.28,-0.98,-0.81,-0.66,0
1744122151.570286,-2.0,-0.17,0.28,0.05,5.82,3.1,-0.99,-0.01,-0.28,-0.89,-1.53,-0.86,0
1744122151.573531,-2.0,-0.16,0.29,0.07,5.37,2.69,-0.98,-0.01,-0.29,-0.4,-1.96,-1.11,0
1744122151.577645,-2.0,-0.15,0.28,-0.92,4.97,2.74,-0.97,-0.01,-0.29,0.91,-2.21,-0.94,0
1744122151.58319,-2.0,-0.15,0.27,-2.11,6.2,3.0,-0.97,-0.02,-0.29,2.85,-2.51,-0.76,0
1744122151.5857,-2.0,-0.15,0.28,-2.53,7.15,3.18,-0.98,-0.02,-0.3,4.89,-2.79,-0.79,0
1744122151.593915,-2.0,-0.15,0.27,-2.1,8.08,3.2,-0.99,-0.01,-0.31,5.11,-3.48,-1.8,0
1744122151.596794,-2.0,-0.16,0.27,-0.59,8.42,3.54,-0.99,0.0,-0.3,2.59,-4.91,-3.01,0
1744122151.601349,-2.0,-0.15,0.28,1.04,8.77,3.71,-0.99,-0.0,-0.32,0.15,-6.23,-3.98,0
1744122151.608452,-2.0,-0.15,0.28,1.97,9.89,4.18,-0.99,-0.0,-0.32,0.05,-6.72,-4.15,0
1744122151.609964,-2.0,-0.15,0.27,2.94,11.24,3.93,-0.99,0.01,-0.32,2.1,-6.49,-3.1,0
1744122151.609964,-2.0,-0.15,0.28,4.11,11.32,3.85,-0.99,0.01,-0.32,5.36,-6.11,-0.95,0
1744122151.609964,-2.0,-0.15,0.28,4.68,12.2,4.28,-0.99,0.01,-0.32,8.49,-6.28,1.05,0
1744122151.617161,-2.0,-0.15,0.29,5.63,12.01,4.71,-0.99,0.01,-0.32,10.48,-5.87,2.53,0
