timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746817818.802048,-2.0,-0.44,-0.47,-14.2,2.84,-0.53,-0.96,0.26,-0.32,57.77,-17.08,5.34,0
1746817818.804178,-2.0,-0.44,-0.45,-12.89,4.05,-0.62,-0.94,0.29,-0.32,47.95,-14.37,-0.25,0
1746817818.805976,-2.0,-0.42,-0.43,-12.19,2.85,-0.67,-0.91,0.33,-0.32,35.1,-13.77,-4.31,0
1746817818.807677,-2.0,-0.39,-0.42,-13.33,-0.93,0.81,-0.89,0.35,-0.33,18.54,-13.15,-5.4,0
1746817818.809717,-2.0,-0.4,-0.44,-15.47,-3.21,3.23,-0.88,0.34,-0.33,7.87,-11.79,-4.72,0
1746817818.810677,-2.0,-0.4,-0.46,-16.99,-4.9,5.92,-0.88,0.35,-0.34,-0.98,-11.46,-4.15,0
1746817818.811677,-2.0,-0.42,-0.48,-16.89,-4.42,7.69,-0.87,0.37,-0.34,-13.69,-11.17,-2.42,0
1746817818.812186,-2.0,-0.45,-0.48,-14.09,-4.63,10.13,-0.88,0.37,-0.36,-27.79,-9.36,-0.69,0
1746817818.8144,-2.0,-0.49,-0.47,-7.4,-5.82,12.38,-0.9,0.37,-0.36,-47.08,-8.5,-0.6,0
1746817818.8154,-2.0,-0.51,-0.47,1.56,-8.14,13.83,-0.94,0.41,-0.37,-75.99,-9.82,-2.85,0
1746817818.8164,-2.0,-0.5,-0.48,8.87,-9.86,13.47,-0.93,0.23,-0.41,-95.05,-7.72,-2.45,0
1746817818.817318,-2.0,-0.49,-0.49,12.91,-9.85,11.83,-0.96,0.17,-0.38,-93.76,1.51,-4.46,0
1746817818.81938,-2.0,-0.46,-0.48,11.48,-9.17,8.57,-0.98,0.17,-0.35,-87.52,4.66,-8.56,0
1746817818.82038,-2.0,-0.42,-0.49,5.27,-7.4,3.82,-0.97,0.24,-0.33,-87.98,6.91,-12.8,0
1746817818.821321,-2.0,-0.39,-0.48,-4.15,-4.69,-1.07,-0.97,0.36,-0.3,-107.59,3.63,-17.59,0
1746817818.822349,-2.0,-0.38,-0.48,-14.09,-2.08,-4.19,-0.96,0.48,-0.29,-151.14,-3.3,-22.87,0
1746817818.823414,-2.0,-0.39,-0.46,-19.55,-0.72,-5.32,-0.92,0.53,-0.32,-206.87,-10.22,-27.11,0
1746817818.824373,-2.0,-0.42,-0.46,-19.16,-2.27,-5.47,-0.9,0.46,-0.37,-250.14,-9.32,-27.5,0
1746817818.825363,-2.0,-0.41,-0.47,-17.44,-2.19,-4.67,-0.87,0.34,-0.38,-250.14,-4.44,-27.35,0
1746817818.826353,-2.0,-0.4,-0.47,-16.98,-0.32,-3.05,-0.87,0.21,-0.38,-250.14,2.79,-25.83,0
1746817818.827363,-2.0,-0.42,-0.48,-15.58,-0.18,-0.31,-0.88,0.11,-0.35,-250.14,8.96,-24.37,0
1746817818.828362,-2.0,-0.44,-0.47,-11.79,-0.8,2.72,-0.9,0.01,-0.32,-239.29,13.73,-22.27,0
1746817818.829362,-2.0,-0.48,-0.46,-4.85,-2.22,4.96,-0.9,-0.04,-0.28,-191.49,18.61,-19.03,0
1746817818.830353,-2.0,-0.47,-0.46,1.94,-3.69,7.02,-0.93,-0.05,-0.23,-140.89,21.67,-14.17,0
1746817818.831859,-2.0,-0.45,-0.47,4.82,-3.11,7.55,-0.95,0.05,-0.14,-100.69,20.99,-7.91,0
1746817818.833078,-2.0,-0.45,-0.46,4.09,-3.12,7.32,-0.95,0.09,-0.15,-66.31,23.39,-2.3,0
1746817818.833078,-2.0,-0.44,-0.45,2.95,-3.48,6.05,-0.99,0.09,-0.14,-42.66,20.01,2.6,0
1746817818.834081,-2.0,-0.45,-0.44,1.37,-3.82,3.8,-0.99,0.14,-0.14,-25.54,18.95,5.68,0
1746817818.835225,-2.0,-0.43,-0.45,-0.82,-3.6,1.6,-0.99,0.13,-0.14,-13.93,16.72,7.38,0
1746817818.83623,-2.0,-0.43,-0.46,-5.3,-2.34,-0.46,-0.99,0.17,-0.12,-7.29,17.6,8.92,0
1746817818.837227,-2.0,-0.42,-0.45,-10.09,-0.78,-2.18,-0.98,0.18,-0.13,-6.2,17.25,9.58,0
1746817818.838229,-2.0,-0.43,-0.44,-12.93,-0.7,-3.76,-0.97,0.18,-0.12,-4.83,17.31,10.01,0
1746817818.839229,-2.0,-0.43,-0.44,-13.18,-0.61,-4.53,-0.96,0.18,-0.13,-5.99,16.71,10.01,0
1746817818.840231,-2.0,-0.43,-0.44,-11.4,-0.72,-4.23,-0.97,0.18,-0.13,-6.73,14.63,9.8,0
1746817818.840231,-2.0,-0.43,-0.45,-9.45,-0.6,-3.34,-0.95,0.17,-0.14,-7.08,13.62,9.27,0
1746817818.841757,-2.0,-0.44,-0.45,-7.36,-0.71,-2.13,-0.96,0.16,-0.16,-6.87,13.05,8.69,0
1746817818.842852,-2.0,-0.45,-0.44,-4.24,-1.85,-1.18,-0.95,0.14,-0.16,-5.31,13.43,8.0,0
1746817818.842852,-2.0,-0.45,-0.44,-1.1,-3.19,-0.88,-0.94,0.12,-0.19,-1.92,17.09,7.55,0
1746817818.843858,-2.0,-0.43,-0.45,-0.09,-4.13,0.02,-0.94,0.13,-0.17,1.15,17.78,5.95,0
1746817818.844859,-2.0,-0.43,-0.45,-1.12,-2.89,0.81,-0.94,0.14,-0.18,3.05,19.85,4.4,0
1746817818.845859,-2.0,-0.44,-0.46,-2.07,-3.79,1.16,-0.94,0.15,-0.17,2.47,21.31,2.34,0
1746817818.846749,-2.0,-0.46,-0.45,-3.35,-5.34,-0.06,-0.94,0.16,-0.16,-1.18,21.6,-0.98,0
1746817818.847779,-2.0,-0.46,-0.47,-4.69,-4.87,-0.73,-0.97,0.16,-0.15,-7.46,20.41,-4.98,0
1746817818.84878,-2.0,-0.47,-0.49,-7.47,-3.21,-1.0,-1.0,0.16,-0.14,-15.57,18.13,-9.76,0
1746817818.849779,-2.0,-0.46,-0.49,-8.6,-0.47,-1.09,-1.03,0.18,-0.13,-24.69,14.95,-14.66,0
1746817818.851285,-2.0,-0.48,-0.49,-8.58,4.12,0.06,-1.05,0.15,-0.13,-31.0,11.69,-18.52,0
1746817818.851285,-2.0,-0.49,-0.45,-6.41,5.82,1.71,-1.06,0.14,-0.14,-32.74,9.02,-21.17,0
1746817818.852332,-2.0,-0.51,-0.44,-2.12,5.95,3.37,-1.06,0.14,-0.14,-30.79,6.67,-21.97,0
1746817818.853329,-2.0,-0.51,-0.43,1.76,7.08,4.68,-1.05,0.14,-0.15,-25.77,4.6,-21.2,0
1746817818.854345,-2.0,-0.5,-0.43,3.3,9.23,5.54,-1.04,0.14,-0.15,-18.03,2.91,-19.0,0
1746817818.854345,-2.0,-0.47,-0.42,3.05,12.15,6.06,-1.01,0.14,-0.15,-9.13,1.69,-15.95,0
1746817818.855352,-2.0,-0.48,-0.42,0.38,15.61,6.6,-0.99,0.15,-0.16,-0.04,0.3,-12.66,0
