timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746817074.519178,-2.0,-0.18,-0.01,-5.9,1.49,3.61,-0.95,0.11,-0.06,-0.72,-0.25,3.41,0
1746817074.521497,-2.0,-0.17,-0.01,-6.77,1.34,3.47,-0.96,0.12,-0.06,-0.62,-0.16,3.42,0
1746817074.523542,-2.0,-0.18,-0.01,-7.84,1.58,3.44,-0.95,0.12,-0.05,-0.34,-0.1,3.23,0
1746817074.52449,-2.0,-0.18,-0.02,-8.73,1.67,3.42,-0.96,0.12,-0.06,-0.09,0.29,3.18,0
1746817074.526676,-2.0,-0.18,-0.02,-9.81,1.68,3.56,-0.95,0.11,-0.06,-0.04,0.57,2.86,0
1746817074.52768,-2.0,-0.18,-0.02,-10.24,1.82,3.59,-0.95,0.11,-0.06,-0.02,0.63,2.44,0
1746817074.528825,-2.0,-0.18,-0.02,-10.82,1.9,3.57,-0.95,0.12,-0.06,0.02,0.73,2.47,0
1746817074.52985,-2.0,-0.17,-0.02,-10.95,1.75,3.43,-0.95,0.12,-0.04,0.09,0.72,2.06,0
1746817074.531289,-2.0,-0.18,-0.02,-10.45,1.21,3.5,-0.96,0.12,-0.05,0.31,0.9,1.99,0
1746817074.532464,-2.0,-0.18,-0.02,-10.45,1.2,3.71,-0.96,0.12,-0.06,0.63,0.86,1.98,0
1746817074.533466,-2.0,-0.18,-0.03,-11.0,1.4,4.09,-0.96,0.12,-0.07,0.73,1.07,1.73,0
1746817074.53447,-2.0,-0.18,-0.04,-11.69,2.28,4.24,-0.96,0.12,-0.06,0.64,1.63,1.31,0
1746817074.535467,-2.0,-0.18,-0.03,-11.82,2.91,4.47,-0.96,0.12,-0.06,0.14,1.43,1.18,0
1746817074.536473,-2.0,-0.19,-0.03,-11.56,3.01,4.85,-0.96,0.13,-0.05,-0.38,1.5,1.06,0
1746817074.537467,-2.0,-0.19,-0.02,-10.26,2.21,4.76,-0.96,0.12,-0.04,-0.41,1.88,0.89,0
1746817074.537467,-2.0,-0.19,-0.02,-9.68,1.76,4.73,-0.95,0.13,-0.06,-0.28,1.59,0.6,0
1746817074.53909,-2.0,-0.18,-0.03,-9.96,2.03,4.27,-0.96,0.13,-0.06,-0.82,1.54,0.5,0
1746817074.540095,-2.0,-0.18,-0.03,-11.11,2.71,4.05,-0.96,0.13,-0.04,-1.36,1.63,0.52,0
1746817074.541094,-2.0,-0.18,-0.04,-12.74,3.01,4.0,-0.97,0.12,-0.05,-1.88,1.75,0.15,0
1746817074.542094,-2.0,-0.19,-0.03,-12.56,3.27,4.02,-0.96,0.13,-0.05,-1.93,1.68,-0.06,0
1746817074.543107,-2.0,-0.19,-0.01,-11.71,2.9,3.79,-0.95,0.12,-0.05,-2.06,1.4,-0.34,0
1746817074.543107,-2.0,-0.19,-0.03,-10.95,2.81,4.19,-0.96,0.13,-0.04,-2.53,1.37,-0.6,0
1746817074.545096,-2.0,-0.18,-0.03,-10.64,3.27,4.71,-0.96,0.13,-0.05,-3.5,1.18,-0.78,0
1746817074.546093,-2.0,-0.19,-0.03,-10.67,3.32,4.76,-0.95,0.14,-0.04,-4.15,1.27,-0.85,0
1746817074.547095,-2.0,-0.19,-0.03,-10.28,3.08,5.24,-0.96,0.13,-0.04,-4.07,1.02,-0.66,0
1746817074.547095,-2.0,-0.19,-0.01,-10.01,2.45,5.68,-0.97,0.14,-0.03,-4.05,0.85,-0.28,0
