timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746816750.204135,-2.0,-0.36,-0.76,-6.98,0.15,-0.82,-0.94,0.4,-0.35,-5.85,0.07,7.53,0
1746816750.20509,-2.0,-0.36,-0.75,-8.46,0.36,-0.92,-0.93,0.39,-0.38,-5.61,-0.43,9.44,0
1746816750.207092,-2.0,-0.37,-0.76,-10.4,4.6,0.73,-0.89,0.38,-0.41,-5.32,-5.09,10.31,0
1746816750.209093,-2.0,-0.37,-0.76,-9.54,7.15,4.5,-0.88,0.37,-0.43,-4.75,-5.26,11.59,0
1746816750.210094,-2.0,-0.38,-0.75,-7.84,6.41,7.73,-0.89,0.36,-0.42,-4.15,-9.15,12.48,0
1746816750.21109,-2.0,-0.39,-0.75,-5.03,5.95,10.0,-0.86,0.34,-0.46,-3.24,-3.63,13.19,0
1746816750.212118,-2.0,-0.38,-0.76,-3.51,3.73,10.31,-0.87,0.33,-0.46,-2.38,-7.2,12.1,0
1746816750.213365,-2.0,-0.38,-0.76,-2.77,2.53,10.56,-0.88,0.33,-0.44,-2.64,-5.68,10.83,0
1746816750.21408,-2.0,-0.38,-0.77,-3.69,0.56,10.04,-0.87,0.33,-0.47,-2.78,-0.73,9.07,0
1746816750.215085,-2.0,-0.37,-0.77,-5.4,-2.34,9.44,-0.86,0.32,-0.46,-4.24,-4.52,6.63,0
1746816750.216094,-2.0,-0.37,-0.77,-8.01,-2.37,7.53,-0.87,0.33,-0.45,-4.81,-1.68,4.54,0
1746816750.216094,-2.0,-0.38,-0.77,-8.47,-0.56,5.99,-0.87,0.34,-0.44,-3.92,-2.26,2.65,0
1746816750.217084,-2.0,-0.38,-0.76,-9.49,-2.71,5.02,-0.87,0.34,-0.44,-5.02,-1.56,0.24,0
1746816750.218084,-2.0,-0.38,-0.75,-9.33,-1.4,4.08,-0.87,0.34,-0.44,-5.79,2.07,-0.92,0
1746816750.218084,-2.0,-0.38,-0.75,-9.17,-3.35,4.88,-0.86,0.34,-0.43,-5.92,-0.66,-1.68,0
1746816750.219083,-2.0,-0.38,-0.74,-7.73,-0.93,5.0,-0.89,0.34,-0.42,-3.77,0.01,-1.4,0
1746816750.220084,-2.0,-0.39,-0.74,-6.28,-5.18,6.84,-0.88,0.34,-0.43,-1.76,1.61,-1.08,0
1746816750.221094,-2.0,-0.37,-0.74,-6.57,-5.42,7.03,-0.89,0.36,-0.4,-3.65,-0.72,-1.84,0
1746816750.221094,-2.0,-0.37,-0.76,-7.21,-4.59,7.13,-0.89,0.36,-0.4,-3.37,1.04,-2.59,0
1746816750.222148,-2.0,-0.37,-0.76,-8.87,-1.56,6.28,-0.87,0.36,-0.44,-4.12,3.42,-3.13,0
1746816750.222148,-2.0,-0.38,-0.76,-9.4,0.77,5.55,-0.89,0.36,-0.41,-3.85,1.08,-3.77,0
1746816750.223542,-2.0,-0.38,-0.75,-10.44,4.82,3.75,-0.87,0.37,-0.42,-3.41,5.44,-3.24,0
1746816750.224542,-2.0,-0.39,-0.74,-8.72,3.02,4.15,-0.88,0.37,-0.4,-2.1,5.18,-2.98,0
1746816750.225564,-2.0,-0.39,-0.76,-8.95,6.13,3.78,-0.89,0.37,-0.41,-1.42,4.21,-2.8,0
1746816750.22655,-2.0,-0.4,-0.75,-6.29,2.71,6.72,-0.9,0.37,-0.39,-0.92,3.94,-2.57,0
1746816750.227542,-2.0,-0.4,-0.74,-5.61,2.24,7.6,-0.89,0.37,-0.39,-0.68,2.69,-2.74,0
1746816750.228543,-2.0,-0.39,-0.75,-4.98,1.44,7.93,-0.91,0.38,-0.38,-0.55,5.08,-2.54,0
1746816750.229543,-2.0,-0.37,-0.76,-6.28,1.73,6.4,-0.89,0.38,-0.41,-1.34,4.66,-2.39,0
1746816750.230552,-2.0,-0.37,-0.75,-6.59,1.84,4.97,-0.92,0.39,-0.37,-1.95,4.26,-1.98,0
1746816750.230552,-2.0,-0.39,-0.76,-7.31,3.71,3.99,-0.9,0.38,-0.4,1.8,0.61,-1.52,0
1746816750.231541,-2.0,-0.38,-0.77,-7.56,3.98,3.93,-0.92,0.38,-0.38,-0.3,7.12,-1.08,0
1746816750.2326,-2.0,-0.37,-0.78,-8.45,3.67,3.08,-0.9,0.39,-0.4,-1.94,3.47,-1.44,0
1746816750.2336,-2.0,-0.37,-0.77,-9.34,4.73,1.99,-0.92,0.39,-0.38,-2.14,3.13,-1.44,0
1746816750.2336,-2.0,-0.39,-0.77,-8.57,4.66,2.31,-0.91,0.38,-0.39,-1.48,3.95,-0.98,0
1746816750.234598,-2.0,-0.38,-0.76,-6.5,3.79,3.59,-0.89,0.37,-0.4,-1.4,2.63,-1.09,0
1746816750.235598,-2.0,-0.37,-0.76,-5.99,5.3,3.1,-0.89,0.37,-0.39,-0.52,1.14,-0.95,0
1746816750.236609,-2.0,-0.37,-0.75,-6.06,4.4,3.16,-0.89,0.38,-0.41,-1.6,4.06,-1.28,0
1746816750.236609,-2.0,-0.38,-0.76,-6.79,4.05,3.28,-0.89,0.37,-0.41,-1.19,3.5,-2.02,0
1746816750.237598,-2.0,-0.37,-0.76,-6.76,5.88,3.88,-0.88,0.38,-0.43,-1.38,4.2,-1.24,0
1746816750.238598,-2.0,-0.37,-0.77,-8.5,4.82,4.07,-0.88,0.37,-0.42,-2.15,0.7,-1.01,0
1746816750.238598,-2.0,-0.37,-0.78,-9.53,4.73,3.69,-0.88,0.37,-0.42,-0.14,6.38,0.27,0
1746816750.239597,-2.0,-0.38,-0.77,-10.56,5.63,2.89,-0.88,0.38,-0.42,-0.13,2.15,1.0,0
1746816750.239597,-2.0,-0.37,-0.76,-10.95,4.27,1.65,-0.89,0.38,-0.42,0.24,6.05,1.98,0
1746816750.241103,-2.0,-0.37,-0.77,-11.26,3.62,-0.64,-0.89,0.37,-0.41,1.63,3.47,2.48,0
1746816750.243121,-2.0,-0.38,-0.75,-10.84,2.72,-2.92,-0.87,0.37,-0.43,0.44,9.66,2.54,0
1746816750.243121,-2.0,-0.38,-0.75,-10.02,2.51,-4.08,-0.88,0.37,-0.42,0.89,2.83,2.24,0
1746816750.244124,-2.0,-0.37,-0.76,-9.5,0.69,-4.06,-0.89,0.37,-0.41,-0.67,0.99,1.8,0
1746816750.245124,-2.0,-0.38,-0.76,-8.34,-0.95,-2.39,-0.89,0.36,-0.42,-1.36,3.68,1.65,0
1746816750.245705,-2.0,-0.39,-0.75,-7.82,-1.01,0.7,-0.88,0.37,-0.43,-2.86,-0.14,1.19,0
1746816750.246717,-2.0,-0.39,-0.76,-7.06,-2.47,4.13,-0.9,0.37,-0.41,-2.1,-0.21,1.49,0
1746816750.247721,-2.0,-0.39,-0.76,-6.75,-1.25,5.92,-0.89,0.38,-0.43,-2.7,-0.49,1.66,0
1746816750.247721,-2.0,-0.39,-0.76,-7.53,0.74,4.46,-0.89,0.37,-0.43,-3.71,-0.14,1.53,0
1746816750.248737,-2.0,-0.4,-0.75,-6.82,2.5,-0.66,-0.89,0.37,-0.45,-4.46,-0.21,2.01,0
1746816750.249797,-2.0,-0.4,-0.77,-6.32,2.83,-12.18,-0.89,0.36,-0.43,-2.95,-0.03,2.96,0
1746816750.249797,-2.0,-0.39,-0.78,-4.68,3.77,-27.76,-0.89,0.37,-0.43,-1.82,-0.15,3.65,0
1746816750.251303,-2.0,-0.37,-0.77,-3.78,5.66,-49.61,-0.89,0.37,-0.44,-2.85,1.18,3.89,0
1746816750.252353,-2.0,-0.37,-0.76,-1.72,5.6,-84.43,-0.89,0.36,-0.44,-2.56,0.75,4.3,0
1746816750.253355,-2.0,-0.4,-0.77,2.37,5.82,-125.1,-0.89,0.36,-0.44,-2.15,0.94,4.85,0
1746816750.253355,-2.0,-0.46,-0.77,9.27,8.67,-157.23,-0.89,0.35,-0.45,-1.83,2.81,4.81,0
1746816750.254508,-2.0,-0.52,-0.76,15.06,8.95,-172.17,-0.87,0.36,-0.46,-1.95,3.02,4.45,0
1746816750.255512,-2.0,-0.54,-0.76,19.56,2.0,-165.6,-0.87,0.35,-0.45,-3.91,1.32,3.85,0
1746816750.256527,-2.0,-0.53,-0.78,21.0,2.6,-147.48,-0.88,0.34,-0.44,-3.5,3.17,3.96,0
1746816750.256527,-2.0,-0.52,-0.76,18.89,0.66,-121.46,-0.88,0.33,-0.44,-2.89,1.59,3.05,0
1746816750.257548,-2.0,-0.49,-0.75,18.99,-2.12,-95.62,-0.89,0.34,-0.43,-3.33,3.01,2.24,0
1746816750.258568,-2.0,-0.44,-0.74,19.27,-0.98,-77.89,-0.89,0.34,-0.41,-3.99,2.47,1.53,0
1746816750.259592,-2.0,-0.41,-0.75,19.02,-4.37,-70.32,-0.89,0.34,-0.39,-4.47,1.38,0.66,0
1746816750.261102,-2.0,-0.4,-0.75,18.0,-6.98,-67.39,-0.89,0.34,-0.41,-4.05,3.96,0.13,0
1746816750.262135,-2.0,-0.41,-0.76,17.01,-10.76,-64.37,-0.88,0.34,-0.42,-3.24,1.91,-0.87,0
1746816750.263251,-2.0,-0.42,-0.74,16.72,-15.76,-59.97,-0.89,0.35,-0.41,-4.44,3.53,-1.26,0
1746816750.263251,-2.0,-0.41,-0.74,14.76,-16.26,-57.47,-0.9,0.34,-0.41,-3.14,3.23,-1.59,0
1746816750.264263,-2.0,-0.41,-0.73,13.08,-15.82,-55.63,-0.89,0.35,-0.42,-2.44,4.02,-1.59,0
1746816750.265377,-2.0,-0.39,-0.72,10.96,-14.24,-56.27,-0.91,0.34,-0.41,-2.33,2.5,-1.71,0
1746816750.266379,-2.0,-0.4,-0.73,9.12,-11.44,-60.19,-0.92,0.35,-0.39,-1.28,1.08,-1.26,0
1746816750.267082,-2.0,-0.38,-0.73,5.89,-10.14,-66.54,-0.9,0.35,-0.42,-0.21,2.46,-0.82,0
1746816750.268107,-2.0,-0.42,-0.72,4.4,-8.68,-71.18,-0.9,0.35,-0.44,1.18,3.11,-0.22,0
1746816750.26912,-2.0,-0.44,-0.7,3.68,-9.95,-70.73,-0.9,0.36,-0.43,1.18,4.05,0.24,0
1746816750.270312,-2.0,-0.44,-0.72,4.02,-11.44,-67.14,-0.89,0.36,-0.44,0.55,1.46,0.42,0
1746816750.270312,-2.0,-0.42,-0.71,4.02,-11.57,-62.67,-0.91,0.36,-0.42,1.63,2.53,1.12,0
1746816750.271303,-2.0,-0.4,-0.72,4.26,-12.21,-59.41,-0.89,0.37,-0.43,1.87,4.09,1.37,0
1746816750.272862,-2.0,-0.39,-0.71,3.64,-10.95,-59.42,-0.9,0.37,-0.42,1.63,3.6,1.63,0
1746816750.272862,-2.0,-0.4,-0.7,2.98,-8.6,-59.24,-0.9,0.37,-0.42,1.02,3.44,1.64,0
1746816750.273881,-2.0,-0.41,-0.71,3.24,-6.53,-57.99,-0.89,0.35,-0.43,0.95,0.74,2.05,0
1746816750.274887,-2.0,-0.41,-0.71,3.57,-5.31,-55.99,-0.89,0.36,-0.42,0.66,0.04,2.45,0
1746816750.275894,-2.0,-0.42,-0.71,3.64,-3.87,-51.92,-0.9,0.36,-0.41,2.66,-0.61,3.03,0
1746816750.276903,-2.0,-0.42,-0.71,3.56,-3.66,-45.37,-0.9,0.35,-0.42,2.5,-0.75,3.11,0
1746816750.277906,-2.0,-0.43,-0.71,1.95,-2.86,-36.73,-0.88,0.36,-0.43,2.02,1.99,3.25,0
1746816750.279046,-2.0,-0.42,-0.71,0.01,-5.35,-26.9,-0.89,0.36,-0.42,1.08,-3.5,2.73,0
1746816750.279046,-2.0,-0.43,-0.69,-1.42,-6.89,-16.7,-0.89,0.36,-0.42,-0.66,1.95,2.44,0
1746816750.28005,-2.0,-0.43,-0.69,-3.01,-8.08,-10.31,-0.88,0.35,-0.43,-0.66,-0.66,1.4,0
1746816750.281068,-2.0,-0.43,-0.7,-5.21,-9.42,-9.46,-0.87,0.36,-0.44,-1.49,1.36,0.78,0
1746816750.282083,-2.0,-0.42,-0.71,-7.15,-9.77,-13.66,-0.89,0.35,-0.43,-1.78,0.34,-0.1,0
1746816750.282083,-2.0,-0.45,-0.72,-9.88,-8.14,-21.81,-0.91,0.37,-0.42,-2.19,0.55,-0.81,0
1746816750.283193,-2.0,-0.49,-0.7,-10.14,-7.85,-24.87,-0.91,0.37,-0.41,-2.73,1.56,-1.6,0
1746816750.284209,-2.0,-0.5,-0.71,-8.74,-7.02,-21.29,-0.9,0.37,-0.43,-3.73,2.07,-1.65,0
1746816750.285395,-2.0,-0.51,-0.72,-7.0,-5.87,-12.94,-0.89,0.38,-0.43,-3.73,0.63,-0.92,0
1746816750.287531,-2.0,-0.48,-0.71,-7.34,-2.99,-5.64,-0.9,0.37,-0.43,-4.37,-1.75,-0.07,0
1746816750.287531,-2.0,-0.46,-0.72,-5.5,-0.68,0.19,-0.91,0.36,-0.43,-3.5,0.98,1.09,0
1746816750.288989,-2.0,-0.44,-0.73,-5.8,2.85,1.47,-0.89,0.37,-0.45,-2.97,-0.05,1.5,0
1746816750.290004,-2.0,-0.44,-0.72,-4.87,5.71,2.65,-0.9,0.36,-0.43,-3.98,-1.07,1.0,0
1746816750.290004,-2.0,-0.45,-0.71,-4.33,5.44,5.27,-0.89,0.37,-0.42,-4.85,-2.02,0.19,0
1746816750.290004,-2.0,-0.45,-0.71,-4.66,4.29,9.37,-0.89,0.36,-0.42,-6.08,-0.82,-0.58,0
1746816750.292713,-2.0,-0.44,-0.71,-5.42,2.18,13.45,-0.88,0.35,-0.42,-5.85,-0.56,-0.92,0
1746816750.293945,-2.0,-0.44,-0.7,-5.65,-0.05,15.76,-0.9,0.36,-0.41,-4.65,-1.81,-0.85,0
1746816750.294948,-2.0,-0.44,-0.71,-6.44,-1.6,15.68,-0.9,0.36,-0.43,-4.27,-1.83,-0.36,0
