timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744134409.194585,-2.0,-0.17,0.51,-7.34,16.39,16.38,-0.87,0.16,-0.2,-43.44,1.05,21.4,0
1744134409.202113,-2.0,-0.17,0.52,0.4,16.92,14.21,-0.89,0.1,-0.19,-33.47,-3.07,18.36,0
1744134409.203986,-2.0,-0.18,0.55,8.56,16.65,11.83,-0.91,0.07,-0.2,-17.82,-6.56,14.69,0
1744134409.205139,-2.0,-0.17,0.56,16.54,13.88,9.02,-0.94,0.04,-0.21,1.19,-9.95,9.66,0
1744134409.207369,-2.0,-0.16,0.57,22.4,12.5,6.27,-0.98,0.06,-0.25,19.41,-14.71,4.82,0
1744134409.209069,-2.0,-0.15,0.59,25.43,10.35,3.63,-0.97,0.1,-0.29,33.92,-18.54,0.98,0
1744134409.210074,-2.0,-0.12,0.58,24.78,7.79,1.65,-0.98,0.12,-0.34,44.56,-20.0,-1.34,0
1744134409.211106,-2.0,-0.11,0.58,21.34,6.66,-0.87,-0.96,0.16,-0.38,53.39,-19.49,-2.71,0
1744134409.212114,-2.0,-0.09,0.59,15.95,6.0,-2.79,-0.95,0.21,-0.41,56.67,-16.66,-3.7,0
1744134409.213661,-2.0,-0.07,0.6,11.99,0.68,-4.91,-0.94,0.26,-0.42,50.91,-14.52,-6.23,0
1744134409.214831,-2.0,-0.04,0.58,2.78,-2.02,-4.7,-0.94,0.31,-0.42,36.85,-11.56,-9.31,0
1744134409.216178,-2.0,-0.04,0.58,-5.6,-8.05,-4.92,-0.94,0.35,-0.43,16.76,-9.22,-12.27,0
1744134409.217182,-2.0,-0.03,0.55,-17.49,-10.89,-4.12,-0.96,0.36,-0.41,-8.45,-7.18,-15.98,0
1744134409.218183,-2.0,-0.04,0.54,-28.26,-13.93,-3.45,-1.0,0.34,-0.4,-32.72,-3.79,-20.27,0
1744134409.220239,-2.0,-0.06,0.48,-36.76,-17.13,-2.67,-1.05,0.31,-0.38,-52.04,-1.4,-24.36,0
1744134409.221183,-2.0,-0.06,0.45,-45.25,-6.98,-1.16,-1.09,0.28,-0.37,-64.35,1.23,-27.93,0
1744134409.22273,-2.0,-0.1,0.46,-47.5,-11.13,0.13,-1.12,0.26,-0.33,-72.76,2.46,-30.76,0
1744134409.223222,-2.0,-0.13,0.43,-45.37,-8.14,0.31,-1.14,0.25,-0.28,-81.76,1.83,-31.19,0
1744134409.224869,-2.0,-0.14,0.44,-39.27,-10.15,-0.66,-1.12,0.25,-0.25,-86.65,1.58,-29.5,0
1744134409.226633,-2.0,-0.16,0.41,-32.24,-6.38,-1.17,-1.06,0.23,-0.21,-85.11,1.68,-25.64,0
1744134409.228188,-2.0,-0.16,0.42,-25.28,-1.69,-3.17,-0.98,0.23,-0.19,-77.43,3.07,-19.95,0
1744134409.229282,-2.0,-0.14,0.43,-20.48,4.18,-5.34,-0.91,0.21,-0.17,-64.98,3.81,-12.52,0
1744134409.230266,-2.0,-0.12,0.47,-19.69,2.68,-6.88,-0.87,0.19,-0.15,-48.36,6.44,-3.89,0
1744134409.231293,-2.0,-0.09,0.46,-21.48,-2.2,-7.4,-0.83,0.18,-0.14,-30.98,7.83,3.89,0
1744134409.23283,-2.0,-0.09,0.46,-25.1,1.85,-7.86,-0.83,0.18,-0.11,-16.11,5.92,10.17,0
1744134409.234237,-2.0,-0.09,0.49,-26.62,2.41,-6.48,-0.82,0.17,-0.12,-5.82,2.72,13.91,0
1744134409.235605,-2.0,-0.11,0.49,-25.15,3.71,-4.56,-0.81,0.17,-0.1,0.33,-2.71,14.95,0
1744134409.236235,-2.0,-0.1,0.49,-20.76,6.69,-3.29,-0.81,0.16,-0.11,4.7,-9.11,13.95,0
1744134409.237492,-2.0,-0.11,0.52,-13.8,8.09,-1.66,-0.82,0.12,-0.14,10.08,-15.26,11.78,0
