timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744133325.785171,-2.0,-0.31,-0.34,-5.35,-1.16,2.51,-0.97,0.02,-0.3,-9.85,-1.83,4.43,0
1744133325.785171,-2.0,-0.31,-0.34,-5.45,-1.82,2.74,-0.98,0.03,-0.27,-8.56,-2.82,4.68,0
1744133325.791274,-2.0,-0.31,-0.32,-7.89,-6.03,1.72,-0.97,0.0,-0.28,-9.29,-2.89,3.83,0
1744133325.794346,-2.0,-0.28,-0.32,-8.44,-13.71,-1.63,-0.97,0.02,-0.3,-8.69,-1.28,2.31,0
1744133325.795794,-2.0,-0.34,-0.36,-4.89,-4.59,6.57,-0.97,0.03,-0.28,-7.27,-0.1,1.96,0
1744133325.79697,-2.0,-0.33,-0.29,-4.31,-5.23,1.8,-0.96,0.01,-0.28,-7.61,-3.89,2.02,0
1744133325.799404,-2.0,-0.27,-0.36,-4.06,-6.83,4.82,-0.99,0.01,-0.28,-7.75,-1.71,2.24,0
1744133325.799856,-2.0,-0.31,-0.34,-6.05,-2.75,3.4,-0.98,0.02,-0.28,-6.15,0.18,2.02,0
1744133325.800894,-2.0,-0.31,-0.34,-7.19,-1.33,0.44,-0.98,0.03,-0.28,-4.78,1.29,1.33,0
1744133325.803448,-2.0,-0.31,-0.33,-9.11,-3.6,-1.31,-0.98,0.03,-0.29,-4.92,0.99,1.05,0
1744133325.804695,-2.0,-0.32,-0.33,-6.24,-3.73,-0.34,-0.98,0.03,-0.29,-4.6,0.89,1.29,0
1744133325.804695,-2.0,-0.33,-0.32,-5.24,-4.93,1.09,-0.99,0.04,-0.29,-4.27,0.68,1.18,0
1744133325.807175,-2.0,-0.32,-0.33,-3.8,-4.26,1.73,-0.98,0.04,-0.29,-5.15,0.02,1.34,0
1744133325.809179,-2.0,-0.31,-0.34,-3.67,-3.27,1.92,-0.98,0.05,-0.28,-5.73,0.2,1.18,0
