timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744133081.541561,-2.0,-0.39,-0.23,-7.97,1.69,4.33,-0.96,0.2,-0.32,-6.53,0.88,0.59,0
1744133081.544838,-2.0,-0.38,-0.23,-9.26,-0.1,3.96,-0.97,0.22,-0.35,-8.81,0.55,3.18,0
1744133081.548133,-2.0,-0.39,-0.23,-9.72,0.33,3.69,-0.93,0.2,-0.35,-7.94,5.3,1.66,0
1744133081.550088,-2.0,-0.39,-0.23,-8.68,-0.31,2.51,-0.93,0.21,-0.38,-6.86,2.49,1.38,0
1744133081.551778,-2.0,-0.39,-0.23,-8.18,0.66,1.99,-0.95,0.2,-0.36,-6.37,3.08,1.48,0
1744133081.554156,-2.0,-0.39,-0.23,-6.44,0.85,2.07,-0.95,0.2,-0.35,-4.89,3.79,0.92,0
1744133081.556108,-2.0,-0.38,-0.25,-5.32,2.95,2.15,-0.95,0.21,-0.34,-1.95,1.02,1.08,0
1744133081.557296,-2.0,-0.37,-0.23,-5.34,1.87,2.97,-0.95,0.2,-0.35,0.84,0.62,0.82,0
1744133081.559216,-2.0,-0.37,-0.24,-5.43,2.8,3.7,-0.95,0.21,-0.35,3.05,-0.92,1.69,0
1744133081.559618,-2.0,-0.37,-0.24,-4.76,2.92,4.21,-0.95,0.2,-0.36,2.98,2.29,1.95,0
1744133081.56162,-2.0,-0.38,-0.24,-3.53,4.28,4.53,-0.97,0.2,-0.35,2.41,-1.26,2.09,0
1744133081.563123,-2.0,-0.38,-0.24,-2.18,5.01,5.6,-0.95,0.19,-0.37,2.08,1.34,2.03,0
1744133081.565064,-2.0,-0.37,-0.23,-1.6,3.95,6.51,-0.95,0.19,-0.37,3.55,1.74,3.69,0
1744133081.566067,-2.0,-0.36,-0.24,-1.95,3.75,7.34,-0.95,0.19,-0.37,3.18,1.51,3.82,0
1744133081.567174,-2.0,-0.37,-0.23,-2.99,2.55,7.49,-0.97,0.21,-0.33,3.5,2.63,4.48,0
1744133081.569067,-2.0,-0.37,-0.24,-5.11,3.13,6.84,-0.96,0.18,-0.36,4.3,0.69,5.32,0
1744133081.571973,-2.0,-0.37,-0.24,-6.58,2.66,6.25,-0.96,0.2,-0.37,4.92,-0.6,3.85,0
1744133081.573757,-2.0,-0.38,-0.25,-7.39,2.86,6.07,-0.96,0.2,-0.35,4.2,0.92,2.43,0
1744133081.575264,-2.0,-0.38,-0.23,-6.5,0.88,6.19,-0.93,0.18,-0.36,4.85,-1.11,2.85,0
1744133081.57597,-2.0,-0.38,-0.24,-5.66,0.76,6.31,-0.94,0.19,-0.36,4.15,0.01,1.2,0
1744133081.577973,-2.0,-0.37,-0.24,-5.93,1.65,6.64,-0.94,0.2,-0.36,3.8,0.09,0.95,0
1744133081.578952,-2.0,-0.37,-0.25,-6.37,1.54,6.66,-0.94,0.19,-0.37,3.02,-0.84,1.2,0
1744133081.579954,-2.0,-0.38,-0.24,-6.53,2.33,6.97,-0.95,0.2,-0.36,3.14,0.2,1.27,0
1744133081.581461,-2.0,-0.38,-0.25,-6.77,2.45,7.28,-0.95,0.2,-0.36,2.66,-0.78,1.85,0
1744133081.583096,-2.0,-0.39,-0.25,-6.11,1.91,7.45,-0.95,0.2,-0.37,2.6,-0.19,1.91,0
1744133081.584501,-2.0,-0.38,-0.25,-5.82,2.37,7.03,-0.95,0.19,-0.36,2.44,-0.52,2.66,0
1744133081.586199,-2.0,-0.39,-0.25,-5.78,1.6,6.93,-0.95,0.2,-0.36,2.08,0.14,2.4,0
1744133081.588118,-2.0,-0.38,-0.25,-5.32,1.38,7.11,-0.94,0.19,-0.36,1.66,0.17,2.58,0
1744133081.588118,-2.0,-0.38,-0.24,-5.46,-0.47,6.95,-0.95,0.2,-0.35,1.76,-0.73,2.89,0
1744133081.591642,-2.0,-0.38,-0.25,-5.76,1.1,6.43,-0.95,0.2,-0.36,1.55,-1.06,2.97,0
1744133081.592665,-2.0,-0.38,-0.24,-6.27,2.72,6.43,-0.94,0.2,-0.39,3.15,0.4,3.63,0
1744133081.593973,-2.0,-0.39,-0.24,-4.98,2.5,7.22,-0.96,0.2,-0.36,1.29,-0.81,2.6,0
1744133081.595041,-2.0,-0.39,-0.23,-3.22,2.22,7.85,-0.94,0.22,-0.37,-0.96,-0.42,2.1,0
1744133081.597987,-2.0,-0.38,-0.24,-2.16,1.89,7.09,-0.94,0.21,-0.37,-2.89,0.14,1.98,0
1744133081.598558,-2.0,-0.37,-0.23,-3.07,2.34,5.56,-0.95,0.2,-0.37,-3.61,-0.34,1.73,0
1744133081.599798,-2.0,-0.36,-0.23,-5.22,4.32,4.36,-0.95,0.2,-0.36,-4.35,-0.93,1.66,0
1744133081.601806,-2.0,-0.37,-0.23,-7.49,4.09,4.15,-0.95,0.2,-0.36,-4.86,-0.81,1.62,0
1744133081.604275,-2.0,-0.37,-0.23,-8.32,2.92,4.14,-0.94,0.2,-0.35,-4.97,0.03,1.6,0
1744133081.605708,-2.0,-0.37,-0.23,-8.32,2.63,4.42,-0.95,0.2,-0.36,-4.59,-0.69,1.92,0
1744133081.606752,-2.0,-0.37,-0.22,-7.7,2.11,4.92,-0.95,0.2,-0.36,-5.18,-0.16,1.26,0
1744133081.607915,-2.0,-0.38,-0.23,-6.71,1.27,5.34,-0.95,0.2,-0.35,-6.18,0.57,0.91,0
1744133081.610063,-2.0,-0.37,-0.24,-5.76,1.11,5.79,-0.95,0.2,-0.36,-6.76,1.37,0.97,0
1744133081.611014,-2.0,-0.37,-0.23,-6.02,1.56,5.65,-0.94,0.21,-0.35,-6.11,1.4,1.15,0
1744133081.612532,-2.0,-0.37,-0.23,-6.87,1.63,5.51,-0.95,0.2,-0.34,-5.25,1.97,1.64,0
1744133081.613045,-2.0,-0.38,-0.23,-7.16,1.02,5.69,-0.94,0.2,-0.36,-4.68,1.41,1.41,0
1744133081.615206,-2.0,-0.38,-0.22,-6.41,0.41,6.08,-0.96,0.2,-0.34,-4.9,1.1,1.05,0
1744133081.615206,-2.0,-0.37,-0.23,-6.1,-0.16,6.17,-0.95,0.21,-0.36,-5.63,0.14,0.75,0
1744133081.615206,-2.0,-0.38,-0.23,-4.94,0.24,6.05,-0.95,0.2,-0.37,-4.84,1.15,0.56,0
1744133081.618535,-2.0,-0.37,-0.23,-4.82,0.85,5.93,-0.95,0.21,-0.37,-5.41,0.38,0.64,0
1744133081.62076,-2.0,-0.37,-0.23,-5.79,1.5,5.88,-0.96,0.21,-0.34,-5.75,-0.89,0.79,0
1744133081.62179,-2.0,-0.38,-0.23,-5.24,0.86,5.91,-0.94,0.2,-0.34,-5.73,1.11,1.06,0
1744133081.623103,-2.0,-0.37,-0.24,-5.9,1.16,6.06,-0.96,0.19,-0.34,-4.57,-0.44,0.85,0
1744133081.625487,-2.0,-0.37,-0.23,-5.82,-0.38,5.84,-0.95,0.2,-0.35,-4.41,0.76,0.92,0
1744133081.62679,-2.0,-0.37,-0.23,-5.85,0.28,5.87,-0.96,0.2,-0.34,-4.18,1.54,0.64,0
1744133081.627802,-2.0,-0.37,-0.23,-5.89,0.26,5.98,-0.96,0.2,-0.35,-4.89,1.4,0.28,0
1744133081.628771,-2.0,-0.36,-0.24,-5.63,0.6,5.69,-0.95,0.2,-0.36,-5.21,0.91,0.12,0
1744133081.630107,-2.0,-0.37,-0.24,-6.37,1.7,5.53,-0.95,0.2,-0.35,-6.13,1.18,-0.37,0
1744133081.632115,-2.0,-0.37,-0.23,-6.74,2.19,5.73,-0.94,0.2,-0.35,-5.98,2.26,-0.08,0
1744133081.632115,-2.0,-0.38,-0.24,-7.41,2.91,5.95,-0.94,0.2,-0.35,-4.87,3.27,1.14,0
1744133081.632115,-2.0,-0.37,-0.24,-7.39,3.18,5.81,-0.95,0.19,-0.35,-3.76,3.82,1.48,0
1744133081.635268,-2.0,-0.38,-0.24,-7.0,3.15,5.67,-0.96,0.19,-0.34,-3.34,4.41,1.47,0
1744133081.637321,-2.0,-0.38,-0.24,-6.92,1.94,5.58,-0.95,0.19,-0.35,-3.3,3.86,1.47,0
1744133081.639494,-2.0,-0.37,-0.24,-6.8,2.1,5.23,-0.98,0.19,-0.34,-2.93,0.88,1.6,0
1744133081.640509,-2.0,-0.36,-0.23,-7.7,0.95,5.02,-0.96,0.19,-0.35,-4.21,4.34,1.02,0
1744133081.642014,-2.0,-0.38,-0.25,-8.18,3.53,4.47,-0.96,0.2,-0.34,-4.38,0.35,2.77,0
1744133081.642014,-2.0,-0.36,-0.25,-8.22,2.65,3.85,-0.98,0.18,-0.35,-3.01,6.97,0.63,0
1744133081.643465,-2.0,-0.37,-0.24,-8.69,3.5,3.85,-0.95,0.19,-0.36,-2.92,-1.89,1.75,0
1744133081.644605,-2.0,-0.37,-0.24,-7.94,1.96,3.92,-0.94,0.2,-0.36,-5.45,8.03,1.15,0
1744133081.644605,-2.0,-0.37,-0.25,-7.7,1.55,4.67,-0.98,0.19,-0.33,-3.26,0.25,0.83,0
1744133081.644605,-2.0,-0.36,-0.24,-6.92,2.65,4.27,-0.92,0.19,-0.37,-6.14,0.23,0.79,0
1744133081.646996,-2.0,-0.37,-0.24,-6.81,2.95,4.05,-0.97,0.2,-0.35,-6.54,2.4,0.89,0
