timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744133205.547974,-2.0,-0.26,-0.28,-7.06,4.42,6.46,-0.96,0.15,-0.34,4.61,4.58,2.7,0
1744133205.547974,-2.0,-0.25,-0.27,-8.2,3.24,6.9,-0.98,0.16,-0.33,5.5,3.18,1.98,0
1744133205.547974,-2.0,-0.25,-0.26,-7.11,-4.54,8.02,-0.95,0.14,-0.34,4.34,1.04,3.43,0
1744133205.553692,-2.0,-0.25,-0.27,-7.98,-1.91,8.38,-0.96,0.16,-0.31,1.47,0.47,1.9,0
1744133205.554963,-2.0,-0.26,-0.28,-7.21,-1.27,8.18,-0.96,0.16,-0.31,2.68,-0.63,3.03,0
1744133205.556644,-2.0,-0.25,-0.27,-6.73,-2.69,7.39,-0.94,0.16,-0.32,-0.37,-0.44,2.78,0
1744133205.557678,-2.0,-0.25,-0.27,-8.5,-2.18,6.34,-0.97,0.16,-0.31,0.36,-0.16,4.3,0
1744133205.559936,-2.0,-0.25,-0.27,-9.16,1.11,5.77,-0.96,0.16,-0.31,-3.72,-2.53,4.04,0
1744133205.560942,-2.0,-0.25,-0.26,-9.89,0.6,5.98,-0.95,0.16,-0.3,-7.5,-3.8,2.98,0
1744133205.561942,-2.0,-0.25,-0.27,-10.05,-1.53,6.73,-0.96,0.15,-0.32,-8.47,-2.22,4.08,0
1744133205.562941,-2.0,-0.26,-0.26,-8.79,-3.53,6.56,-0.98,0.15,-0.3,-9.75,-2.05,3.86,0
1744133205.563999,-2.0,-0.26,-0.26,-7.2,-3.44,6.21,-0.96,0.16,-0.32,-11.02,-1.99,3.91,0
1744133205.566626,-2.0,-0.26,-0.27,-6.31,-0.04,5.66,-0.97,0.15,-0.3,-12.24,-5.71,3.5,0
1744133205.568045,-2.0,-0.26,-0.28,-5.53,0.63,5.17,-0.95,0.15,-0.31,-14.4,-4.85,2.95,0
1744133205.569845,-2.0,-0.26,-0.27,-4.31,0.87,5.1,-0.97,0.15,-0.3,-13.79,-3.75,3.49,0
1744133205.570555,-2.0,-0.26,-0.27,-3.48,2.32,5.43,-0.97,0.14,-0.3,-13.17,-4.37,3.17,0
1744133205.572425,-2.0,-0.25,-0.27,-3.27,-0.97,5.53,-0.97,0.15,-0.29,-14.74,-4.94,2.44,0
1744133205.573576,-2.0,-0.26,-0.26,-4.03,-1.66,5.15,-0.96,0.15,-0.3,-16.15,-4.52,2.21,0
1744133205.574831,-2.0,-0.26,-0.26,-4.31,-1.6,4.6,-0.96,0.14,-0.29,-13.84,-2.51,3.23,0
1744133205.574831,-2.0,-0.25,-0.26,-4.9,-0.98,3.76,-0.97,0.14,-0.28,-10.0,-2.82,3.79,0
1744133205.577719,-2.0,-0.25,-0.27,-5.54,-0.7,3.38,-0.98,0.13,-0.29,-8.11,-3.85,3.6,0
1744133205.578791,-2.0,-0.25,-0.26,-5.9,-1.95,3.68,-0.97,0.13,-0.29,-6.89,-3.56,3.24,0
1744133205.579797,-2.0,-0.24,-0.27,-7.13,0.67,3.47,-0.96,0.14,-0.31,-6.16,-1.27,3.26,0
1744133205.581152,-2.0,-0.24,-0.27,-7.71,2.43,3.45,-0.97,0.14,-0.28,-3.21,0.54,3.66,0
1744133205.58219,-2.0,-0.25,-0.27,-8.2,3.26,2.66,-0.96,0.14,-0.29,-3.23,0.72,3.22,0
1744133205.583051,-2.0,-0.24,-0.27,-8.63,2.61,2.73,-0.96,0.15,-0.3,-2.79,-0.27,2.79,0
1744133205.584255,-2.0,-0.25,-0.27,-9.17,3.81,2.84,-0.95,0.14,-0.29,-1.23,1.92,3.13,0
1744133205.58526,-2.0,-0.26,-0.26,-8.5,3.61,4.21,-0.96,0.15,-0.29,-1.8,1.98,2.31,0
1744133205.587646,-2.0,-0.25,-0.27,-6.93,1.21,5.01,-0.96,0.14,-0.3,-0.08,2.98,2.53,0
1744133205.589173,-2.0,-0.25,-0.26,-6.96,2.96,4.95,-0.96,0.15,-0.3,0.9,3.57,2.2,0
1744133205.589606,-2.0,-0.24,-0.27,-6.95,3.3,4.1,-0.97,0.16,-0.28,0.38,2.47,1.69,0
1744133205.590548,-2.0,-0.23,-0.27,-8.34,4.73,3.4,-0.95,0.17,-0.29,-0.85,2.87,1.95,0
1744133205.591822,-2.0,-0.25,-0.27,-9.25,5.72,3.07,-0.96,0.15,-0.29,-0.84,3.9,1.21,0
1744133205.593632,-2.0,-0.26,-0.27,-7.28,3.81,4.05,-0.97,0.15,-0.3,-1.27,3.76,1.5,0
1744133205.594767,-2.0,-0.26,-0.27,-4.82,2.92,5.16,-0.98,0.16,-0.29,-0.72,2.46,1.08,0
1744133205.595274,-2.0,-0.25,-0.27,-2.26,1.28,6.27,-0.97,0.15,-0.29,0.91,1.41,0.92,0
1744133205.596835,-2.0,-0.24,-0.27,-1.06,-0.47,6.05,-0.97,0.16,-0.29,0.49,1.02,0.78,0
1744133205.598274,-2.0,-0.24,-0.27,-1.27,1.13,4.77,-0.96,0.15,-0.29,-0.06,1.82,0.95,0
1744133205.60025,-2.0,-0.24,-0.28,-2.06,1.96,4.27,-0.98,0.16,-0.28,0.1,0.95,1.39,0
1744133205.601073,-2.0,-0.25,-0.27,-2.4,1.15,4.27,-0.98,0.15,-0.3,0.53,0.11,1.14,0
1744133205.602077,-2.0,-0.24,-0.26,-2.81,0.6,4.5,-0.97,0.15,-0.31,0.66,-1.42,0.51,0
1744133205.604074,-2.0,-0.25,-0.26,-3.01,1.24,4.36,-0.96,0.16,-0.3,0.01,-0.79,0.05,0
1744133205.605496,-2.0,-0.25,-0.26,-2.49,-0.66,3.96,-0.96,0.17,-0.3,-1.99,-1.03,0.1,0
1744133205.606558,-2.0,-0.24,-0.26,-2.18,-2.6,3.87,-0.96,0.16,-0.29,-3.11,-0.74,0.3,0
1744133205.606558,-2.0,-0.24,-0.26,-3.11,-1.28,3.24,-0.97,0.16,-0.29,-3.2,-1.14,0.79,0
1744133205.606558,-2.0,-0.24,-0.26,-4.75,-0.22,2.83,-0.96,0.16,-0.29,-3.77,-0.17,1.02,0
1744133205.606558,-2.0,-0.25,-0.26,-5.85,0.66,2.76,-0.97,0.18,-0.28,-5.0,-0.99,1.22,0
1744133205.606558,-2.0,-0.25,-0.26,-6.35,1.63,3.32,-0.96,0.16,-0.29,-4.66,0.24,1.46,0
1744133205.606558,-2.0,-0.25,-0.26,-5.31,2.24,3.72,-0.95,0.15,-0.3,-4.33,1.99,1.68,0
1744133205.612569,-2.0,-0.25,-0.25,-4.48,2.11,3.64,-0.97,0.15,-0.29,-4.28,2.57,2.07,0
1744133205.613571,-2.0,-0.24,-0.26,-4.22,2.0,3.24,-0.97,0.17,-0.28,-4.22,3.01,2.15,0
1744133205.614568,-2.0,-0.24,-0.26,-5.2,3.63,2.8,-0.96,0.16,-0.29,-4.23,4.12,2.47,0
1744133205.615257,-2.0,-0.25,-0.26,-6.69,5.74,2.1,-0.97,0.16,-0.29,-3.69,4.74,3.02,0
1744133205.617115,-2.0,-0.25,-0.27,-7.95,4.36,2.0,-0.97,0.16,-0.29,-3.47,4.38,3.17,0
1744133205.617904,-2.0,-0.24,-0.25,-7.0,4.89,3.02,-0.96,0.16,-0.28,-3.23,4.89,3.4,0
1744133205.619919,-2.0,-0.22,-0.27,-7.52,6.19,2.86,-0.96,0.15,-0.3,-2.66,5.41,3.36,0
1744133205.621482,-2.0,-0.23,-0.26,-8.89,8.4,2.75,-0.97,0.16,-0.29,-1.33,4.69,3.27,0
1744133205.62323,-2.0,-0.24,-0.26,-6.98,-2.68,3.98,-0.98,0.17,-0.28,-2.85,4.45,2.47,0
1744133205.624243,-2.0,-0.24,-0.27,-7.27,-1.95,4.29,-0.96,0.16,-0.3,-2.76,5.16,2.27,0
1744133205.625316,-2.0,-0.25,-0.26,-7.73,2.08,4.15,-0.96,0.16,-0.31,-2.11,4.83,2.06,0
1744133205.626248,-2.0,-0.24,-0.26,-7.26,-0.06,4.58,-0.98,0.17,-0.3,-3.71,3.84,2.15,0
1744133205.626946,-2.0,-0.24,-0.27,-7.95,1.36,4.51,-0.96,0.16,-0.3,-1.83,2.87,2.44,0
1744133205.628931,-2.0,-0.24,-0.27,-7.58,-1.35,5.05,-0.97,0.17,-0.29,-3.21,4.13,2.45,0
1744133205.629949,-2.0,-0.24,-0.27,-6.27,0.34,4.93,-0.97,0.17,-0.3,-4.53,0.9,1.47,0
1744133205.629949,-2.0,-0.24,-0.26,-6.5,-0.66,5.24,-0.96,0.14,-0.31,-2.34,2.67,1.97,0
