timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744135739.396438,-2.0,-0.17,0.22,11.34,-1.82,8.14,-0.97,0.16,-0.2,-3.0,2.63,-0.36,0
1744135739.396438,-2.0,-0.16,0.22,6.33,-1.02,6.79,-0.97,0.16,-0.18,-2.87,2.32,-0.23,0
1744135739.403907,-2.0,-0.17,0.22,1.56,-0.89,5.58,-0.97,0.16,-0.2,-2.59,2.08,0.13,0
1744135739.405867,-2.0,-0.17,0.24,-1.54,-2.52,5.23,-0.97,0.16,-0.19,-2.47,2.26,0.16,0
1744135739.408176,-2.0,-0.17,0.24,-4.15,-3.1,4.96,-0.97,0.17,-0.21,-2.92,2.37,0.4,0
1744135739.410205,-2.0,-0.15,0.23,-8.17,-3.41,4.11,-0.97,0.17,-0.2,-3.71,2.31,0.58,0
1744135739.411225,-2.0,-0.15,0.19,-12.21,-2.6,3.44,-0.96,0.16,-0.21,-4.08,2.4,0.54,0
1744135739.412233,-2.0,-0.16,0.21,-15.14,-1.55,3.15,-0.97,0.16,-0.21,-3.93,2.18,0.77,0
1744135739.413257,-2.0,-0.17,0.22,-18.2,-0.58,2.92,-0.96,0.16,-0.21,-3.17,2.7,0.86,0
1744135739.415764,-2.0,-0.18,0.21,-18.57,1.19,2.93,-0.97,0.16,-0.21,-3.02,2.91,0.97,0
1744135739.417387,-2.0,-0.2,0.21,-16.79,1.56,3.48,-0.97,0.17,-0.21,-3.79,2.82,0.96,0
1744135739.417387,-2.0,-0.21,0.23,-12.59,-0.76,3.77,-0.97,0.17,-0.22,-4.89,2.79,0.77,0
1744135739.420034,-2.0,-0.2,0.23,-7.36,-3.95,4.78,-0.97,0.16,-0.2,-5.94,2.73,0.61,0
1744135739.420441,-2.0,-0.18,0.22,-5.25,-3.63,5.37,-0.97,0.16,-0.2,-6.85,2.86,0.41,0
1744135739.422612,-2.0,-0.17,0.21,-5.18,-1.79,4.7,-0.97,0.17,-0.21,-7.69,2.71,0.6,0
1744135739.4235,-2.0,-0.17,0.22,-5.65,-0.59,3.95,-0.96,0.16,-0.2,-8.26,3.16,0.71,0
1744135739.424182,-2.0,-0.19,0.22,-5.52,-0.57,4.01,-0.97,0.16,-0.2,-9.11,3.15,0.8,0
1744135739.426236,-2.0,-0.19,0.22,-5.72,-0.88,4.05,-0.96,0.16,-0.2,-9.33,3.05,0.86,0
1744135739.42723,-2.0,-0.17,0.23,-6.15,-1.88,4.66,-0.96,0.15,-0.2,-9.49,3.32,1.0,0
1744135739.429222,-2.0,-0.16,0.22,-7.42,-2.15,4.88,-0.97,0.15,-0.2,-8.93,3.49,1.16,0
1744135739.430761,-2.0,-0.17,0.22,-8.05,-1.89,4.74,-0.98,0.14,-0.2,-7.93,3.24,0.99,0
1744135739.43227,-2.0,-0.18,0.22,-9.31,-1.18,4.24,-0.98,0.15,-0.2,-7.76,2.98,0.73,0
1744135739.432866,-2.0,-0.18,0.23,-9.43,-1.24,3.59,-0.97,0.15,-0.21,-7.79,2.7,0.47,0
1744135739.433797,-2.0,-0.18,0.23,-9.56,-2.35,3.26,-0.97,0.15,-0.21,-8.09,2.93,0.53,0
1744135739.435032,-2.0,-0.17,0.22,-10.35,-3.1,2.93,-0.97,0.15,-0.21,-8.65,3.11,0.79,0
1744135739.436674,-2.0,-0.17,0.22,-11.56,-3.36,3.0,-0.97,0.15,-0.21,-8.82,3.41,0.95,0
1744135739.437982,-2.0,-0.16,0.22,-12.58,-2.96,2.94,-0.97,0.15,-0.21,-8.97,3.12,1.02,0
1744135739.439328,-2.0,-0.16,0.23,-13.42,-2.29,2.99,-0.97,0.15,-0.21,-8.47,2.59,1.11,0
1744135739.441538,-2.0,-0.18,0.23,-14.46,-1.98,3.18,-0.97,0.14,-0.21,-7.92,2.82,1.22,0
1744135739.443137,-2.0,-0.17,0.23,-13.98,-2.52,3.19,-0.97,0.14,-0.22,-7.49,3.19,1.48,0
1744135739.445144,-2.0,-0.18,0.22,-13.11,-3.17,3.37,-0.97,0.15,-0.22,-7.56,3.32,1.5,0
1744135739.446748,-2.0,-0.17,0.23,-12.31,-3.46,3.37,-0.97,0.15,-0.22,-8.05,2.58,1.51,0
1744135739.447501,-2.0,-0.17,0.23,-12.1,-3.06,3.61,-0.97,0.15,-0.21,-8.34,2.26,1.6,0
1744135739.448971,-2.0,-0.18,0.22,-12.24,-1.75,3.62,-0.97,0.15,-0.21,-8.18,2.19,1.37,0
1744135739.450133,-2.0,-0.18,0.23,-11.51,-1.68,4.16,-0.97,0.16,-0.22,-7.87,2.45,1.6,0
1744135739.45093,-2.0,-0.18,0.22,-10.77,-1.59,5.07,-0.97,0.15,-0.21,-7.98,2.82,1.56,0
1744135739.453455,-2.0,-0.17,0.22,-9.33,-2.07,6.35,-0.97,0.16,-0.22,-8.3,2.76,1.63,0
1744135739.455079,-2.0,-0.17,0.23,-8.54,-2.35,6.76,-0.97,0.15,-0.22,-8.83,2.5,1.52,0
1744135739.456398,-2.0,-0.17,0.23,-8.24,-2.47,6.12,-0.97,0.15,-0.21,-9.71,2.36,1.59,0
1744135739.45693,-2.0,-0.16,0.22,-8.3,-1.55,5.55,-0.97,0.14,-0.22,-9.78,2.3,1.67,0
1744135739.459118,-2.0,-0.15,0.22,-8.82,-1.11,5.68,-0.98,0.14,-0.2,-9.27,2.47,1.66,0
1744135739.460125,-2.0,-0.17,0.22,-10.13,-0.02,5.79,-0.97,0.14,-0.21,-8.7,2.72,1.64,0
1744135739.461132,-2.0,-0.16,0.23,-10.25,0.5,5.64,-0.97,0.14,-0.21,-8.6,2.7,1.58,0
1744135739.462653,-2.0,-0.17,0.22,-10.84,0.68,7.28,-0.97,0.14,-0.2,-8.68,2.18,1.64,0
1744135739.463753,-2.0,-0.17,0.22,-11.09,2.02,8.79,-0.97,0.13,-0.21,-8.24,2.25,1.65,0
1744135739.464877,-2.0,-0.18,0.22,-9.68,1.19,9.15,-0.97,0.13,-0.21,-7.13,2.24,1.62,0
1744135739.46677,-2.0,-0.17,0.23,-9.24,1.53,9.21,-0.97,0.13,-0.21,-6.01,2.18,1.67,0
1744135739.468162,-2.0,-0.17,0.23,-8.66,2.0,8.78,-0.97,0.13,-0.21,-5.31,2.15,1.44,0
1744135739.46854,-2.0,-0.18,0.23,-8.95,2.83,8.71,-0.97,0.13,-0.21,-4.99,2.23,1.45,0
1744135739.470757,-2.0,-0.18,0.23,-8.1,2.72,8.62,-0.97,0.14,-0.21,-4.98,2.11,1.47,0
1744135739.470757,-2.0,-0.19,0.24,-7.02,2.05,8.73,-0.97,0.15,-0.21,-4.78,2.01,1.53,0
1744135739.473279,-2.0,-0.19,0.23,-5.8,0.83,9.69,-0.97,0.15,-0.21,-4.4,1.88,1.62,0
1744135739.473764,-2.0,-0.19,0.25,-5.53,0.58,10.49,-0.97,0.14,-0.21,-4.02,1.73,1.8,0
1744135739.47503,-2.0,-0.17,0.24,-5.44,0.98,10.54,-0.97,0.14,-0.21,-3.92,1.77,1.79,0
1744135739.477055,-2.0,-0.18,0.23,-5.77,1.53,9.4,-0.97,0.14,-0.21,-3.98,1.73,1.53,0
1744135739.478869,-2.0,-0.17,0.23,-6.62,1.71,8.55,-0.97,0.14,-0.21,-3.92,1.66,1.75,0
1744135739.478869,-2.0,-0.18,0.24,-7.76,2.59,7.9,-0.98,0.15,-0.21,-3.66,1.44,1.76,0
1744135739.480583,-2.0,-0.19,0.24,-7.94,3.11,8.17,-0.97,0.15,-0.21,-3.33,1.46,1.89,0
1744135739.482223,-2.0,-0.19,0.24,-7.61,3.3,8.75,-0.97,0.14,-0.21,-3.11,1.54,2.09,0
1744135739.483605,-2.0,-0.2,0.24,-5.69,2.09,8.56,-0.98,0.14,-0.22,-3.4,1.4,1.98,0
1744135739.485069,-2.0,-0.19,0.25,-3.92,1.3,7.74,-0.98,0.14,-0.21,-3.37,0.92,1.86,0
1744135739.486091,-2.0,-0.19,0.24,-2.54,1.18,6.2,-0.97,0.14,-0.21,-2.89,0.85,2.15,0
1744135739.48725,-2.0,-0.19,0.24,-3.21,1.66,5.58,-0.98,0.14,-0.21,-2.12,1.08,2.15,0
1744135739.487899,-2.0,-0.18,0.24,-4.06,2.43,4.98,-0.97,0.14,-0.21,-2.02,1.23,2.24,0
1744135739.489044,-2.0,-0.17,0.25,-5.85,3.17,4.56,-0.97,0.13,-0.21,-2.47,1.02,2.02,0
1744135739.490291,-2.0,-0.18,0.25,-7.5,3.09,4.17,-0.97,0.13,-0.21,-1.98,1.12,1.77,0
1744135739.491298,-2.0,-0.18,0.24,-8.05,3.08,3.59,-0.98,0.13,-0.21,-0.89,1.04,1.53,0
1744135739.492646,-2.0,-0.19,0.25,-8.28,3.18,2.9,-0.98,0.15,-0.21,-0.86,1.21,1.3,0
1744135739.49406,-2.0,-0.19,0.24,-7.52,2.7,2.21,-0.97,0.15,-0.21,-1.44,0.89,1.21,0
1744135739.495902,-2.0,-0.19,0.25,-6.14,1.51,1.88,-0.96,0.15,-0.21,-1.53,0.87,1.26,0
1744135739.497205,-2.0,-0.17,0.25,-5.71,1.45,1.68,-0.96,0.16,-0.21,-2.19,1.1,1.67,0
