timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744134840.690378,-2.0,-0.33,0.34,-6.12,-2.02,4.12,-0.96,0.2,-0.27,-1.28,0.01,1.34,0
1744134840.692673,-2.0,-0.35,0.34,-6.53,-3.78,2.17,-0.97,0.2,-0.28,-1.4,-2.65,1.53,0
1744134840.694672,-2.0,-0.34,0.32,-9.69,-3.92,-0.35,-0.95,0.2,-0.29,0.85,0.27,2.5,0
1744134840.695917,-2.0,-0.34,0.31,-11.42,-4.07,-1.51,-0.97,0.21,-0.29,0.37,-0.63,2.89,0
1744134840.698017,-2.0,-0.35,0.32,-13.24,-2.4,-2.44,-0.96,0.2,-0.3,-0.31,-1.14,3.01,0
1744134840.699878,-2.0,-0.36,0.3,-13.58,-1.66,-2.29,-0.97,0.2,-0.3,-0.58,-1.43,3.01,0
1744134840.700878,-2.0,-0.39,0.32,-10.5,-4.84,-1.67,-0.96,0.2,-0.3,-0.34,-0.25,3.53,0
1744134840.701918,-2.0,-0.36,0.32,-6.96,-7.45,-2.03,-0.96,0.2,-0.29,-0.41,-0.2,3.47,0
1744134840.703966,-2.0,-0.36,0.31,-6.34,-9.14,-1.42,-0.96,0.2,-0.29,-0.85,-0.21,3.44,0
1744134840.705143,-2.0,-0.37,0.34,-6.24,-10.79,-3.48,-0.96,0.19,-0.3,0.07,0.92,3.6,0
1744134840.705143,-2.0,-0.35,0.31,-4.55,-13.46,-5.38,-0.97,0.19,-0.29,0.85,1.44,3.67,0
1744134840.708238,-2.0,-0.37,0.33,-3.21,-18.77,-5.92,-0.96,0.21,-0.3,0.18,0.31,3.11,0
1744134840.709879,-2.0,-0.36,0.29,-7.31,-15.79,-8.99,-0.95,0.19,-0.3,-0.14,0.96,3.17,0
1744134840.710883,-2.0,-0.33,0.27,-18.66,-8.43,-9.12,-0.96,0.2,-0.3,-0.99,-0.09,3.53,0
1744134840.713007,-2.0,-0.46,0.29,-28.94,0.53,-4.65,-0.95,0.2,-0.28,-0.89,1.62,3.29,0
1744134840.715101,-2.0,-0.35,0.26,-24.26,6.82,0.47,-0.94,0.19,-0.28,-1.0,1.87,3.64,0
1744134840.717277,-2.0,-0.52,0.33,-11.54,0.12,0.89,-0.95,0.19,-0.28,-1.47,1.66,3.52,0
1744134840.717882,-2.0,-0.39,0.32,1.21,-2.72,4.21,-0.95,0.19,-0.28,-0.76,1.95,3.24,0
1744134840.718885,-2.0,-0.38,0.32,4.01,0.91,1.42,-0.95,0.19,-0.28,-0.41,2.45,3.14,0
1744134840.720878,-2.0,-0.37,0.31,3.35,-0.76,-2.41,-0.96,0.19,-0.28,-0.89,1.92,2.54,0
1744134840.721967,-2.0,-0.36,0.29,-0.43,4.59,-1.3,-0.96,0.19,-0.26,-1.89,0.82,1.5,0
1744134840.723014,-2.0,-0.35,0.33,-3.08,9.9,3.4,-0.95,0.19,-0.27,-2.29,0.71,0.76,0
1744134840.724521,-2.0,-0.37,0.29,-7.3,10.37,8.9,-0.96,0.19,-0.28,-2.65,1.1,0.47,0
1744134840.724521,-2.0,-0.41,0.32,-6.27,9.81,8.15,-0.95,0.2,-0.27,-2.36,1.63,0.19,0
1744134840.727076,-2.0,-0.4,0.3,-3.95,9.44,5.72,-0.96,0.2,-0.27,-2.23,1.56,0.14,0
1744134840.728262,-2.0,-0.42,0.32,-2.25,9.39,5.33,-0.96,0.2,-0.28,-1.58,2.05,0.58,0
1744134840.730908,-2.0,-0.4,0.32,0.22,6.89,6.77,-0.97,0.2,-0.27,-1.3,2.11,0.93,0
