timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746818603.824212,-2.0,0.07,-0.16,-9.6,-1.53,-5.68,-0.71,0.23,0.05,3.24,5.11,12.07,0
1746818603.839055,-2.0,0.08,-0.16,-7.69,-1.01,-5.85,-0.71,0.22,0.05,3.76,5.05,7.2,0
1746818603.854422,-2.0,0.09,-0.14,-6.63,-0.79,-6.05,-0.72,0.22,0.03,4.56,5.05,2.66,0
1746818603.869179,-2.0,0.09,-0.14,-5.89,-0.08,-5.64,-0.73,0.24,0.02,4.69,4.61,-1.79,0
1746818603.88425,-2.0,0.09,-0.11,-4.89,-0.04,-5.21,-0.75,0.25,0.02,3.9,4.56,-5.41,0
1746818603.900323,-2.0,0.11,-0.11,-3.66,0.16,-3.95,-0.78,0.25,0.01,3.44,4.82,-8.68,0
1746818603.914087,-2.0,0.13,-0.11,-2.44,-2.77,-1.98,-0.82,0.27,0.01,1.28,4.74,-10.27,0
1746818603.927848,-2.0,0.14,-0.14,-2.34,-4.21,0.13,-0.88,0.32,0.05,-5.22,4.0,-9.76,0
1746818603.944247,-2.0,0.14,-0.16,-1.56,-5.24,1.86,-0.93,0.33,0.07,-14.81,2.5,-9.77,0
1746818603.95924,-2.0,0.13,-0.19,-1.32,-5.09,2.37,-0.95,0.34,0.08,-24.01,1.27,-11.35,0
1746818603.973914,-2.0,0.13,-0.2,-1.95,-2.31,2.16,-0.95,0.36,0.1,-31.54,1.89,-11.47,0
1746818603.98862,-2.0,0.1,-0.18,-1.8,-0.18,1.08,-0.96,0.36,0.11,-35.56,4.16,-9.55,0
1746818604.003777,-2.0,0.11,-0.13,-3.02,0.18,-0.05,-0.97,0.36,0.13,-36.3,6.38,-7.74,0
1746818604.018446,-2.0,0.12,-0.12,-3.53,-1.93,-1.02,-0.99,0.35,0.14,-34.71,7.15,-5.7,0
1746818604.034639,-2.0,0.14,-0.13,-6.44,-3.44,-1.15,-1.02,0.35,0.16,-31.02,7.27,-3.49,0
1746818604.053923,-2.0,0.16,-0.15,-10.56,-4.27,-1.44,-1.04,0.34,0.17,-26.6,5.95,-1.32,0
1746818604.063253,-2.0,0.17,-0.18,-15.27,-1.58,-1.34,-1.05,0.33,0.17,-20.55,4.4,-0.49,0
1746818604.077822,-2.0,0.15,-0.2,-17.74,1.47,-0.95,-1.05,0.31,0.17,-12.24,3.33,0.62,0
1746818604.090629,-2.0,0.13,-0.18,-17.68,2.62,0.58,-1.04,0.31,0.16,-2.03,1.08,3.05,0
1746818604.107517,-2.0,0.1,-0.16,-16.02,2.02,3.23,-1.01,0.31,0.15,9.6,-0.77,5.65,0
1746818604.123532,-2.0,0.1,-0.15,-13.75,0.18,5.11,-0.98,0.32,0.14,19.83,-1.79,7.55,0
1746818604.138425,-2.0,0.1,-0.16,-13.27,-0.8,5.77,-0.95,0.33,0.11,26.3,-2.0,9.42,0
1746818604.153013,-2.0,0.11,-0.15,-16.29,-0.53,5.49,-0.92,0.33,0.09,29.07,-1.06,11.08,0
1746818604.168407,-2.0,0.11,-0.18,-19.84,1.22,4.78,-0.88,0.34,0.07,28.61,0.02,12.74,0
1746818604.184323,-2.0,0.08,-0.19,-22.02,3.46,4.48,-0.85,0.34,0.06,25.1,1.67,14.14,0
1746818604.198715,-2.0,0.06,-0.18,-21.56,6.09,4.34,-0.82,0.36,0.07,18.71,2.93,14.92,0
1746818604.212587,-2.0,0.04,-0.16,-19.42,7.05,5.33,-0.8,0.35,0.06,9.69,3.64,15.69,0
1746818604.227867,-2.0,0.04,-0.14,-16.03,6.21,6.85,-0.79,0.34,0.07,-0.01,3.34,16.37,0
1746818604.240834,-2.0,0.04,-0.13,-12.02,3.29,8.31,-0.78,0.31,0.09,-6.85,2.63,15.83,0
1746818604.259179,-2.0,0.05,-0.13,-9.52,1.01,9.82,-0.76,0.28,0.08,-9.26,2.76,14.1,0
1746818604.27427,-2.0,0.06,-0.14,-8.72,0.5,11.15,-0.74,0.28,0.09,-9.87,3.35,12.4,0
1746818604.289141,-2.0,0.05,-0.14,-8.0,0.65,12.21,-0.74,0.27,0.11,-10.21,3.73,10.42,0
1746818604.303519,-2.0,0.05,-0.13,-7.27,3.08,13.28,-0.74,0.26,0.12,-9.04,2.69,8.48,0
1746818604.318573,-2.0,0.04,-0.12,-5.7,5.13,14.67,-0.74,0.25,0.1,-6.05,0.56,7.41,0
1746818604.334028,-2.0,0.04,-0.09,-3.37,4.33,16.12,-0.75,0.24,0.11,-1.9,-1.66,6.31,0
1746818604.348347,-2.0,0.04,-0.1,-1.39,1.74,17.07,-0.78,0.24,0.1,1.15,-4.21,5.21,0
1746818604.363823,-2.0,0.06,-0.11,-0.77,-1.15,16.66,-0.82,0.24,0.1,1.44,-6.38,2.52,0
1746818604.378994,-2.0,0.1,-0.17,-2.66,-2.19,15.27,-0.88,0.24,0.08,-0.37,-6.66,-1.73,0
1746818604.393561,-2.0,0.15,-0.23,-7.65,-0.45,12.85,-0.94,0.24,0.08,-2.98,-6.35,-6.54,0
1746818604.409206,-2.0,0.22,-0.33,-21.04,15.12,9.35,-1.01,0.24,0.09,-4.37,-4.53,-11.72,0
1746818604.423955,-2.0,0.16,-0.33,-18.85,6.08,9.89,-1.03,0.25,0.08,-5.63,-2.87,-15.98,0
1746818604.438542,-2.0,0.13,-0.32,-16.21,9.03,8.47,-1.06,0.29,0.08,-5.91,-1.54,-18.89,0
1746818604.453219,-2.0,0.08,-0.28,-9.98,8.55,7.97,-1.05,0.3,0.08,-5.98,-0.67,-19.08,0
1746818604.469354,-2.0,0.08,-0.27,-2.12,8.23,8.33,-1.04,0.32,0.08,-4.78,-0.11,-16.35,0
