timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746818813.870892,-2.0,-0.24,0.06,-10.85,-1.75,3.67,-0.93,0.27,-0.11,-5.61,2.96,2.29,0
1746818813.886225,-2.0,-0.24,0.06,-11.31,-1.73,3.71,-0.92,0.27,-0.11,-6.15,3.21,1.6,0
1746818813.901217,-2.0,-0.24,0.06,-11.18,-1.94,3.59,-0.93,0.27,-0.11,-6.68,3.39,1.06,0
1746818813.915343,-2.0,-0.25,0.06,-10.39,-1.56,4.21,-0.93,0.26,-0.1,-6.43,2.94,0.86,0
1746818813.930462,-2.0,-0.24,0.05,-9.5,-1.77,4.96,-0.93,0.26,-0.1,-5.11,2.62,0.6,0
1746818813.945163,-2.0,-0.24,0.04,-9.52,-1.74,5.59,-0.94,0.27,-0.11,-4.13,2.84,0.59,0
1746818813.959864,-2.0,-0.24,0.04,-9.93,-1.01,5.98,-0.94,0.26,-0.11,-3.66,3.12,0.47,0
1746818813.97525,-2.0,-0.25,0.05,-9.69,-0.8,5.9,-0.94,0.27,-0.1,-3.92,3.49,-0.23,0
1746818813.990312,-2.0,-0.25,0.06,-9.34,-0.7,6.21,-0.94,0.28,-0.09,-4.6,3.1,-0.67,0
1746818814.005386,-2.0,-0.25,0.05,-9.3,-0.78,6.63,-0.94,0.28,-0.1,-4.98,2.24,-1.04,0
1746818814.02046,-2.0,-0.25,0.06,-9.47,-0.98,6.81,-0.93,0.28,-0.09,-4.7,1.44,-1.07,0
1746818814.035538,-2.0,-0.25,0.07,-10.6,-0.58,6.65,-0.94,0.27,-0.09,-3.76,1.47,-0.56,0
1746818814.050536,-2.0,-0.25,0.05,-11.37,-0.48,6.54,-0.93,0.28,-0.1,-2.75,1.79,-0.44,0
1746818814.065363,-2.0,-0.26,0.05,-11.32,-0.2,6.26,-0.94,0.28,-0.09,-1.93,1.31,-0.56,0
1746818814.079376,-2.0,-0.27,0.04,-10.57,0.12,6.45,-0.95,0.28,-0.09,-2.23,0.57,-0.75,0
1746818814.09533,-2.0,-0.26,0.06,-9.5,0.21,6.47,-0.94,0.29,-0.1,-2.82,0.19,-0.81,0
1746818814.110358,-2.0,-0.26,0.04,-8.73,0.98,6.63,-0.93,0.29,-0.11,-3.34,-0.04,-1.05,0
1746818814.126398,-2.0,-0.26,0.04,-8.1,1.13,6.18,-0.93,0.29,-0.1,-3.07,-0.17,-0.64,0
1746818814.142041,-2.0,-0.26,0.04,-7.74,1.11,6.06,-0.94,0.29,-0.11,-3.2,-0.5,-0.04,0
1746818814.156238,-2.0,-0.25,0.04,-8.18,1.58,5.76,-0.95,0.29,-0.1,-3.01,-1.3,0.21,0
1746818814.170625,-2.0,-0.26,0.04,-8.34,2.24,5.93,-0.95,0.28,-0.11,-2.51,-1.66,0.06,0
1746818814.185757,-2.0,-0.26,0.04,-7.68,2.63,5.85,-0.95,0.28,-0.14,-3.05,-1.82,-1.49,0
1746818814.199166,-2.0,-0.26,0.04,-6.37,2.42,5.83,-0.95,0.29,-0.14,-4.37,-0.21,-4.1,0
1746818814.215463,-2.0,-0.26,0.05,-5.05,2.48,6.06,-0.94,0.33,-0.13,-10.71,2.0,-7.24,0
1746818814.229051,-2.0,-0.25,0.04,-3.66,2.62,6.37,-0.93,0.35,-0.12,-19.57,3.53,-9.07,0
1746818814.244998,-2.0,-0.24,0.04,-2.86,2.92,7.48,-0.94,0.36,-0.11,-25.9,3.53,-8.5,0
1746818814.259878,-2.0,-0.23,0.03,-2.45,3.22,9.02,-0.93,0.37,-0.11,-27.6,2.73,-5.53,0
1746818814.275211,-2.0,-0.22,0.04,-2.23,3.73,10.39,-0.94,0.35,-0.11,-25.02,2.53,-2.1,0
1746818814.290988,-2.0,-0.23,0.04,-2.38,3.69,11.57,-0.93,0.34,-0.09,-21.37,2.44,1.08,0
1746818814.305416,-2.0,-0.23,0.05,-2.92,3.69,12.76,-0.94,0.34,-0.1,-18.68,2.43,4.38,0
1746818814.320635,-2.0,-0.23,0.05,-3.53,3.06,14.05,-0.94,0.33,-0.09,-15.55,2.57,7.41,0
1746818814.33612,-2.0,-0.24,0.05,-3.66,3.28,12.42,-0.94,0.3,-0.09,-11.69,2.55,9.56,0
1746818814.351751,-2.0,-0.24,0.04,-6.01,4.08,10.1,-0.94,0.29,-0.08,-7.56,1.87,11.37,0
1746818814.364992,-2.0,-0.26,0.05,-8.31,4.65,8.15,-0.94,0.28,-0.09,-3.42,1.07,12.73,0
1746818814.380339,-2.0,-0.26,0.07,-8.39,3.91,6.19,-0.93,0.27,-0.1,-0.08,0.65,13.46,0
1746818814.394819,-2.0,-0.26,0.07,-7.2,2.83,4.09,-0.93,0.26,-0.1,2.06,0.6,13.51,0
1746818814.409983,-2.0,-0.24,0.07,-7.39,2.1,2.92,-0.92,0.26,-0.11,3.26,1.02,12.94,0
1746818814.425647,-2.0,-0.23,0.07,-8.99,2.0,2.89,-0.93,0.27,-0.1,2.8,1.5,12.47,0
1746818814.441338,-2.0,-0.23,0.05,-10.06,2.59,3.37,-0.93,0.26,-0.11,1.93,1.98,11.33,0
1746818814.455434,-2.0,-0.24,0.06,-9.64,3.54,4.29,-0.92,0.26,-0.1,0.27,1.9,10.15,0
1746818814.470346,-2.0,-0.25,0.07,-7.18,4.04,5.44,-0.92,0.26,-0.1,-1.92,1.98,9.1,0
1746818814.485458,-2.0,-0.24,0.08,-3.5,3.4,6.65,-0.92,0.25,-0.11,-3.86,2.02,8.03,0
1746818814.492965,-2.0,-0.24,0.08,-1.33,2.23,7.67,-0.92,0.24,-0.1,-4.37,2.07,6.78,0
1746818814.515131,-2.0,-0.23,0.08,-1.53,1.73,7.5,-0.91,0.24,-0.11,-4.37,1.87,5.66,0
1746818814.530415,-2.0,-0.23,0.07,-4.24,0.9,6.63,-0.91,0.24,-0.1,-3.55,1.92,4.44,0
1746818814.544924,-2.0,-0.24,0.06,-6.66,0.98,5.76,-0.92,0.24,-0.1,-3.64,2.14,2.65,0
