timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1749829727.565192,2.0,-0.41,-0.05,99.62,-27.77,55.98,-0.96,0.11,-0.17,-1.83,5.34,12.02,0
1749829727.565192,2.0,-0.29,-0.06,111.37,-23.86,58.54,-0.96,0.12,-0.17,-2.47,4.6,10.76,0
1749829727.577262,2.0,-0.27,-0.06,103.36,-18.8,57.53,-0.96,0.13,-0.17,-3.51,3.8,9.01,0
1749829727.581267,2.0,-0.26,-0.04,89.66,-13.14,55.0,-0.96,0.12,-0.16,-4.66,2.9,7.22,0
1749829727.581267,2.0,-0.27,-0.02,82.64,-11.24,55.16,-0.96,0.11,-0.17,-5.34,2.52,5.61,0
1749829727.581267,2.0,-0.25,-0.0,76.53,-8.27,56.34,-0.96,0.11,-0.16,-5.59,2.15,4.69,0
1749829727.581267,2.0,-0.21,0.03,68.5,-7.2,57.07,-0.96,0.12,-0.17,-5.47,2.06,3.87,0
1749829727.581267,2.0,-0.21,0.04,56.52,-4.69,55.6,-0.96,0.12,-0.16,-5.24,1.69,2.79,0
1749829727.581267,2.0,-0.19,0.02,42.07,-0.02,50.6,-0.97,0.12,-0.15,-4.83,1.11,2.01,0
1749829727.581267,2.0,-0.2,0.01,28.63,6.03,42.69,-0.98,0.12,-0.16,-4.75,0.11,0.8,0
1749829727.581267,2.0,-0.22,0.02,13.81,10.35,34.86,-0.98,0.13,-0.14,-4.5,-1.06,-0.1,0
1749829727.598428,2.0,-0.25,0.02,3.95,10.33,26.08,-0.99,0.13,-0.15,-3.86,-2.03,-0.74,0
1749829727.598933,2.0,-0.23,0.04,-3.32,11.13,18.75,-0.98,0.14,-0.15,-2.86,-2.77,-0.88,0
1749829727.604295,2.0,-0.27,0.06,-10.95,9.96,14.1,-0.99,0.13,-0.16,-0.85,-3.86,-0.65,0
1749829727.604295,2.0,-0.29,0.07,-9.29,6.59,10.37,-0.99,0.12,-0.15,2.26,-4.95,0.1,0
1749829727.610823,2.0,-0.28,0.07,-6.43,0.7,7.71,-1.0,0.12,-0.15,5.5,-6.08,0.58,0
1749829727.611857,2.0,-0.29,0.07,-4.82,-1.55,6.03,-1.0,0.12,-0.15,8.94,-6.97,1.17,0
1749829727.612898,2.0,-0.28,0.06,-4.13,-0.87,5.86,-0.99,0.13,-0.17,12.02,-7.87,1.95,0
1749829727.612898,2.0,-0.28,0.06,-3.02,-0.83,6.11,-0.98,0.14,-0.17,15.24,-8.08,3.37,0
1749829727.612898,2.0,-0.28,0.05,-1.54,0.17,6.86,-0.96,0.14,-0.18,18.02,-7.87,5.11,0
1749829727.612898,2.0,-0.27,0.06,0.31,0.07,7.46,-0.95,0.14,-0.2,20.76,-7.17,6.92,0
1749829727.612898,2.0,-0.28,0.06,2.2,-0.88,8.37,-0.94,0.14,-0.2,23.35,-6.53,7.27,0
1749829727.612898,2.0,-0.27,0.06,4.27,-3.17,8.93,-0.93,0.14,-0.2,24.65,-4.99,6.66,0
1749829727.612898,2.0,-0.26,0.07,5.87,-6.08,8.68,-0.93,0.14,-0.21,23.27,-4.24,4.89,0
1749829727.612898,2.0,-0.27,0.07,7.3,-7.6,7.19,-0.93,0.15,-0.21,19.49,-2.98,1.76,0
1749829727.612898,2.0,-0.26,0.06,4.89,-7.24,4.79,-0.94,0.15,-0.21,13.97,-2.99,-1.95,0
1749829727.612898,2.0,-0.25,0.06,2.18,-5.95,2.96,-0.95,0.16,-0.21,7.56,-2.74,-5.83,0
1749829727.612898,2.0,-0.25,0.06,-1.99,-4.24,1.15,-0.95,0.16,-0.21,2.51,-2.84,-8.89,0
1749829727.612898,2.0,-0.26,0.05,-5.2,-3.59,-0.27,-0.96,0.15,-0.2,0.33,-2.73,-10.23,0
1749829727.628626,2.0,-0.27,0.06,-5.73,-2.94,-1.21,-0.95,0.15,-0.22,1.53,-2.33,-10.37,0
1749829727.628626,2.0,-0.26,0.05,-6.35,-1.87,-2.44,-0.96,0.15,-0.21,4.45,-1.15,-9.71,0
1749829727.628626,2.0,-0.29,0.06,-5.23,-1.88,-2.61,-0.95,0.17,-0.2,6.84,-0.35,-8.84,0
1749829727.628626,2.0,-0.28,0.05,-3.58,-2.27,-2.28,-0.96,0.18,-0.2,7.82,0.05,-8.02,0
1749829727.628626,2.0,-0.28,0.06,-4.11,-1.89,-1.63,-0.96,0.19,-0.2,7.76,0.23,-7.31,0
1749829727.628626,2.0,-0.27,0.05,-4.2,-2.09,-2.2,-0.95,0.2,-0.21,7.05,0.29,-5.92,0
1749829727.628626,2.0,-0.27,0.06,-6.5,-1.72,-4.01,-0.96,0.2,-0.22,6.44,0.89,-4.47,0
1749829727.628626,2.0,-0.26,0.06,-9.84,-1.51,-6.37,-0.95,0.19,-0.22,5.67,1.92,-3.36,0
1749829727.628626,2.0,-0.26,0.06,-12.47,-2.56,-8.4,-0.96,0.19,-0.21,4.29,2.8,-3.21,0
1749829727.628626,2.0,-0.26,0.05,-14.27,-3.05,-10.1,-0.97,0.2,-0.21,1.21,3.18,-3.14,0
1749829727.628626,2.0,-0.26,0.05,-14.63,-2.94,-11.43,-0.98,0.21,-0.2,-1.73,3.02,-3.31,0
1749829727.628626,2.0,-0.26,0.05,-15.59,-1.4,-11.2,-0.98,0.19,-0.2,-3.99,2.69,-2.93,0
1749829727.628626,2.0,-0.27,0.04,-14.48,0.45,-9.7,-0.99,0.19,-0.18,-4.27,2.18,-2.26,0
1749829727.628626,2.0,-0.27,0.05,-12.64,1.47,-7.89,-0.99,0.19,-0.18,-3.16,2.08,-0.47,0
1749829727.644154,2.0,-0.27,0.05,-10.77,2.59,-5.51,-0.98,0.19,-0.18,-1.15,1.85,1.64,0
1749829727.644154,2.0,-0.26,0.05,-7.43,2.5,-3.27,-0.98,0.18,-0.18,1.38,1.37,3.85,0
1749829727.644154,2.0,-0.25,0.05,-5.23,1.76,-1.83,-0.98,0.2,-0.18,0.94,0.86,6.71,0
1749829727.644154,2.0,-0.24,0.05,-5.25,0.6,-0.53,-0.98,0.18,-0.18,0.18,0.91,7.88,0
1749829727.644154,2.0,-0.24,0.06,-6.56,-0.56,0.15,-0.98,0.18,-0.18,-0.16,0.91,8.15,0
1749829727.644154,2.0,-0.24,0.05,-7.98,-1.6,0.53,-0.98,0.18,-0.18,-0.49,0.33,8.64,0
1749829727.644154,2.0,-0.24,0.05,-9.18,-1.66,1.31,-0.98,0.17,-0.19,-1.02,0.07,9.38,0
1749829727.644154,2.0,-0.24,0.04,-9.59,-1.32,2.4,-0.97,0.17,-0.18,-1.05,0.41,9.63,0
1749829727.644154,2.0,-0.25,0.04,-9.24,0.06,3.92,-0.97,0.16,-0.18,-0.66,1.02,9.56,0
1749829727.644154,2.0,-0.26,0.04,-8.66,0.45,5.38,-0.98,0.16,-0.18,-0.5,1.58,9.09,0
