timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1749830995.987351,2.0,-0.18,-0.1,-9.18,1.05,3.74,-0.97,0.18,-0.22,-0.78,1.69,0.27,0
1749830995.987351,2.0,-0.19,-0.1,-7.55,1.46,5.33,-0.97,0.18,-0.23,-5.78,1.11,-1.09,0
1749830995.987351,2.0,-0.19,-0.09,-5.64,1.69,6.73,-0.97,0.18,-0.22,-8.56,0.48,-1.69,0
1749830995.999365,2.0,-0.2,-0.09,-3.53,1.16,7.22,-0.97,0.17,-0.21,-9.39,0.68,-1.27,0
1749830995.999365,2.0,-0.19,-0.09,-3.24,0.6,7.16,-0.97,0.16,-0.21,-7.73,0.79,-0.05,0
1749830995.999365,2.0,-0.18,-0.09,-4.25,0.47,6.02,-0.97,0.16,-0.22,-4.13,0.27,1.38,0
1749830995.999365,2.0,-0.17,-0.1,-6.82,0.73,4.4,-0.97,0.15,-0.22,-0.43,0.5,2.56,0
1749830995.999365,2.0,-0.17,-0.09,-9.34,1.44,3.16,-0.96,0.16,-0.23,2.11,1.06,3.13,0
1749830995.999365,2.0,-0.17,-0.1,-11.07,1.8,2.37,-0.97,0.16,-0.24,2.69,1.69,3.31,0
1749830995.999365,2.0,-0.18,-0.09,-11.09,2.48,3.08,-0.97,0.17,-0.23,1.17,2.21,2.34,0
1749830995.999365,2.0,-0.19,-0.1,-9.18,2.3,3.88,-0.97,0.18,-0.22,-1.33,2.55,1.31,0
1749830996.014994,2.0,-0.2,-0.09,-6.63,1.81,4.79,-0.97,0.18,-0.22,-4.0,2.4,1.11,0
1749830996.014994,2.0,-0.2,-0.09,-4.76,1.33,4.88,-0.97,0.17,-0.22,-4.52,1.64,1.49,0
1749830996.014994,2.0,-0.18,-0.08,-4.12,1.1,4.92,-0.96,0.15,-0.22,-3.36,1.49,2.46,0
1749830996.014994,2.0,-0.17,-0.09,-5.2,1.49,4.58,-0.97,0.15,-0.22,-1.64,1.89,3.01,0
1749830996.014994,2.0,-0.18,-0.08,-6.38,1.47,4.31,-0.96,0.15,-0.22,-0.45,2.54,3.21,0
1749830996.014994,2.0,-0.18,-0.09,-7.61,2.24,3.98,-0.97,0.16,-0.24,0.18,2.85,3.2,0
1749830996.014994,2.0,-0.18,-0.09,-8.5,2.01,3.95,-0.97,0.16,-0.21,-0.07,2.89,2.84,0
1749830996.014994,2.0,-0.18,-0.09,-8.15,1.96,4.1,-0.98,0.17,-0.21,-1.23,2.53,2.37,0
1749830996.030616,2.0,-0.19,-0.09,-7.18,1.77,3.87,-0.97,0.16,-0.2,-2.47,1.83,2.21,0
1749830996.030616,2.0,-0.19,-0.09,-6.18,1.42,4.26,-0.98,0.16,-0.21,-2.82,1.48,2.4,0
1749830996.030616,2.0,-0.18,-0.09,-6.0,0.96,4.58,-0.97,0.16,-0.21,-2.58,1.47,2.89,0
1749830996.030616,2.0,-0.18,-0.09,-6.08,1.37,4.52,-0.97,0.15,-0.21,-1.79,1.51,3.2,0
1749830996.039121,2.0,-0.18,-0.09,-6.62,1.37,4.5,-0.97,0.15,-0.21,-0.74,1.69,3.47,0
1749830996.039121,2.0,-0.19,-0.09,-7.05,1.89,4.66,-0.96,0.16,-0.21,-0.62,1.72,3.38,0
1749830996.039121,2.0,-0.19,-0.09,-6.49,1.4,5.21,-0.97,0.15,-0.2,-0.82,1.41,3.04,0
1749830996.039121,2.0,-0.19,-0.08,-5.4,1.71,5.69,-0.98,0.16,-0.21,-1.31,1.07,2.64,0
1749830996.039121,2.0,-0.19,-0.09,-4.39,1.11,5.37,-0.97,0.15,-0.21,-1.77,0.92,2.17,0
1749830996.039121,2.0,-0.19,-0.09,-4.14,0.91,5.07,-0.97,0.16,-0.2,-2.22,0.24,2.02,0
1749830996.039121,2.0,-0.19,-0.08,-4.86,0.78,4.72,-0.98,0.15,-0.21,-2.0,0.13,2.08,0
1749830996.046628,2.0,-0.2,-0.08,-5.22,0.76,3.97,-0.97,0.16,-0.22,-1.84,-0.37,2.4,0
1749830996.046628,2.0,-0.19,-0.08,-6.07,0.56,3.13,-0.98,0.17,-0.22,-1.03,-0.15,2.97,0
1749830996.046628,2.0,-0.19,-0.09,-6.82,0.05,2.28,-0.97,0.16,-0.21,-0.19,-0.38,3.79,0
1749830996.046628,2.0,-0.2,-0.09,-7.05,-0.31,1.56,-0.98,0.16,-0.22,0.27,-0.69,4.06,0
1749830996.046628,2.0,-0.19,-0.08,-6.23,-0.68,1.08,-0.97,0.15,-0.22,0.83,-0.82,4.28,0
1749830996.046628,2.0,-0.18,-0.1,-6.54,0.32,1.33,-0.97,0.15,-0.22,0.61,-0.74,4.27,0
1749830996.046628,2.0,-0.17,-0.1,-7.38,1.22,1.73,-0.97,0.15,-0.24,1.08,-0.58,4.21,0
1749830996.046628,2.0,-0.18,-0.1,-6.5,1.37,1.77,-0.97,0.15,-0.23,1.36,-0.23,3.51,0
1749830996.046628,2.0,-0.18,-0.1,-6.17,1.02,1.76,-0.96,0.15,-0.22,0.98,0.41,2.84,0
1749830996.046628,2.0,-0.18,-0.09,-6.4,1.53,2.86,-0.97,0.16,-0.23,0.16,0.7,2.3,0
1749830996.046628,2.0,-0.17,-0.09,-6.07,1.62,3.84,-0.96,0.15,-0.22,-0.76,0.95,1.68,0
1749830996.046628,2.0,-0.17,-0.09,-5.66,1.69,4.66,-0.96,0.16,-0.23,-1.88,1.12,1.27,0
1749830996.046628,2.0,-0.18,-0.09,-4.59,1.19,4.6,-0.96,0.16,-0.22,-2.15,0.88,1.15,0
1749830996.062256,2.0,-0.18,-0.1,-4.53,1.09,4.65,-0.97,0.16,-0.21,-2.17,0.6,1.19,0
1749830996.062256,2.0,-0.17,-0.09,-5.63,1.88,5.23,-0.97,0.15,-0.22,-1.27,0.63,1.48,0
1749830996.062256,2.0,-0.19,-0.1,-6.5,2.5,5.46,-0.97,0.15,-0.23,-0.53,0.85,1.49,0
1749830996.062256,2.0,-0.19,-0.1,-6.0,2.2,5.03,-0.98,0.16,-0.22,0.18,1.15,1.47,0
1749830996.062256,2.0,-0.19,-0.1,-5.08,1.45,4.54,-0.97,0.17,-0.21,-0.07,1.27,1.41,0
1749830996.062256,2.0,-0.19,-0.09,-4.92,1.23,4.93,-0.98,0.17,-0.22,-0.56,0.94,1.7,0
1749830996.062256,2.0,-0.18,-0.09,-5.48,1.69,4.99,-0.97,0.17,-0.21,-1.08,0.85,2.11,0
1749830996.062256,2.0,-0.19,-0.1,-5.79,2.19,4.9,-0.96,0.16,-0.21,-1.2,0.68,2.66,0
1749830996.062256,2.0,-0.19,-0.1,-5.53,2.16,4.89,-0.96,0.16,-0.22,-1.06,0.38,2.63,0
1749830996.062256,2.0,-0.19,-0.1,-4.48,1.5,4.13,-0.96,0.15,-0.22,-1.14,0.71,2.12,0
1749830996.062256,2.0,-0.18,-0.09,-4.27,0.89,3.8,-0.96,0.16,-0.22,-1.2,0.47,1.58,0
1749830996.062256,2.0,-0.18,-0.1,-5.18,1.86,3.95,-0.96,0.15,-0.21,-1.09,0.68,1.12,0
1749830996.062256,2.0,-0.18,-0.09,-6.66,2.6,4.49,-0.97,0.16,-0.22,-0.72,0.39,1.12,0
1749830996.062256,2.0,-0.18,-0.1,-6.33,2.93,4.32,-0.96,0.15,-0.21,-0.09,0.51,1.3,0
1749830996.077879,2.0,-0.19,-0.1,-5.61,2.1,3.69,-0.97,0.16,-0.23,0.33,0.82,1.46,0
1749830996.079144,2.0,-0.18,-0.09,-5.2,1.64,3.95,-0.96,0.17,-0.23,0.3,1.53,1.57,0
1749830996.079144,2.0,-0.17,-0.1,-5.78,1.81,4.52,-0.97,0.16,-0.23,-0.16,1.39,1.34,0
1749830996.079144,2.0,-0.17,-0.1,-6.53,2.9,5.54,-0.97,0.17,-0.23,-1.06,1.81,0.76,0
1749830996.079144,2.0,-0.19,-0.1,-5.24,3.24,6.11,-0.97,0.17,-0.21,-2.08,1.8,0.61,0
1749830996.079144,2.0,-0.2,-0.09,-3.4,2.54,6.82,-0.98,0.17,-0.21,-2.57,1.48,0.55,0
1749830996.079144,2.0,-0.19,-0.09,-1.75,2.54,7.47,-0.97,0.17,-0.2,-2.21,1.47,0.82,0
1749830996.079144,2.0,-0.19,-0.09,-1.31,2.41,7.78,-0.98,0.17,-0.2,-1.41,0.65,1.37,0
1749830996.09365,2.0,-0.18,-0.08,-2.4,2.21,7.08,-0.99,0.18,-0.19,-0.15,-0.35,2.54,0
1749830996.09365,2.0,-0.17,-0.09,-3.6,2.4,6.28,-0.98,0.17,-0.2,1.76,-0.98,4.37,0
1749830996.09365,2.0,-0.18,-0.09,-5.11,2.31,5.93,-0.98,0.16,-0.21,3.76,-1.49,6.11,0
1749830996.09365,2.0,-0.18,-0.1,-5.42,2.14,6.01,-0.97,0.16,-0.23,5.56,-1.18,7.11,0
1749830996.09365,2.0,-0.18,-0.11,-4.92,2.6,6.47,-0.96,0.16,-0.23,5.74,-0.27,6.58,0
1749830996.09365,2.0,-0.19,-0.11,-3.93,2.89,7.05,-0.96,0.16,-0.24,3.37,0.32,5.43,0
1749830996.09365,2.0,-0.19,-0.09,-3.24,3.66,7.82,-0.95,0.15,-0.23,-0.11,1.16,3.37,0
1749830996.09365,2.0,-0.19,-0.08,-2.89,3.73,7.93,-0.95,0.15,-0.23,-3.08,1.82,1.17,0
1749830996.09365,2.0,-0.19,-0.09,-2.64,3.46,7.8,-0.95,0.15,-0.23,-4.89,2.21,-0.37,0
1749830996.09365,2.0,-0.19,-0.08,-2.65,3.06,7.0,-0.95,0.14,-0.22,-6.04,1.97,-1.58,0
1749830996.09365,2.0,-0.19,-0.08,-3.85,2.27,6.13,-0.96,0.15,-0.22,-6.08,1.78,-2.18,0
1749830996.09365,2.0,-0.19,-0.07,-4.6,1.31,5.1,-0.96,0.15,-0.21,-5.15,1.62,-2.21,0
1749830996.09365,2.0,-0.18,-0.09,-5.21,0.8,4.11,-0.97,0.15,-0.21,-3.39,1.14,-1.5,0
1749830996.09365,2.0,-0.18,-0.08,-6.24,0.19,3.2,-0.96,0.16,-0.22,-1.32,1.1,-0.65,0
1749830996.09365,2.0,-0.19,-0.09,-6.8,0.4,2.57,-0.98,0.17,-0.23,-0.12,1.45,0.27,0
1749830996.109277,2.0,-0.18,-0.1,-6.47,0.88,2.53,-0.98,0.17,-0.23,0.04,1.66,0.54,0
1749830996.109277,2.0,-0.18,-0.09,-6.05,1.13,2.69,-0.98,0.17,-0.24,-0.84,1.58,0.77,0
1749830996.109277,2.0,-0.17,-0.1,-5.92,1.42,3.08,-0.97,0.17,-0.23,-1.68,1.6,1.08,0
1749830996.109277,2.0,-0.17,-0.09,-5.41,1.02,3.28,-0.97,0.16,-0.23,-2.42,2.05,1.03,0
1749830996.109277,2.0,-0.18,-0.1,-4.67,0.31,3.53,-0.97,0.16,-0.23,-2.94,2.43,0.8,0
1749830996.109277,2.0,-0.17,-0.11,-4.39,0.66,3.76,-0.97,0.15,-0.23,-3.19,2.93,0.73,0
1749830996.109277,2.0,-0.17,-0.11,-4.4,1.29,4.15,-0.96,0.15,-0.23,-3.35,3.22,0.53,0
1749830996.109277,2.0,-0.17,-0.11,-4.31,1.2,4.05,-0.96,0.14,-0.22,-3.08,3.15,0.65,0
1749830996.109277,2.0,-0.16,-0.1,-4.69,1.8,4.12,-0.96,0.14,-0.22,-2.47,3.03,0.65,0
1749830996.109277,2.0,-0.15,-0.11,-5.76,2.24,4.18,-0.96,0.14,-0.24,-2.44,3.01,0.23,0
1749830996.109277,2.0,-0.15,-0.11,-6.58,2.47,4.59,-0.96,0.13,-0.24,-3.37,3.5,-0.9,0
1749830996.124901,2.0,-0.15,-0.1,-7.11,2.79,5.2,-0.95,0.13,-0.24,-5.4,4.08,-2.79,0
1749830996.12591,2.0,-0.15,-0.1,-6.87,2.71,6.44,-0.97,0.13,-0.23,-6.89,4.76,-4.58,0
1749830996.12591,2.0,-0.15,-0.1,-6.89,3.18,7.7,-0.97,0.13,-0.22,-7.12,4.7,-5.71,0
1749830996.12591,2.0,-0.15,-0.1,-6.95,3.34,8.84,-0.97,0.14,-0.22,-6.41,4.27,-5.89,0
1749830996.12591,2.0,-0.16,-0.1,-7.02,3.47,9.27,-0.97,0.15,-0.22,-5.25,4.07,-5.53,0
1749830996.12591,2.0,-0.15,-0.1,-7.47,3.35,9.28,-0.98,0.14,-0.21,-4.02,4.0,-4.69,0
1749830996.12591,2.0,-0.16,-0.1,-8.47,2.82,8.67,-0.98,0.16,-0.22,-2.84,3.76,-4.11,0
1749830996.12591,2.0,-0.15,-0.1,-9.98,2.8,8.08,-0.98,0.16,-0.22,-2.32,3.89,-3.29,0
