timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1749828744.872149,-1.08,-0.56,0.06,43.01,33.69,28.36,-0.93,-0.15,-0.62,29.81,-8.91,22.04,0
1749828744.872149,-1.07,-0.57,0.06,49.46,35.81,31.44,-0.92,-0.16,-0.61,48.63,-9.58,29.3,0
1749828744.872149,-1.08,-0.58,0.07,57.11,37.69,33.81,-0.92,-0.16,-0.59,66.84,-9.09,36.73,0
1749828744.872149,-1.08,-0.57,0.05,65.6,39.42,35.44,-0.94,-0.16,-0.54,81.97,-11.82,40.94,0
1749828744.872149,-1.07,-0.58,0.06,76.01,40.37,35.4,-0.93,-0.16,-0.53,94.19,-14.76,41.93,0
1749828744.872149,-1.09,-0.57,0.05,87.84,40.82,35.13,-0.94,-0.15,-0.51,106.03,-17.04,43.66,0
1749828744.888709,-1.09,-0.52,0.04,98.84,38.78,37.47,-0.99,-0.13,-0.46,112.6,-19.91,42.71,0
1749828744.888709,-1.1,-0.5,0.02,103.21,35.12,41.67,-1.0,-0.11,-0.42,114.5,-26.05,37.67,0
1749828744.888709,-1.1,-0.47,-0.01,104.63,31.33,44.96,-0.94,-0.03,-0.46,108.38,-28.38,30.08,0
1749828744.888709,-1.11,-0.47,-0.05,104.03,27.4,45.73,-0.8,-0.02,-0.58,89.63,-13.41,20.08,0
1749828744.888709,-1.11,-0.47,-0.07,100.91,23.15,43.14,-0.68,-0.12,-0.63,86.74,4.5,15.17,0
1749828744.888709,-1.1,-0.47,-0.09,98.92,19.36,37.98,-0.69,-0.12,-0.6,93.23,28.72,13.8,0
1749828744.888709,-1.1,-0.45,-0.1,98.75,16.84,30.56,-0.75,-0.06,-0.52,94.31,37.03,13.95,0
1749828744.903717,-1.1,-0.43,-0.11,98.08,16.35,22.36,-0.81,-0.07,-0.5,100.56,36.92,15.02,0
1749828744.903717,-1.12,-0.38,-0.11,93.34,15.18,16.9,-0.91,-0.02,-0.6,116.52,41.07,16.26,0
1749828744.903717,-1.15,-0.34,-0.13,86.83,14.17,14.82,-1.19,0.27,-0.44,101.15,39.0,10.84,0
1749828744.903717,-1.15,-0.33,-0.12,77.87,13.07,15.27,-1.26,0.41,-0.29,57.64,-2.06,1.64,0
1749828744.903717,-1.11,-0.32,-0.1,67.98,14.76,13.11,-0.95,0.13,-0.56,79.05,-10.62,17.19,0
1749828744.903717,-1.07,-0.32,-0.07,59.54,21.62,7.53,-0.89,0.22,-0.72,112.72,4.24,37.48,0
1749828744.903717,-1.09,-0.35,-0.05,57.45,28.63,3.4,-0.99,0.26,-0.73,86.79,19.66,30.4,0
1749828744.903717,-1.13,-0.34,-0.01,60.87,32.53,3.69,-1.1,0.21,-0.65,41.48,10.62,14.8,0
1749828744.903717,-1.15,-0.37,0.03,68.85,31.13,7.96,-1.07,0.06,-0.69,38.49,1.07,13.73,0
1749828744.919348,-1.16,-0.35,0.02,77.92,27.55,14.8,-0.99,0.06,-0.78,54.42,3.17,15.69,0
1749828744.919348,-1.14,-0.3,-0.01,79.12,23.85,19.24,-0.91,0.14,-0.8,53.76,7.69,16.0,0
1749828744.919348,-1.13,-0.27,-0.03,72.38,23.26,19.07,-0.83,0.11,-0.78,47.84,9.98,15.69,0
1749828744.919348,-1.11,-0.25,-0.01,63.79,24.54,15.63,-0.8,0.06,-0.76,46.05,14.87,15.13,0
1749828744.919348,-1.12,-0.27,-0.01,58.69,26.44,12.66,-0.79,0.01,-0.69,49.27,14.34,12.34,0
1749828744.919348,-1.1,-0.28,-0.03,59.27,27.53,12.21,-0.81,-0.05,-0.61,59.0,10.82,11.08,0
1749828744.919348,-1.09,-0.31,-0.03,66.08,29.54,13.4,-0.83,-0.05,-0.57,73.65,6.44,13.81,0
1749828744.919348,-1.07,-0.29,-0.03,76.95,32.54,14.7,-0.87,-0.01,-0.54,87.47,2.86,18.27,0
1749828744.919348,-1.07,-0.27,-0.04,86.88,34.89,15.89,-0.88,0.06,-0.57,90.37,-0.68,20.92,0
1749828744.919348,-1.05,-0.22,-0.04,91.83,37.67,16.77,-0.88,0.11,-0.64,88.88,-0.61,22.56,0
1749828744.931853,-1.05,-0.19,-0.06,92.18,40.88,16.81,-0.9,0.14,-0.64,84.56,0.88,22.92,0
1749828744.931853,-1.05,-0.17,-0.07,91.11,43.33,16.38,-0.92,0.14,-0.63,80.34,-0.54,24.35,0
1749828744.93536,-1.07,-0.15,-0.08,88.84,45.53,15.46,-0.95,0.13,-0.62,78.18,-3.09,27.76,0
1749828744.93536,-1.09,-0.14,-0.08,85.82,46.53,16.76,-0.95,0.09,-0.64,78.13,-5.77,29.87,0
1749828744.93536,-1.11,-0.14,-0.09,83.36,46.53,21.22,-0.91,0.07,-0.67,76.23,-3.99,28.48,0
1749828744.93536,-1.11,-0.16,-0.1,81.77,45.74,26.03,-0.89,0.08,-0.69,67.13,0.01,23.01,0
1749828744.93536,-1.11,-0.19,-0.11,79.86,47.08,29.16,-0.89,0.08,-0.67,54.17,3.51,17.76,0
1749828744.93536,-1.13,-0.23,-0.13,78.32,48.47,32.1,-0.95,0.03,-0.6,46.56,4.81,15.0,0
1749828744.93536,-1.15,-0.28,-0.14,80.67,48.6,35.64,-1.01,-0.01,-0.55,44.34,-0.19,14.28,0
1749828744.93536,-1.16,-0.3,-0.12,83.66,45.71,39.02,-1.05,-0.03,-0.53,47.6,-5.41,13.64,0
1749828744.93536,-1.15,-0.32,-0.1,86.18,41.11,41.27,-1.03,-0.04,-0.47,52.55,-8.97,12.55,0
