timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744134033.834126,-2.0,-0.52,0.34,-2.37,16.41,38.31,-0.95,0.33,-0.05,-6.39,13.3,14.07,0
1744134033.838174,-2.0,-0.53,0.35,-0.69,16.44,39.53,-0.96,0.34,-0.06,-14.9,13.83,15.24,0
1744134033.840042,-2.0,-0.52,0.36,-0.17,16.96,40.95,-0.95,0.34,-0.05,-20.35,14.16,17.21,0
1744134033.841946,-2.0,-0.52,0.36,1.53,17.15,42.04,-0.95,0.32,-0.04,-22.43,13.25,20.31,0
1744134033.843674,-2.0,-0.49,0.38,1.37,16.97,45.08,-0.94,0.29,-0.04,-19.05,13.82,23.07,0
1744134033.845127,-2.0,-0.5,0.41,2.67,15.63,47.13,-0.92,0.28,-0.04,-13.98,14.3,24.76,0
1744134033.84613,-2.0,-0.49,0.41,4.37,13.14,48.99,-0.92,0.28,-0.02,-9.49,14.67,24.17,0
1744134033.847128,-2.0,-0.49,0.4,4.98,11.48,51.23,-0.92,0.3,-0.02,-8.27,14.04,23.1,0
1744134033.848129,-2.0,-0.48,0.41,5.05,8.76,52.21,-0.92,0.34,-0.02,-10.83,12.67,21.92,0
1744134033.849287,-2.0,-0.47,0.42,5.02,5.47,52.73,-0.94,0.37,-0.02,-15.5,11.75,22.28,0
1744134033.85036,-2.0,-0.48,0.43,4.35,3.55,53.44,-0.93,0.36,-0.03,-18.82,10.57,24.35,0
1744134033.85036,-2.0,-0.49,0.43,6.27,1.56,52.06,-0.95,0.35,-0.03,-19.35,10.05,27.52,0
1744134033.85036,-2.0,-0.47,0.43,7.52,-0.56,52.74,-0.94,0.34,-0.03,-16.46,8.72,30.02,0
1744134033.85036,-2.0,-0.48,0.43,7.95,0.02,53.55,-0.96,0.38,-0.04,-14.67,8.56,31.69,0
1744134033.854305,-2.0,-0.47,0.42,8.26,1.87,54.6,-0.97,0.44,-0.04,-18.42,8.81,35.22,0
1744134033.855311,-2.0,-0.48,0.43,9.59,1.4,54.5,-1.02,0.52,-0.02,-24.5,8.09,42.09,0
1744134033.856309,-2.0,-0.45,0.44,10.01,-0.97,55.05,-1.04,0.54,-0.0,-25.98,6.84,51.47,0
1744134033.857309,-2.0,-0.45,0.43,8.72,-1.05,55.68,-1.07,0.56,0.03,-20.05,4.22,63.33,0
1744134033.858309,-2.0,-0.43,0.46,7.95,-3.61,56.5,-1.04,0.53,0.0,-6.44,1.18,74.0,0
1744134033.86068,-2.0,-0.45,0.44,6.36,-5.58,56.7,-1.03,0.52,-0.01,9.7,-1.78,82.45,0
1744134033.861378,-2.0,-0.42,0.45,4.08,-6.13,56.58,-0.97,0.51,-0.02,23.41,-3.53,88.1,0
1744134033.863384,-2.0,-0.41,0.45,-1.86,-7.66,57.03,-0.94,0.54,-0.01,26.79,-4.6,90.13,0
1744134033.864383,-2.0,-0.43,0.45,-8.95,-7.54,57.09,-0.9,0.51,-0.02,23.54,-6.55,89.52,0
1744134033.864892,-2.0,-0.46,0.45,-14.08,-8.12,55.68,-0.85,0.47,-0.04,18.15,-6.54,85.06,0
1744134033.866832,-2.0,-0.5,0.47,-15.96,-9.22,53.25,-0.81,0.44,-0.05,13.5,-6.95,79.57,0
1744134033.867749,-2.0,-0.54,0.47,-14.72,-9.26,48.63,-0.77,0.41,-0.08,10.03,-5.93,72.52,0
1744134033.868751,-2.0,-0.57,0.48,-10.73,-9.52,41.27,-0.76,0.4,-0.09,6.24,-6.39,65.6,0
1744134033.869793,-2.0,-0.57,0.49,-7.89,-8.87,33.8,-0.73,0.38,-0.11,3.68,-5.79,58.89,0
1744134033.87078,-2.0,-0.58,0.5,-5.26,-8.69,26.24,-0.72,0.36,-0.12,1.8,-4.54,51.97,0
1744134033.872592,-2.0,-0.58,0.52,-3.18,-8.65,19.11,-0.73,0.38,-0.13,-2.84,-2.48,43.92,0
1744134033.874013,-2.0,-0.58,0.52,-2.97,-9.25,12.5,-0.79,0.51,-0.16,-15.15,-0.57,35.1,0
1744134033.875018,-2.0,-0.55,0.54,-3.73,-12.01,6.08,-0.86,0.68,-0.16,-39.4,-1.56,33.44,0
1744134033.876014,-2.0,-0.53,0.55,-6.98,-15.01,0.23,-0.9,0.73,-0.12,-61.78,-1.55,37.36,0
1744134033.877014,-2.0,-0.5,0.56,-13.01,-18.45,-5.34,-0.98,0.84,-0.1,-70.98,-0.05,47.93,0
1744134033.878976,-2.0,-0.47,0.55,-19.63,-22.19,-9.58,-1.02,0.87,-0.08,-61.82,-4.38,62.39,0
1744134033.879983,-2.0,-0.41,0.55,-28.25,-25.82,-11.8,-1.0,0.85,-0.07,-36.21,-3.98,79.85,0
1744134033.88099,-2.0,-0.43,0.52,-37.76,-26.18,-15.48,-0.99,0.96,-0.06,-7.61,-0.11,93.86,0
1744134033.88298,-2.0,-0.4,0.53,-45.07,-25.91,-17.14,-1.05,1.16,-0.04,0.85,-0.06,106.45,0
1744134033.884051,-2.0,-0.38,0.51,-51.17,-27.24,-19.21,-1.07,1.3,-0.03,-12.66,-5.95,117.44,0
1744134033.885495,-2.0,-0.37,0.49,-54.21,-26.82,-20.95,-1.06,1.27,-0.01,-33.99,-15.4,130.56,0
1744134033.8865,-2.0,-0.38,0.48,-54.04,-26.82,-22.17,-1.0,1.21,-0.03,-49.14,-24.69,139.27,0
1744134033.887513,-2.0,-0.35,0.47,-52.4,-25.61,-22.6,-0.95,1.12,-0.04,-55.57,-32.44,146.66,0
1744134033.889886,-2.0,-0.34,0.46,-49.39,-24.05,-22.36,-0.9,0.98,-0.06,-51.75,-38.26,154.45,0
1744134033.891527,-2.0,-0.33,0.45,-45.88,-21.54,-20.81,-0.76,0.83,-0.09,-33.82,-38.24,159.05,0
1744134033.893301,-2.0,-0.3,0.42,-41.7,-18.66,-18.98,-0.71,0.72,-0.09,-12.63,-39.07,164.27,0
1744134033.89466,-2.0,-0.31,0.44,-38.42,-16.3,-16.37,-0.61,0.58,-0.16,11.11,-37.27,162.4,0
1744134033.896665,-2.0,-0.32,0.42,-32.91,-11.82,-13.76,-0.52,0.47,-0.22,32.3,-32.02,157.13,0
1744134033.897666,-2.0,-0.3,0.41,-26.4,-8.68,-10.31,-0.47,0.38,-0.28,50.17,-25.76,145.21,0
1744134033.899309,-2.0,-0.29,0.43,-20.22,-5.89,-5.92,-0.37,0.33,-0.33,59.98,-18.84,127.57,0
1744134033.900233,-2.0,-0.3,0.44,-14.91,-3.55,-2.91,-0.31,0.3,-0.35,57.92,-10.91,108.95,0
1744134033.901768,-2.0,-0.29,0.44,-10.73,-1.92,0.55,-0.28,0.32,-0.37,45.63,-0.23,86.23,0
