timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744133736.124769,-2.0,-0.19,0.39,-7.28,0.96,2.03,-0.98,0.12,-0.15,-2.02,1.37,1.37,0
1744133736.129299,-2.0,-0.19,0.39,-6.44,0.15,1.52,-0.97,0.12,-0.15,-2.99,1.15,1.44,0
1744133736.132744,-2.0,-0.18,0.39,-5.88,0.13,1.15,-0.97,0.12,-0.14,-3.3,1.12,1.94,0
1744133736.134606,-2.0,-0.19,0.39,-6.66,0.54,1.92,-0.96,0.11,-0.14,-3.0,1.41,2.17,0
1744133736.135994,-2.0,-0.18,0.38,-7.27,0.76,2.31,-0.97,0.11,-0.14,-3.01,1.11,2.34,0
1744133736.137817,-2.0,-0.18,0.39,-8.13,1.51,2.91,-0.97,0.11,-0.14,-2.47,1.19,2.14,0
1744133736.139261,-2.0,-0.19,0.4,-8.24,1.89,3.5,-0.97,0.11,-0.14,-1.86,1.6,1.85,0
1744133736.140308,-2.0,-0.19,0.39,-7.95,2.09,3.89,-0.97,0.11,-0.15,-1.74,1.9,1.65,0
1744133736.141846,-2.0,-0.19,0.39,-7.37,2.0,3.99,-0.98,0.12,-0.15,-2.02,1.29,1.75,0
1744133736.141846,-2.0,-0.19,0.4,-6.86,1.5,3.96,-0.98,0.13,-0.15,-2.63,0.76,2.2,0
1744133736.143223,-2.0,-0.2,0.38,-6.4,1.56,3.8,-0.98,0.12,-0.15,-3.7,1.15,2.42,0
1744133736.145017,-2.0,-0.19,0.4,-6.22,1.6,3.68,-0.97,0.11,-0.15,-3.98,1.14,2.52,0
1744133736.145385,-2.0,-0.19,0.39,-6.48,1.0,3.34,-0.97,0.11,-0.14,-3.78,0.92,2.5,0
1744133736.146437,-2.0,-0.19,0.39,-6.44,0.9,3.12,-0.97,0.1,-0.14,-3.35,1.05,2.18,0
1744133736.147629,-2.0,-0.19,0.39,-6.4,1.52,3.12,-0.97,0.1,-0.15,-2.82,1.41,1.79,0
1744133736.148752,-2.0,-0.19,0.39,-6.54,1.57,3.37,-0.97,0.11,-0.14,-2.38,1.45,1.34,0
1744133736.149758,-2.0,-0.19,0.4,-6.57,0.64,3.34,-0.98,0.11,-0.15,-2.76,1.57,1.58,0
1744133736.15202,-2.0,-0.18,0.38,-6.83,0.95,3.3,-0.97,0.11,-0.15,-3.46,1.54,1.81,0
1744133736.153196,-2.0,-0.19,0.39,-6.93,1.47,3.56,-0.97,0.11,-0.15,-3.58,1.38,1.76,0
1744133736.154127,-2.0,-0.19,0.39,-7.2,1.87,3.73,-0.98,0.11,-0.14,-3.37,1.41,2.11,0
1744133736.155929,-2.0,-0.19,0.4,-6.52,1.63,4.18,-0.97,0.11,-0.14,-2.76,1.31,1.89,0
1744133736.156934,-2.0,-0.18,0.4,-6.27,1.27,3.71,-0.97,0.11,-0.15,-1.89,1.4,1.74,0
1744133736.158563,-2.0,-0.18,0.39,-6.18,1.4,3.52,-0.97,0.11,-0.15,-1.54,1.34,1.65,0
1744133736.160224,-2.0,-0.19,0.4,-6.69,1.55,3.02,-0.97,0.12,-0.15,-1.72,1.04,1.68,0
1744133736.161873,-2.0,-0.18,0.39,-6.92,1.98,3.49,-0.98,0.12,-0.15,-2.24,1.15,1.66,0
1744133736.163434,-2.0,-0.19,0.39,-7.0,1.12,3.21,-0.97,0.12,-0.15,-3.06,1.17,1.76,0
1744133736.164503,-2.0,-0.18,0.39,-7.1,1.33,3.37,-0.97,0.11,-0.15,-3.02,1.09,1.83,0
1744133736.165297,-2.0,-0.19,0.4,-7.19,1.56,3.02,-0.97,0.11,-0.14,-2.85,1.19,1.88,0
1744133736.166328,-2.0,-0.2,0.38,-7.37,3.17,3.72,-0.97,0.11,-0.15,-2.47,1.02,1.69,0
1744133736.167476,-2.0,-0.19,0.4,-6.65,2.06,4.11,-0.97,0.11,-0.15,-2.02,1.16,1.69,0
1744133736.168497,-2.0,-0.19,0.39,-6.91,1.67,4.08,-0.97,0.11,-0.15,-2.06,1.2,1.56,0
1744133736.170156,-2.0,-0.19,0.4,-6.94,1.41,3.55,-0.97,0.11,-0.14,-2.5,1.42,1.73,0
1744133736.171214,-2.0,-0.19,0.39,-7.46,1.49,3.45,-0.97,0.11,-0.15,-2.61,1.68,1.74,0
1744133736.172592,-2.0,-0.2,0.38,-6.89,1.89,3.36,-0.97,0.11,-0.15,-2.32,1.29,1.62,0
1744133736.173986,-2.0,-0.19,0.4,-7.13,1.4,3.66,-0.97,0.11,-0.15,-1.89,1.13,1.62,0
1744133736.176364,-2.0,-0.19,0.39,-7.15,1.31,4.13,-0.97,0.12,-0.15,-1.63,1.09,1.61,0
1744133736.176828,-2.0,-0.19,0.38,-7.3,1.79,4.06,-0.97,0.11,-0.15,-1.77,1.31,1.57,0
1744133736.178368,-2.0,-0.2,0.4,-6.81,1.2,4.12,-0.97,0.11,-0.15,-1.88,1.36,1.41,0
1744133736.179656,-2.0,-0.19,0.4,-6.77,1.6,4.29,-0.97,0.12,-0.16,-2.23,1.6,1.32,0
1744133736.181215,-2.0,-0.18,0.41,-6.89,-1.27,3.89,-0.98,0.12,-0.14,-2.95,1.78,1.23,0
1744133736.182873,-2.0,-0.2,0.39,-6.92,0.98,4.6,-0.97,0.12,-0.14,-3.32,1.5,1.56,0
1744133736.183469,-2.0,-0.19,0.39,-6.76,1.37,4.48,-0.97,0.11,-0.15,-3.54,1.28,1.81,0
1744133736.185471,-2.0,-0.2,0.39,-7.6,1.91,4.33,-0.98,0.11,-0.14,-2.36,1.44,1.92,0
1744133736.185773,-2.0,-0.19,0.39,-8.26,1.39,4.02,-0.98,0.11,-0.15,-1.39,1.34,1.42,0
1744133736.187209,-2.0,-0.2,0.39,-7.64,2.08,4.25,-0.98,0.12,-0.14,-1.47,1.31,1.06,0
1744133736.188741,-2.0,-0.19,0.39,-7.27,1.2,3.43,-0.98,0.13,-0.14,-2.78,1.05,1.2,0
1744133736.191016,-2.0,-0.19,0.39,-6.58,1.21,3.11,-0.97,0.12,-0.14,-3.6,1.32,1.61,0
1744133736.192763,-2.0,-0.19,0.4,-7.38,0.97,3.76,-0.97,0.12,-0.14,-3.91,1.5,1.72,0
1744133736.193788,-2.0,-0.2,0.4,-7.6,1.34,4.21,-0.97,0.11,-0.14,-3.5,1.79,1.85,0
1744133736.194592,-2.0,-0.21,0.39,-8.41,1.31,4.51,-0.97,0.11,-0.14,-2.78,1.55,1.69,0
1744133736.196059,-2.0,-0.21,0.4,-8.47,1.54,5.08,-0.97,0.11,-0.15,-2.01,1.73,1.34,0
1744133736.196702,-2.0,-0.2,0.4,-8.3,1.02,4.74,-0.98,0.12,-0.15,-2.11,2.02,1.33,0
1744133736.19783,-2.0,-0.2,0.39,-7.4,0.89,4.42,-0.97,0.12,-0.15,-2.86,1.53,1.79,0
1744133736.199016,-2.0,-0.2,0.4,-7.47,1.14,4.37,-0.97,0.12,-0.15,-3.5,1.19,1.98,0
1744133736.201203,-2.0,-0.2,0.39,-6.78,1.04,3.81,-0.97,0.11,-0.15,-3.72,1.3,2.09,0
1744133736.201896,-2.0,-0.2,0.39,-6.85,1.53,4.1,-0.97,0.11,-0.14,-3.56,1.61,1.91,0
1744133736.203004,-2.0,-0.2,0.39,-6.24,1.35,4.28,-0.97,0.11,-0.13,-3.04,1.53,1.58,0
1744133736.205202,-2.0,-0.19,0.39,-6.4,1.4,4.56,-0.98,0.11,-0.14,-2.55,1.55,1.67,0
1744133736.206202,-2.0,-0.19,0.39,-6.63,1.86,4.31,-0.98,0.11,-0.14,-2.44,1.73,1.46,0
1744133736.208045,-2.0,-0.19,0.38,-6.74,1.69,4.37,-0.98,0.12,-0.14,-2.76,1.75,1.36,0
1744133736.209819,-2.0,-0.19,0.38,-6.82,1.77,4.79,-0.98,0.11,-0.15,-3.31,1.57,1.34,0
1744133736.211203,-2.0,-0.19,0.39,-7.13,1.76,4.9,-0.98,0.12,-0.16,-3.92,1.44,1.72,0
1744133736.211927,-2.0,-0.19,0.4,-6.39,1.58,4.72,-0.97,0.11,-0.14,-4.24,1.5,2.04,0
1744133736.213867,-2.0,-0.2,0.39,-6.69,1.56,4.33,-0.97,0.11,-0.14,-4.09,1.4,1.89,0
1744133736.214744,-2.0,-0.2,0.39,-6.67,1.83,4.12,-0.97,0.11,-0.14,-3.28,1.34,1.83,0
1744133736.215747,-2.0,-0.19,0.39,-6.29,1.93,4.37,-0.97,0.1,-0.14,-2.34,1.53,1.53,0
1744133736.216761,-2.0,-0.2,0.39,-5.82,1.82,4.34,-0.97,0.1,-0.15,-1.82,1.46,1.44,0
1744133736.217747,-2.0,-0.2,0.39,-5.72,1.6,4.08,-0.98,0.11,-0.15,-1.49,1.41,1.53,0
1744133736.218645,-2.0,-0.2,0.4,-6.11,1.51,3.79,-0.98,0.12,-0.14,-1.77,1.46,1.66,0
1744133736.220236,-2.0,-0.19,0.4,-6.14,1.54,3.8,-0.98,0.12,-0.14,-2.4,1.2,1.85,0
1744133736.221304,-2.0,-0.19,0.39,-5.85,1.25,3.81,-0.97,0.11,-0.14,-3.12,1.03,1.83,0
1744133736.221543,-2.0,-0.19,0.39,-6.21,1.15,3.6,-0.97,0.11,-0.14,-3.45,1.27,1.68,0
1744133736.223884,-2.0,-0.19,0.38,-6.57,1.35,3.25,-0.97,0.11,-0.14,-3.6,1.44,1.72,0
1744133736.224798,-2.0,-0.2,0.39,-6.44,1.03,2.66,-0.97,0.11,-0.13,-3.84,1.51,1.63,0
1744133736.22585,-2.0,-0.19,0.38,-6.56,1.18,2.89,-0.97,0.11,-0.14,-3.69,1.53,1.47,0
1744133736.227878,-2.0,-0.18,0.39,-7.24,0.98,2.31,-0.98,0.11,-0.14,-3.34,1.53,1.4,0
1744133736.22893,-2.0,-0.19,0.39,-7.66,1.11,2.85,-0.97,0.1,-0.15,-3.17,1.63,1.27,0
1744133736.22893,-2.0,-0.2,0.39,-7.34,1.79,2.47,-0.98,0.1,-0.15,-2.79,1.34,1.36,0
1744133736.229974,-2.0,-0.19,0.39,-7.6,1.21,2.2,-0.97,0.11,-0.15,-2.85,1.34,1.43,0
1744133736.231524,-2.0,-0.2,0.39,-6.68,0.62,2.41,-0.97,0.11,-0.15,-3.0,1.43,1.34,0
1744133736.232871,-2.0,-0.19,0.41,-6.86,0.54,2.91,-0.97,0.11,-0.14,-2.99,1.73,1.42,0
1744133736.233519,-2.0,-0.19,0.37,-7.29,1.9,2.97,-0.97,0.11,-0.14,-2.98,1.68,1.76,0
1744133736.234529,-2.0,-0.2,0.4,-6.82,0.73,3.6,-0.98,0.1,-0.14,-1.75,1.55,1.51,0
1744133736.235537,-2.0,-0.2,0.4,-7.41,1.89,3.53,-0.98,0.11,-0.15,-0.53,1.44,1.35,0
1744133736.236543,-2.0,-0.2,0.39,-6.54,2.13,4.24,-0.98,0.11,-0.15,-1.22,1.41,0.89,0
1744133736.237567,-2.0,-0.19,0.39,-6.34,2.38,4.4,-0.98,0.12,-0.15,-2.64,1.41,1.03,0
1744133736.238512,-2.0,-0.19,0.39,-6.28,2.05,4.15,-0.97,0.12,-0.16,-3.81,1.38,1.32,0
1744133736.239515,-2.0,-0.19,0.39,-7.52,2.47,3.95,-0.97,0.12,-0.14,-4.43,1.55,1.73,0
1744133736.241755,-2.0,-0.18,0.39,-8.63,3.24,4.4,-0.97,0.11,-0.14,-4.37,1.76,1.64,0
1744133736.243299,-2.0,-0.2,0.39,-9.66,3.12,4.44,-0.97,0.11,-0.14,-3.65,1.61,1.48,0
1744133736.244188,-2.0,-0.19,0.4,-9.8,2.18,4.12,-0.97,0.1,-0.14,-2.53,1.67,1.18,0
