timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1743794136.519645,-2.0,-0.87,-0.2,-7.29,2.28,4.86,-0.26,0.88,-0.57,-3.5,1.27,1.76,0
1743794136.527904,-2.0,-0.87,-0.19,-6.52,1.5,4.66,-0.26,0.88,-0.56,-2.85,1.18,1.25,0
1743794136.531168,-2.0,-0.87,-0.2,-5.81,1.01,4.46,-0.26,0.89,-0.56,-2.45,1.69,0.95,0
1743794136.532863,-2.0,-0.86,-0.19,-6.17,0.73,4.4,-0.27,0.9,-0.56,-3.37,1.39,1.03,0
1743794136.532863,-2.0,-0.86,-0.19,-6.86,0.84,4.51,-0.26,0.89,-0.57,-3.72,0.95,1.5,0
1743794136.534395,-2.0,-0.87,-0.2,-7.52,1.74,4.32,-0.26,0.89,-0.57,-3.24,0.82,1.42,0
1743794136.535407,-2.0,-0.88,-0.2,-7.56,1.53,4.15,-0.26,0.89,-0.56,-3.13,1.24,1.87,0
1743794136.535976,-2.0,-0.88,-0.19,-6.79,1.36,3.81,-0.27,0.89,-0.57,-2.86,1.23,1.46,0
1743794136.53648,-2.0,-0.87,-0.2,-6.36,1.08,4.01,-0.27,0.89,-0.56,-3.08,1.06,1.17,0
1743794136.537113,-2.0,-0.87,-0.19,-6.56,0.97,4.19,-0.27,0.89,-0.56,-3.57,1.27,1.57,0
1743794136.53812,-2.0,-0.87,-0.19,-6.89,1.47,4.53,-0.26,0.88,-0.56,-3.22,1.32,1.84,0
1743794136.53853,-2.0,-0.87,-0.2,-7.11,1.73,4.3,-0.27,0.89,-0.55,-3.02,1.18,2.0,0
1743794136.539535,-2.0,-0.88,-0.2,-6.82,1.79,4.23,-0.27,0.89,-0.56,-3.18,1.63,2.05,0
1743794136.539535,-2.0,-0.87,-0.2,-6.87,2.22,4.09,-0.27,0.89,-0.57,-2.69,1.61,2.15,0
1743794136.541095,-2.0,-0.88,-0.2,-6.66,1.78,4.02,-0.26,0.89,-0.56,-2.93,1.89,2.31,0
1743794136.541095,-2.0,-0.87,-0.2,-6.45,1.89,4.05,-0.26,0.9,-0.56,-3.54,1.76,2.5,0
1743794136.542099,-2.0,-0.87,-0.19,-6.26,1.69,3.95,-0.26,0.88,-0.56,-3.35,1.44,2.25,0
1743794136.543122,-2.0,-0.87,-0.19,-6.11,1.86,3.89,-0.26,0.89,-0.56,-3.42,1.58,1.68,0
1743794136.544099,-2.0,-0.86,-0.19,-6.37,2.02,4.02,-0.26,0.9,-0.56,-4.11,1.08,1.86,0
1743794136.546021,-2.0,-0.88,-0.19,-6.79,2.15,4.05,-0.26,0.89,-0.57,-3.95,1.12,1.63,0
1743794136.547314,-2.0,-0.88,-0.19,-6.61,1.87,4.02,-0.25,0.89,-0.56,-3.76,1.65,1.77,0
1743794136.548323,-2.0,-0.88,-0.19,-6.45,2.21,3.69,-0.25,0.88,-0.55,-3.06,1.06,2.57,0
1743794136.548323,-2.0,-0.87,-0.19,-6.48,2.34,3.57,-0.26,0.89,-0.57,-2.68,1.58,2.37,0
1743794136.54932,-2.0,-0.87,-0.19,-6.04,1.73,3.6,-0.25,0.89,-0.57,-2.4,1.67,2.7,0
1743794136.54932,-2.0,-0.87,-0.18,-6.28,2.05,3.62,-0.26,0.9,-0.56,-2.71,1.4,2.67,0
1743794136.550319,-2.0,-0.86,-0.19,-6.77,2.02,3.87,-0.26,0.89,-0.58,-1.65,1.6,2.89,0
1743794136.551335,-2.0,-0.87,-0.18,-6.88,1.31,3.6,-0.26,0.9,-0.57,-3.44,1.81,2.05,0
1743794136.552329,-2.0,-0.87,-0.19,-7.11,2.01,4.23,-0.25,0.89,-0.57,-3.72,1.54,2.19,0
1743794136.553464,-2.0,-0.87,-0.19,-7.11,1.38,4.01,-0.25,0.88,-0.57,-3.22,0.83,1.95,0
1743794136.553464,-2.0,-0.87,-0.19,-7.09,1.11,4.32,-0.26,0.88,-0.57,-2.51,1.76,1.71,0
1743794136.554778,-2.0,-0.88,-0.19,-6.84,1.31,4.08,-0.26,0.89,-0.57,-2.4,1.41,1.79,0
1743794136.555244,-2.0,-0.88,-0.19,-6.77,1.45,3.98,-0.26,0.9,-0.56,-2.52,1.89,2.24,0
1743794136.555244,-2.0,-0.87,-0.18,-6.9,1.63,4.02,-0.26,0.89,-0.56,-2.81,1.61,2.15,0
1743794136.55635,-2.0,-0.87,-0.2,-7.0,1.74,3.89,-0.26,0.89,-0.57,-2.96,1.35,2.46,0
1743794136.557282,-2.0,-0.88,-0.2,-6.76,1.85,3.77,-0.26,0.89,-0.56,-2.83,1.85,2.01,0
1743794136.557282,-2.0,-0.87,-0.19,-6.46,1.62,3.89,-0.26,0.89,-0.56,-2.67,1.85,2.03,0
1743794136.558871,-2.0,-0.87,-0.19,-6.16,1.32,3.86,-0.26,0.89,-0.56,-3.13,1.33,1.87,0
1743794136.559278,-2.0,-0.86,-0.19,-6.26,1.27,3.86,-0.26,0.89,-0.56,-3.69,1.47,1.81,0
1743794136.559706,-2.0,-0.87,-0.19,-6.66,1.01,4.09,-0.27,0.89,-0.56,-3.69,1.11,2.09,0
1743794136.559706,-2.0,-0.86,-0.19,-7.49,1.46,4.21,-0.26,0.88,-0.56,-3.09,1.47,2.3,0
1743794136.560712,-2.0,-0.88,-0.19,-7.05,1.66,4.27,-0.26,0.88,-0.57,-2.88,1.38,2.36,0
1743794136.561714,-2.0,-0.88,-0.19,-6.6,1.6,4.06,-0.26,0.89,-0.56,-2.89,1.9,2.22,0
