timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744136026.723497,-2.0,-0.03,0.14,-10.24,7.1,9.09,-0.96,0.16,-0.22,-3.73,1.91,1.73,0
1744136026.723497,-2.0,-0.04,0.14,-9.99,5.46,8.06,-0.97,0.16,-0.22,-2.15,1.62,2.3,0
1744136026.729299,-2.0,-0.03,0.15,-9.63,3.28,7.5,-0.97,0.16,-0.23,-0.94,1.03,3.25,0
1744136026.730944,-2.0,-0.04,0.15,-9.5,1.03,6.99,-0.98,0.16,-0.22,0.46,0.57,4.05,0
1744136026.732532,-2.0,-0.04,0.15,-10.94,-0.92,7.04,-0.99,0.16,-0.23,1.63,-0.07,4.82,0
1744136026.73439,-2.0,-0.02,0.13,-13.62,-2.14,6.6,-0.98,0.14,-0.23,3.41,-0.42,5.33,0
1744136026.736127,-2.0,-0.02,0.13,-16.24,-2.4,6.7,-0.97,0.13,-0.23,5.71,-0.44,5.72,0
1744136026.736744,-2.0,-0.03,0.14,-17.81,-1.91,6.97,-0.96,0.14,-0.24,7.42,0.11,5.42,0
1744136026.737705,-2.0,-0.04,0.13,-17.92,-0.45,6.92,-0.95,0.14,-0.25,7.32,0.21,5.4,0
1744136026.738654,-2.0,-0.03,0.13,-17.73,0.2,6.55,-0.95,0.13,-0.24,7.54,0.62,5.47,0
1744136026.739631,-2.0,-0.05,0.13,-16.57,-0.67,5.79,-0.96,0.12,-0.25,8.11,1.1,4.79,0
1744136026.741696,-2.0,-0.05,0.13,-13.63,-1.56,5.66,-0.97,0.12,-0.22,8.12,2.07,2.85,0
1744136026.743202,-2.0,-0.04,0.13,-11.54,-0.92,6.03,-0.96,0.15,-0.21,5.79,1.61,1.42,0
1744136026.74367,-2.0,-0.06,0.15,-8.75,-4.02,5.28,-0.97,0.16,-0.21,4.2,0.89,0.08,0
1744136026.745673,-2.0,-0.06,0.13,-7.3,0.94,4.9,-0.97,0.17,-0.21,3.82,0.82,-0.5,0
1744136026.746453,-2.0,-0.06,0.13,-5.29,2.22,4.47,-0.96,0.19,-0.21,3.4,1.15,-0.26,0
1744136026.748716,-2.0,-0.05,0.14,-3.52,3.14,4.15,-0.96,0.21,-0.2,0.31,0.85,0.66,0
1744136026.750031,-2.0,-0.06,0.15,-2.16,2.54,3.3,-0.96,0.19,-0.21,-2.79,-0.22,2.24,0
1744136026.75148,-2.0,-0.06,0.15,-0.74,1.21,2.08,-0.96,0.18,-0.24,-1.68,0.21,3.31,0
1744136026.752993,-2.0,-0.05,0.15,0.15,-0.11,1.07,-0.96,0.16,-0.25,0.05,0.66,4.15,0
1744136026.754673,-2.0,-0.03,0.15,-1.14,-1.4,0.15,-0.97,0.17,-0.25,0.35,0.63,4.05,0
1744136026.755819,-2.0,-0.03,0.14,-4.54,-1.72,-0.64,-0.98,0.16,-0.25,0.36,0.86,3.88,0
1744136026.757358,-2.0,-0.02,0.13,-8.43,-1.22,-1.02,-0.98,0.16,-0.25,1.76,0.99,4.09,0
1744136026.757841,-2.0,-0.03,0.14,-13.02,1.79,-1.44,-0.98,0.16,-0.25,3.88,1.9,4.31,0
1744136026.760045,-2.0,-0.03,0.14,-15.58,3.66,-2.44,-0.98,0.18,-0.24,3.29,2.1,5.0,0
1744136026.760436,-2.0,-0.05,0.14,-14.64,3.43,-2.78,-0.97,0.19,-0.23,1.4,2.07,5.35,0
1744136026.761457,-2.0,-0.05,0.15,-13.55,4.02,-3.92,-0.97,0.17,-0.22,0.0,1.6,4.94,0
1744136026.763117,-2.0,-0.06,0.14,-9.57,4.04,-5.41,-0.96,0.17,-0.22,-0.66,1.74,4.83,0
1744136026.765288,-2.0,-0.05,0.15,-5.54,2.56,-5.86,-0.96,0.17,-0.21,-1.31,1.51,4.23,0
1744136026.765807,-2.0,-0.04,0.15,-3.61,1.27,-5.97,-0.96,0.17,-0.2,-2.07,0.9,3.75,0
1744136026.767852,-2.0,-0.03,0.16,-3.76,0.35,-5.22,-0.97,0.15,-0.23,-1.13,0.47,3.86,0
1744136026.768844,-2.0,-0.03,0.16,-5.05,-0.69,-5.21,-0.98,0.16,-0.24,0.2,1.12,4.12,0
1744136026.771012,-2.0,-0.01,0.14,-7.4,-1.15,-4.85,-0.96,0.16,-0.24,-0.58,0.66,3.22,0
1744136026.771235,-2.0,-0.02,0.14,-8.1,-3.79,-3.92,-0.97,0.17,-0.24,-2.92,1.47,2.15,0
1744136026.773308,-2.0,-0.02,0.15,-10.87,-0.36,-3.0,-0.97,0.18,-0.24,-4.03,1.56,1.81,0
1744136026.774636,-2.0,-0.02,0.14,-12.1,1.04,-1.43,-0.98,0.16,-0.24,-3.16,1.18,1.72,0
1744136026.776036,-2.0,-0.04,0.15,-11.56,1.11,0.2,-0.98,0.18,-0.23,-2.73,0.55,2.31,0
1744136026.776737,-2.0,-0.04,0.13,-9.63,1.29,0.96,-0.97,0.18,-0.22,-3.6,0.54,2.76,0
1744136026.777604,-2.0,-0.03,0.13,-7.75,1.33,0.66,-0.97,0.18,-0.23,-4.67,0.66,2.46,0
1744136026.779706,-2.0,-0.04,0.14,-6.31,1.69,0.51,-0.96,0.17,-0.22,-5.82,0.46,2.28,0
1744136026.781325,-2.0,-0.04,0.15,-4.95,1.65,0.94,-0.97,0.17,-0.21,-6.26,0.05,2.43,0
1744136026.781325,-2.0,-0.03,0.14,-4.15,1.82,1.79,-0.96,0.16,-0.23,-5.21,0.27,2.82,0
1744136026.783483,-2.0,-0.03,0.14,-3.59,1.21,2.24,-0.96,0.15,-0.24,-4.06,0.34,2.89,0
1744136026.785335,-2.0,-0.02,0.14,-3.89,0.54,3.02,-0.96,0.15,-0.24,-3.37,0.34,2.77,0
1744136026.786377,-2.0,-0.01,0.13,-5.78,1.89,3.89,-0.97,0.14,-0.24,-2.13,0.73,2.39,0
1744136026.788199,-2.0,-0.02,0.12,-7.63,2.96,4.16,-0.97,0.14,-0.25,-1.49,1.4,1.78,0
1744136026.789087,-2.0,-0.01,0.13,-8.63,2.63,4.25,-0.97,0.14,-0.23,-1.65,1.28,0.72,0
1744136026.791122,-2.0,-0.03,0.14,-8.15,2.27,4.75,-0.98,0.16,-0.22,-1.69,1.14,0.37,0
