timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744135305.779098,-2.0,-0.18,0.29,5.47,1.21,7.79,-0.91,0.16,-0.18,-2.47,-0.62,-17.05,0
1744135305.782138,-2.0,-0.2,0.29,8.43,-3.87,6.06,-0.92,0.18,-0.17,-0.2,-2.02,-21.44,0
1744135305.783609,-2.0,-0.22,0.3,12.18,-10.84,2.76,-0.93,0.19,-0.17,0.4,-3.63,-25.17,0
1744135305.785182,-2.0,-0.2,0.3,15.04,-16.82,-1.27,-0.93,0.21,-0.17,-0.74,-5.94,-28.83,0
1744135305.786858,-2.0,-0.16,0.28,14.15,-20.74,-3.68,-0.95,0.23,-0.18,-3.0,-8.6,-31.76,0
1744135305.788684,-2.0,-0.14,0.28,11.24,-24.08,-4.06,-0.96,0.24,-0.18,-5.11,-11.34,-34.31,0
1744135305.789834,-2.0,-0.15,0.27,7.56,-25.35,-3.48,-0.96,0.25,-0.19,-5.93,-13.11,-36.24,0
1744135305.792031,-2.0,-0.12,0.28,5.39,-25.21,-1.62,-0.98,0.25,-0.2,-5.24,-14.92,-37.44,0
1744135305.793109,-2.0,-0.13,0.27,3.98,-25.59,-1.82,-0.99,0.25,-0.2,-2.96,-16.13,-37.96,0
1744135305.795373,-2.0,-0.13,0.31,1.05,-27.73,-1.09,-0.98,0.27,-0.21,-0.89,-16.89,-37.71,0
1744135305.79704,-2.0,-0.11,0.28,-3.06,-22.6,-1.53,-0.99,0.29,-0.22,0.86,-16.76,-36.66,0
1744135305.798722,-2.0,-0.16,0.32,-8.2,-24.69,2.62,-0.99,0.31,-0.24,1.4,-16.53,-34.43,0
1744135305.799679,-2.0,-0.09,0.31,-13.41,-21.35,8.25,-0.98,0.32,-0.24,1.27,-15.73,-31.31,0
1744135305.80175,-2.0,-0.25,0.27,-18.28,-15.24,10.46,-0.99,0.33,-0.25,0.62,-14.83,-27.2,0
1744135305.803684,-2.0,-0.08,0.31,-9.92,-15.53,14.55,-0.99,0.33,-0.25,0.88,-13.72,-22.45,0
1744135305.805745,-2.0,-0.17,0.29,-4.26,-15.34,8.21,-0.98,0.32,-0.24,2.18,-12.58,-17.65,0
1744135305.807286,-2.0,-0.11,0.31,1.33,-13.47,7.09,-0.99,0.31,-0.25,5.27,-11.05,-13.34,0
1744135305.809402,-2.0,-0.12,0.29,-0.29,-3.7,8.63,-0.98,0.3,-0.26,9.36,-10.29,-9.6,0
1744135305.810479,-2.0,-0.14,0.3,2.35,4.29,8.08,-0.97,0.3,-0.25,11.72,-9.13,-6.83,0
1744135305.811522,-2.0,-0.13,0.3,5.85,7.6,10.83,-0.97,0.29,-0.26,11.95,-8.24,-5.26,0
1744135305.812689,-2.0,-0.12,0.31,9.68,9.74,12.38,-0.97,0.29,-0.27,10.39,-8.03,-4.15,0
1744135305.813907,-2.0,-0.11,0.34,11.42,7.0,10.36,-0.97,0.28,-0.27,8.08,-7.14,-3.33,0
1744135305.815512,-2.0,-0.08,0.34,11.56,1.39,8.2,-0.97,0.28,-0.26,5.89,-6.67,-2.91,0
1744135305.817371,-2.0,-0.09,0.34,9.72,-1.59,6.63,-0.96,0.27,-0.27,5.49,-6.38,-2.66,0
1744135305.818432,-2.0,-0.09,0.34,6.66,-3.19,5.93,-0.96,0.27,-0.27,6.39,-5.63,-2.23,0
1744135305.819455,-2.0,-0.09,0.32,2.73,-1.27,5.66,-0.96,0.27,-0.27,7.11,-5.24,-1.69,0
1744135305.820458,-2.0,-0.1,0.33,-1.05,1.36,5.09,-0.96,0.27,-0.27,7.07,-4.39,-1.19,0
1744135305.821472,-2.0,-0.11,0.33,-2.53,3.17,4.8,-0.95,0.28,-0.28,5.56,-3.96,-0.92,0
1744135305.823442,-2.0,-0.13,0.32,-1.93,4.31,4.77,-0.96,0.28,-0.28,3.03,-3.24,-0.44,0
1744135305.82446,-2.0,-0.13,0.34,0.11,4.51,3.49,-0.96,0.28,-0.28,0.6,-1.98,0.02,0
1744135305.82546,-2.0,-0.13,0.34,2.75,2.97,2.73,-0.96,0.27,-0.26,-1.51,-1.01,0.66,0
1744135305.827757,-2.0,-0.14,0.34,4.39,1.35,2.4,-0.96,0.27,-0.26,-2.52,-0.4,1.5,0
1744135305.828859,-2.0,-0.12,0.33,6.47,0.78,2.17,-0.96,0.27,-0.26,-3.3,0.25,2.34,0
1744135305.82993,-2.0,-0.16,0.34,5.5,1.95,1.15,-0.96,0.27,-0.25,-4.53,0.82,3.18,0
1744135305.830944,-2.0,-0.09,0.3,-0.4,9.37,2.59,-0.96,0.27,-0.24,-5.56,1.01,3.73,0
