timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1749831845.955021,2.0,-0.16,-0.09,-4.89,-0.98,5.98,-0.97,0.15,-0.22,-0.48,-1.06,8.89,0
1749831845.955021,2.0,-0.18,-0.1,-5.64,-0.69,5.43,-0.96,0.14,-0.22,-0.66,-0.92,8.28,0
1749831845.955021,2.0,-0.17,-0.09,-6.49,-0.85,4.15,-0.96,0.14,-0.22,-0.97,-1.02,7.48,0
1749831845.955021,2.0,-0.17,-0.1,-7.43,-0.72,2.2,-0.96,0.13,-0.23,0.17,-1.34,6.68,0
1749831845.970044,2.0,-0.17,-0.1,-8.73,-0.43,0.88,-0.95,0.13,-0.22,0.98,-1.34,5.62,0
1749831845.970044,2.0,-0.18,-0.1,-9.33,-0.15,-0.37,-0.96,0.14,-0.23,1.15,-0.95,4.3,0
1749831845.970044,2.0,-0.18,-0.1,-9.94,-0.31,-1.37,-0.95,0.15,-0.23,0.43,-0.68,2.6,0
1749831845.970044,2.0,-0.17,-0.1,-11.07,0.43,-1.87,-0.95,0.14,-0.23,-0.66,-0.09,1.1,0
1749831845.970044,2.0,-0.16,-0.09,-11.3,0.67,-1.69,-0.96,0.15,-0.24,-1.69,0.59,-0.53,0
1749831845.970044,2.0,-0.16,-0.09,-11.33,1.07,-1.03,-0.95,0.16,-0.22,-2.5,0.91,-1.47,0
1749831845.970044,2.0,-0.16,-0.09,-10.37,1.01,-0.22,-0.95,0.16,-0.23,-2.94,1.55,-2.45,0
1749831845.970044,2.0,-0.16,-0.08,-9.46,1.24,1.17,-0.96,0.16,-0.22,-4.18,1.83,-3.23,0
1749831845.985673,2.0,-0.17,-0.09,-8.5,1.41,2.48,-0.97,0.17,-0.21,-5.02,1.62,-3.61,0
1749831845.986794,2.0,-0.17,-0.08,-7.15,1.27,3.3,-0.97,0.17,-0.22,-5.18,1.36,-3.89,0
1749831845.986794,2.0,-0.16,-0.08,-6.59,1.82,3.82,-0.98,0.17,-0.21,-4.59,1.34,-3.47,0
1749831845.986794,2.0,-0.17,-0.09,-7.5,2.23,4.39,-0.99,0.17,-0.21,-3.05,1.0,-3.21,0
1749831845.986794,2.0,-0.17,-0.1,-7.97,2.37,4.81,-0.98,0.18,-0.21,-1.78,1.08,-2.74,0
1749831845.986794,2.0,-0.17,-0.09,-7.91,2.45,5.21,-0.98,0.18,-0.21,-1.34,1.06,-1.83,0
1749831845.986794,2.0,-0.18,-0.08,-7.16,1.8,5.48,-0.98,0.19,-0.2,-1.51,0.72,-0.86,0
1749831845.986794,2.0,-0.18,-0.09,-6.08,1.73,5.34,-0.98,0.19,-0.21,-1.14,0.31,0.71,0
