timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746816274.860327,-2.0,-0.28,-0.85,2.86,-8.66,1.1,-0.87,0.22,-0.28,23.47,3.18,8.09,0
1746816274.861695,-2.0,-0.28,-0.86,4.56,-13.56,-9.85,-0.86,0.24,-0.29,18.43,8.89,1.53,0
1746816274.864647,-2.0,-0.28,-0.86,6.21,-17.71,-15.85,-0.87,0.26,-0.26,10.4,13.23,-5.46,0
1746816274.866044,-2.0,-0.27,-0.86,8.95,-22.02,-17.11,-0.87,0.27,-0.26,0.03,16.05,-11.58,0
1746816274.868097,-2.0,-0.26,-0.86,11.4,-24.75,-15.56,-0.88,0.27,-0.24,-9.21,18.21,-16.94,0
1746816274.869111,-2.0,-0.25,-0.88,12.51,-20.84,-13.22,-0.9,0.25,-0.23,-13.5,17.69,-21.57,0
1746816274.870047,-2.0,-0.24,-0.87,13.22,-14.97,-9.72,-0.91,0.24,-0.21,-13.89,17.7,-24.5,0
1746816274.870927,-2.0,-0.24,-0.87,14.37,-7.92,-4.62,-0.92,0.24,-0.21,-11.07,17.28,-25.76,0
1746816274.87231,-2.0,-0.24,-0.83,15.62,-2.82,0.87,-0.93,0.25,-0.2,-6.44,15.32,-25.87,0
1746816274.873346,-2.0,-0.23,-0.81,16.48,-0.52,4.25,-0.93,0.26,-0.2,-1.89,13.24,-24.79,0
1746816274.87491,-2.0,-0.21,-0.78,15.98,0.34,3.94,-0.93,0.27,-0.2,2.83,11.07,-23.03,0
1746816274.8762,-2.0,-0.2,-0.78,15.6,-1.17,0.97,-0.95,0.29,-0.22,7.49,10.2,-20.58,0
1746816274.877243,-2.0,-0.17,-0.77,14.74,-4.86,-4.23,-0.95,0.31,-0.24,9.37,9.08,-18.88,0
1746816274.878227,-2.0,-0.15,-0.79,12.67,-6.68,-10.23,-0.97,0.33,-0.25,6.88,9.79,-17.95,0
1746816274.878619,-2.0,-0.15,-0.78,10.15,-7.69,-14.35,-0.98,0.34,-0.26,2.59,10.68,-17.1,0
1746816274.879622,-2.0,-0.14,-0.78,8.66,-9.93,-15.33,-0.99,0.35,-0.26,-1.33,11.55,-15.43,0
1746816274.880624,-2.0,-0.12,-0.77,4.98,-11.86,-15.03,-1.0,0.36,-0.27,-3.76,11.61,-12.43,0
1746816274.882647,-2.0,-0.12,-0.79,-1.0,-12.05,-14.55,-1.0,0.36,-0.26,-4.79,11.32,-7.63,0
1746816274.882647,-2.0,-0.13,-0.78,-6.93,-10.58,-11.83,-0.99,0.36,-0.26,-5.81,11.15,-2.27,0
1746816274.88472,-2.0,-0.15,-0.8,-12.63,-7.81,-6.45,-0.97,0.36,-0.26,-7.37,10.69,3.46,0
1746816274.885245,-2.0,-0.17,-0.78,-18.53,-7.92,1.86,-0.96,0.34,-0.26,-8.42,10.76,8.04,0
1746816274.886566,-2.0,-0.19,-0.8,-21.75,-8.14,9.56,-0.94,0.34,-0.26,-10.79,10.38,11.46,0
1746816274.887289,-2.0,-0.2,-0.81,-23.78,-7.42,13.93,-0.91,0.32,-0.27,-13.78,10.63,13.37,0
1746816274.887289,-2.0,-0.22,-0.83,-24.34,-8.56,16.37,-0.92,0.3,-0.28,-16.92,11.94,14.52,0
1746816274.888316,-2.0,-0.22,-0.82,-24.45,-10.96,15.95,-0.91,0.29,-0.26,-18.24,12.81,14.8,0
1746816274.889317,-2.0,-0.24,-0.85,-24.24,-14.81,13.88,-0.91,0.28,-0.28,-20.04,14.84,14.7,0
1746816274.89055,-2.0,-0.26,-0.85,-22.39,-17.01,10.24,-0.93,0.28,-0.26,-23.37,16.85,13.66,0
1746816274.891576,-2.0,-0.26,-0.87,-19.47,-18.18,4.92,-0.94,0.27,-0.26,-25.73,19.05,12.7,0
1746816274.892574,-2.0,-0.28,-0.88,-16.02,-19.94,-1.76,-0.97,0.27,-0.27,-29.0,20.58,12.25,0
1746816274.893574,-2.0,-0.27,-0.88,-12.58,-21.9,-8.52,-1.0,0.28,-0.26,-30.78,19.61,12.01,0
1746816274.895101,-2.0,-0.26,-0.91,-9.79,-23.09,-14.56,-1.03,0.27,-0.27,-32.11,19.17,11.82,0
1746816274.896201,-2.0,-0.25,-0.92,-8.02,-23.79,-18.73,-1.05,0.28,-0.27,-33.29,19.84,12.38,0
1746816274.897208,-2.0,-0.25,-0.95,-7.92,-21.99,-21.82,-1.05,0.27,-0.28,-33.64,18.33,12.83,0
1746816274.898208,-2.0,-0.25,-0.9,-9.33,-27.97,-21.86,-1.0,0.28,-0.28,-35.11,19.06,13.47,0
1746816274.899208,-2.0,-0.27,-0.85,-9.4,-24.96,-22.76,-0.96,0.29,-0.29,-35.84,20.04,14.6,0
1746816274.900208,-2.0,-0.29,-0.84,-7.05,-18.8,-23.82,-0.93,0.28,-0.29,-37.69,20.53,15.73,0
1746816274.901406,-2.0,-0.29,-0.78,-4.22,-15.16,-24.73,-0.91,0.29,-0.29,-42.11,18.21,16.18,0
1746816274.90241,-2.0,-0.27,-0.76,-1.25,-16.24,-26.08,-0.88,0.26,-0.3,-45.65,19.14,14.37,0
1746816274.903408,-2.0,-0.25,-0.74,1.4,-17.35,-28.75,-0.85,0.25,-0.31,-50.07,19.38,11.38,0
1746816274.904914,-2.0,-0.23,-0.74,3.88,-18.52,-31.53,-0.82,0.22,-0.31,-54.91,19.89,6.68,0
1746816274.906165,-2.0,-0.2,-0.73,5.55,-18.98,-34.89,-0.83,0.22,-0.31,-59.73,20.89,1.37,0
1746816274.907168,-2.0,-0.18,-0.75,4.72,-20.06,-38.95,-0.84,0.22,-0.31,-64.46,20.08,-4.37,0
1746816274.908169,-2.0,-0.16,-0.76,2.69,-19.41,-42.73,-0.88,0.2,-0.3,-68.92,18.24,-11.95,0
1746816274.909168,-2.0,-0.15,-0.78,1.94,-17.19,-43.55,-0.93,0.2,-0.3,-72.31,14.34,-20.72,0
1746816274.909604,-2.0,-0.12,-0.8,-2.41,-12.28,-46.24,-0.98,0.19,-0.29,-74.79,11.19,-28.54,0
1746816274.910607,-2.0,-0.09,-0.83,-9.28,-7.92,-51.27,-1.01,0.17,-0.3,-70.02,6.78,-34.95,0
1746816274.911628,-2.0,-0.09,-0.86,-16.9,-3.95,-57.47,-1.04,0.14,-0.35,-57.86,5.39,-38.55,0
1746816274.912724,-2.0,-0.13,-0.86,-24.99,-2.46,-59.44,-1.06,0.17,-0.36,-41.86,-0.58,-39.17,0
1746816274.913724,-2.0,-0.15,-0.83,-31.05,-5.89,-55.2,-1.07,0.2,-0.38,-22.93,-6.15,-36.62,0
1746816274.914725,-2.0,-0.16,-0.81,-37.61,-7.89,-49.15,-1.05,0.25,-0.41,-3.73,-12.14,-30.73,0
1746816274.915809,-2.0,-0.21,-0.77,-41.99,-8.99,-40.57,-1.01,0.28,-0.44,15.16,-15.92,-22.28,0
1746816274.916997,-2.0,-0.23,-0.74,-44.63,-8.77,-30.56,-0.98,0.33,-0.47,32.36,-16.11,-11.71,0
1746816274.918047,-2.0,-0.23,-0.71,-45.6,-8.43,-21.26,-0.94,0.38,-0.5,42.69,-16.16,-0.64,0
1746816274.919073,-2.0,-0.23,-0.7,-46.72,-8.66,-16.19,-0.92,0.4,-0.5,47.88,-13.09,9.38,0
1746816274.920089,-2.0,-0.24,-0.7,-48.9,-9.47,-12.75,-0.9,0.42,-0.5,47.47,-7.61,17.79,0
1746816274.920089,-2.0,-0.25,-0.71,-50.2,-10.78,-11.42,-0.89,0.44,-0.48,40.5,-4.08,24.08,0
1746816274.921102,-2.0,-0.27,-0.75,-51.03,-12.34,-11.15,-0.9,0.44,-0.45,28.57,-1.21,28.04,0
1746816274.922123,-2.0,-0.28,-0.78,-51.05,-10.88,-10.52,-0.92,0.41,-0.44,15.11,0.26,29.27,0
1746816274.923151,-2.0,-0.3,-0.83,-50.98,-7.89,-9.3,-0.93,0.38,-0.44,2.12,0.14,28.24,0
1746816274.923151,-2.0,-0.33,-0.85,-49.98,-4.06,-7.57,-0.94,0.33,-0.43,-8.44,-1.31,26.04,0
1746816274.924682,-2.0,-0.36,-0.88,-47.94,1.79,-4.98,-0.93,0.28,-0.43,-11.2,-1.7,23.71,0
1746816274.924733,-2.0,-0.4,-0.88,-43.95,6.95,-1.5,-0.91,0.24,-0.44,-6.67,-1.05,22.21,0
1746816274.925706,-2.0,-0.41,-0.87,-38.44,7.45,1.62,-0.9,0.23,-0.43,1.21,0.3,21.47,0
1746816274.926716,-2.0,-0.43,-0.84,-31.48,5.08,4.21,-0.89,0.22,-0.41,9.15,-1.17,20.64,0
1746816274.92772,-2.0,-0.43,-0.82,-24.31,4.06,5.53,-0.87,0.23,-0.42,15.48,-0.54,18.35,0
1746816274.92772,-2.0,-0.42,-0.81,-17.9,4.23,6.41,-0.85,0.25,-0.4,16.81,0.3,15.36,0
1746816274.928723,-2.0,-0.41,-0.78,-12.07,3.7,7.15,-0.85,0.27,-0.4,16.27,-0.56,11.96,0
1746816274.929729,-2.0,-0.39,-0.76,-6.6,2.45,8.58,-0.85,0.29,-0.4,15.73,1.31,8.89,0
1746816274.93074,-2.0,-0.36,-0.74,-2.2,2.34,9.73,-0.84,0.31,-0.4,12.99,2.73,6.45,0
1746816274.933069,-2.0,-0.34,-0.74,0.98,1.63,10.95,-0.85,0.31,-0.39,9.67,5.15,4.33,0
1746816274.933069,-2.0,-0.33,-0.77,4.12,2.31,11.0,-0.87,0.33,-0.4,4.6,5.57,1.68,0
1746816274.934576,-2.0,-0.33,-0.8,7.8,2.43,11.1,-0.9,0.34,-0.4,-1.24,5.59,-1.43,0
1746816274.935641,-2.0,-0.32,-0.83,10.85,1.79,9.98,-0.92,0.33,-0.41,-5.85,7.77,-4.08,0
1746816274.936657,-2.0,-0.31,-0.86,14.7,6.07,7.09,-0.93,0.31,-0.41,-8.11,10.73,-6.76,0
1746816274.936657,-2.0,-0.31,-0.9,17.51,10.71,3.18,-0.93,0.32,-0.43,-10.87,13.63,-8.12,0
1746816274.93768,-2.0,-0.3,-0.9,21.86,7.34,0.63,-0.95,0.33,-0.42,-11.82,12.97,-9.9,0
1746816274.938687,-2.0,-0.29,-0.89,26.02,7.54,-2.12,-0.96,0.33,-0.41,-11.31,13.21,-10.37,0
1746816274.938687,-2.0,-0.29,-0.85,29.73,3.16,-3.02,-0.98,0.34,-0.39,-10.74,15.85,-11.76,0
1746816274.939703,-2.0,-0.27,-0.83,32.89,0.41,-3.22,-0.97,0.36,-0.38,-11.4,15.82,-9.63,0
1746816274.940903,-2.0,-0.27,-0.81,35.79,-1.46,-2.87,-0.96,0.37,-0.38,-12.35,15.89,-7.53,0
1746816274.941905,-2.0,-0.25,-0.81,39.02,-3.05,-1.29,-0.95,0.38,-0.38,-13.77,15.61,-4.93,0
1746816274.941905,-2.0,-0.23,-0.8,40.92,-7.53,0.92,-0.95,0.4,-0.36,-16.52,16.02,-2.33,0
1746816274.942912,-2.0,-0.21,-0.78,42.57,-9.22,2.01,-0.94,0.4,-0.35,-20.41,15.15,-0.11,0
1746816274.943917,-2.0,-0.2,-0.79,43.54,-9.95,1.85,-0.94,0.39,-0.33,-26.13,14.79,1.9,0
1746816274.944929,-2.0,-0.17,-0.79,42.59,-12.73,0.66,-0.94,0.38,-0.31,-32.6,13.44,3.89,0
1746816274.944929,-2.0,-0.16,-0.79,40.5,-11.42,-2.63,-0.92,0.36,-0.32,-37.02,13.68,5.53,0
1746816274.946103,-2.0,-0.14,-0.8,37.34,-8.03,-7.66,-0.93,0.34,-0.31,-38.87,14.27,6.67,0
1746816274.948108,-2.0,-0.14,-0.8,33.85,-5.57,-12.77,-0.95,0.33,-0.3,-38.98,13.35,7.32,0
1746816274.949108,-2.0,-0.13,-0.79,30.6,-3.59,-17.02,-0.92,0.4,-0.32,-42.5,14.31,8.66,0
1746816274.950529,-2.0,-0.14,-0.78,27.65,-1.15,-19.43,-0.94,0.3,-0.32,-38.65,10.92,6.3,0
1746816274.951535,-2.0,-0.15,-0.79,25.11,2.48,-19.79,-0.95,0.29,-0.32,-36.64,11.37,5.8,0
1746816274.952545,-2.0,-0.18,-0.77,22.26,1.51,-17.25,-0.95,0.29,-0.31,-34.49,9.41,5.36,0
1746816274.953549,-2.0,-0.22,-0.8,22.67,4.93,-12.76,-0.96,0.29,-0.33,-32.2,7.67,5.37,0
1746816274.95455,-2.0,-0.25,-0.79,21.66,4.7,-8.99,-0.96,0.3,-0.33,-31.04,3.68,5.26,0
1746816274.955277,-2.0,-0.27,-0.8,22.79,5.92,-6.75,-0.95,0.3,-0.34,-30.11,0.63,5.68,0
1746816274.956324,-2.0,-0.28,-0.78,22.79,5.69,-6.69,-0.95,0.31,-0.35,-28.33,-0.85,6.6,0
1746816274.957563,-2.0,-0.29,-0.76,23.37,4.93,-8.94,-0.94,0.31,-0.36,-26.84,-2.14,7.81,0
1746816274.958568,-2.0,-0.3,-0.72,24.45,2.21,-11.4,-0.93,0.31,-0.37,-26.24,-3.8,8.91,0
1746816274.959634,-2.0,-0.3,-0.71,23.81,2.72,-15.5,-0.91,0.31,-0.36,-25.89,-5.29,10.41,0
1746816274.960639,-2.0,-0.29,-0.72,22.71,5.47,-20.53,-0.96,0.28,-0.38,-23.48,-6.55,12.54,0
1746816274.960639,-2.0,-0.29,-0.75,21.46,4.66,-25.5,-1.0,0.25,-0.41,-19.18,-10.89,13.27,0
