timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746815928.451857,-2.0,-0.6,-0.42,4.18,-28.15,-6.4,-0.97,0.34,-0.3,-67.67,16.07,-0.19,0
1746815928.454281,-2.0,-0.61,-0.42,9.23,-19.49,-2.26,-0.92,0.33,-0.34,-61.16,23.47,4.82,0
1746815928.456064,-2.0,-0.62,-0.39,13.48,-4.15,0.15,-0.92,0.3,-0.35,-54.65,24.25,7.4,0
1746815928.45769,-2.0,-0.66,-0.37,15.76,-5.05,-0.66,-0.91,0.31,-0.35,-51.37,24.05,10.06,0
1746815928.458692,-2.0,-0.68,-0.38,23.51,2.69,2.78,-0.91,0.29,-0.31,-53.5,18.57,10.16,0
1746815928.460008,-2.0,-0.62,-0.31,21.14,3.21,-1.16,-0.88,0.28,-0.34,-50.21,16.22,11.9,0
1746815928.462059,-2.0,-0.65,-0.3,19.1,0.27,-3.14,-0.86,0.27,-0.34,-52.31,14.0,12.37,0
1746815928.463217,-2.0,-0.67,-0.3,15.02,-3.69,-5.48,-0.84,0.24,-0.37,-44.03,18.21,14.27,0
1746815928.465261,-2.0,-0.62,-0.32,12.27,4.1,-6.47,-0.86,0.23,-0.36,-39.66,17.4,13.78,0
1746815928.465795,-2.0,-0.64,-0.24,3.04,-2.12,-12.07,-0.88,0.22,-0.39,-36.82,16.5,11.33,0
1746815928.468354,-2.0,-0.64,-0.21,0.24,-12.96,-14.06,-0.94,0.21,-0.39,-33.41,11.37,7.19,0
1746815928.469369,-2.0,-0.73,-0.25,-1.45,-20.85,-16.34,-0.95,0.22,-0.42,-33.05,8.4,3.32,0
1746815928.47032,-2.0,-0.65,-0.17,0.4,-26.34,-16.03,-0.97,0.22,-0.46,-29.65,11.15,1.56,0
1746815928.471185,-2.0,-0.71,-0.22,-0.46,-21.03,-9.72,-0.95,0.23,-0.49,-21.31,15.21,0.02,0
1746815928.472189,-2.0,-0.69,-0.18,-1.28,-17.85,-0.21,-0.96,0.26,-0.48,-10.05,13.91,-1.67,0
1746815928.473191,-2.0,-0.77,-0.16,1.6,-12.33,1.42,-0.95,0.28,-0.5,-3.67,13.87,-2.88,0
1746815928.474189,-2.0,-0.82,-0.17,5.98,-12.63,9.37,-0.98,0.31,-0.5,1.02,13.79,-2.93,0
1746815928.475255,-2.0,-0.48,-0.07,1.53,-9.1,15.46,-0.96,0.34,-0.51,2.24,12.8,-4.31,0
1746815928.476566,-2.0,-0.68,-0.27,1.48,9.37,26.36,-0.95,0.35,-0.51,-1.21,14.5,-5.85,0
1746815928.477588,-2.0,-0.51,-0.25,-16.73,7.6,18.33,-0.93,0.37,-0.52,-5.93,14.92,-6.98,0
1746815928.478624,-2.0,-0.81,-0.21,-15.36,15.54,12.61,-0.91,0.38,-0.49,-13.31,18.32,-8.13,0
1746815928.479634,-2.0,-0.75,-0.19,-18.98,10.98,12.56,-0.89,0.37,-0.46,-18.02,16.93,-7.4,0
1746815928.480636,-2.0,-0.75,-0.18,-21.84,14.24,10.87,-0.89,0.35,-0.44,-19.18,15.66,-5.08,0
1746815928.481635,-2.0,-0.76,-0.21,-23.68,9.37,9.11,-0.88,0.32,-0.42,-14.89,12.86,-1.56,0
1746815928.482635,-2.0,-0.79,-0.2,-26.43,17.04,13.47,-0.86,0.31,-0.41,-10.53,13.5,3.06,0
1746815928.483696,-2.0,-0.73,-0.16,-28.43,20.6,25.55,-0.95,0.34,-0.34,-9.78,3.31,4.35,0
1746815928.483696,-2.0,-0.77,-0.22,-28.05,32.21,36.6,-0.9,0.33,-0.36,-4.9,-1.94,6.64,0
1746815928.485289,-2.0,-0.72,-0.17,-32.64,27.93,34.02,-0.88,0.31,-0.38,2.14,4.6,6.98,0
1746815928.486761,-2.0,-0.72,-0.24,-28.82,31.12,32.17,-0.83,0.33,-0.44,4.29,-1.73,5.8,0
1746815928.48781,-2.0,-0.65,-0.27,-36.14,31.97,32.5,-0.88,0.34,-0.39,6.28,-2.44,6.5,0
1746815928.48781,-2.0,-0.74,-0.33,-34.82,39.05,45.78,-0.85,0.3,-0.42,10.42,1.75,6.92,0
1746815928.488781,-2.0,-0.83,-0.3,-29.89,45.82,42.6,-0.83,0.32,-0.44,10.38,10.86,7.16,0
1746815928.489765,-2.0,-0.81,-0.3,-27.4,48.31,46.37,-0.9,0.32,-0.41,9.62,3.18,6.31,0
1746815928.490793,-2.0,-0.81,-0.29,-23.82,40.09,48.82,-0.89,0.31,-0.45,13.11,1.05,5.7,0
1746815928.491776,-2.0,-0.75,-0.29,-16.79,36.47,42.65,-0.95,0.34,-0.4,15.97,-1.74,6.49,0
1746815928.492764,-2.0,-0.69,-0.29,-13.68,36.97,31.01,-0.93,0.34,-0.44,18.87,-4.38,7.32,0
1746815928.492764,-2.0,-0.67,-0.26,-16.24,27.99,23.53,-0.94,0.35,-0.45,24.14,-5.47,8.25,0
1746815928.494764,-2.0,-0.65,-0.29,-17.47,22.65,21.87,-0.91,0.38,-0.47,24.86,-1.27,9.53,0
1746815928.495939,-2.0,-0.62,-0.3,-22.22,19.09,20.76,-0.93,0.39,-0.44,24.16,0.06,9.72,0
1746815928.496936,-2.0,-0.65,-0.31,-26.99,24.21,28.27,-0.91,0.39,-0.46,21.76,-1.08,8.61,0
1746815928.496936,-2.0,-0.64,-0.31,-28.95,27.72,37.82,-0.94,0.4,-0.44,17.79,2.07,7.96,0
1746815928.497946,-2.0,-0.65,-0.3,-28.98,39.87,45.79,-0.96,0.4,-0.42,14.98,0.6,6.92,0
1746815928.498769,-2.0,-0.67,-0.35,-24.25,41.62,45.93,-0.96,0.38,-0.44,13.02,1.89,6.87,0
1746815928.49978,-2.0,-0.57,-0.4,-28.15,42.66,34.76,-0.98,0.39,-0.41,11.97,1.02,7.36,0
1746815928.50078,-2.0,-0.63,-0.42,-36.63,42.4,22.56,-0.98,0.39,-0.43,12.45,1.12,8.37,0
1746815928.50179,-2.0,-0.65,-0.4,-33.73,51.5,21.34,-0.97,0.38,-0.44,13.02,5.04,9.18,0
1746815928.50179,-2.0,-0.69,-0.4,-33.5,61.92,21.4,-0.96,0.38,-0.45,12.15,8.58,8.82,0
1746815928.50278,-2.0,-0.7,-0.35,-30.25,49.3,31.6,-0.97,0.37,-0.44,13.2,8.37,7.15,0
1746815928.50378,-2.0,-0.71,-0.36,-24.02,40.9,36.39,-0.97,0.37,-0.38,8.3,11.74,3.96,0
1746815928.504801,-2.0,-0.67,-0.35,-19.38,39.29,31.96,-1.02,0.37,-0.37,0.27,13.56,-0.59,0
1746815928.504801,-2.0,-0.59,-0.38,-19.0,32.28,21.76,-1.01,0.36,-0.41,-3.68,18.23,-4.55,0
1746815928.505953,-2.0,-0.6,-0.41,-21.4,22.82,8.08,-1.06,0.35,-0.36,-10.79,11.58,-11.39,0
1746815928.506951,-2.0,-0.58,-0.51,-24.81,22.86,3.79,-1.05,0.36,-0.33,-16.99,7.57,-17.83,0
1746815928.507956,-2.0,-0.65,-0.36,-29.88,15.57,1.55,-0.96,0.38,-0.34,-30.17,9.18,-24.02,0
1746815928.50895,-2.0,-0.65,-0.39,-26.79,5.86,13.81,-0.86,0.41,-0.34,-33.78,13.98,-24.23,0
1746815928.509951,-2.0,-0.68,-0.41,-22.8,11.47,17.73,-0.82,0.4,-0.31,-38.1,15.65,-24.18,0
1746815928.51095,-2.0,-0.61,-0.37,-20.67,12.39,19.37,-0.81,0.41,-0.28,-41.04,15.78,-24.05,0
1746815928.511951,-2.0,-0.66,-0.36,-21.41,12.04,15.63,-0.84,0.41,-0.25,-39.47,11.41,-25.02,0
1746815928.512952,-2.0,-0.6,-0.38,-19.47,11.08,12.12,-0.87,0.42,-0.24,-43.68,11.15,-25.89,0
1746815928.513951,-2.0,-0.65,-0.36,-20.47,30.8,11.45,-0.92,0.4,-0.23,-48.19,2.42,-25.76,0
1746815928.514949,-2.0,-0.62,-0.32,-21.12,35.24,11.57,-0.9,0.38,-0.27,-44.4,-1.89,-23.15,0
1746815928.514949,-2.0,-0.74,-0.4,-25.3,21.08,7.93,-0.9,0.38,-0.3,-32.55,-6.7,-16.89,0
1746815928.516311,-2.0,-0.73,-0.35,-20.95,3.47,14.89,-0.88,0.36,-0.33,-12.46,-1.47,-8.07,0
1746815928.51731,-2.0,-0.71,-0.35,-22.18,6.15,14.66,-0.9,0.38,-0.33,4.01,-3.09,0.19,0
1746815928.51731,-2.0,-0.7,-0.31,-29.18,-10.37,15.6,-0.9,0.42,-0.34,14.01,1.68,8.31,0
1746815928.518311,-2.0,-0.7,-0.39,-34.03,-24.08,16.63,-0.84,0.41,-0.38,14.95,4.97,11.83,0
1746815928.519311,-2.0,-0.79,-0.43,-32.68,-8.2,12.47,-0.84,0.41,-0.35,16.75,1.86,13.26,0
1746815928.520321,-2.0,-0.8,-0.4,-30.33,0.0,9.95,-0.79,0.42,-0.36,12.4,5.92,12.74,0
1746815928.520321,-2.0,-0.82,-0.4,-30.34,-7.63,8.11,-0.79,0.43,-0.33,9.72,3.36,10.33,0
1746815928.521312,-2.0,-0.84,-0.42,-24.19,-0.79,13.92,-0.79,0.45,-0.32,-3.24,10.17,5.5,0
1746815928.52231,-2.0,-0.8,-0.36,-25.05,12.21,11.8,-0.79,0.43,-0.32,-13.95,8.94,0.02,0
1746815928.52331,-2.0,-0.81,-0.36,-24.78,4.26,16.42,-0.81,0.42,-0.31,-19.73,12.21,-3.4,0
1746815928.52331,-2.0,-0.79,-0.4,-22.67,18.58,14.76,-0.8,0.41,-0.33,-19.89,12.76,-4.64,0
1746815928.525845,-2.0,-0.75,-0.37,-23.88,16.75,10.37,-0.82,0.41,-0.31,-16.49,12.65,-4.47,0
1746815928.52707,-2.0,-0.8,-0.39,-22.4,17.1,15.63,-0.85,0.41,-0.31,-13.33,9.92,-3.63,0
1746815928.529071,-2.0,-0.77,-0.32,-20.94,15.65,13.82,-0.87,0.43,-0.31,-13.33,7.02,-2.83,0
1746815928.529071,-2.0,-0.73,-0.35,-15.5,4.85,17.93,-0.85,0.44,-0.33,-11.95,7.77,-1.35,0
1746815928.531071,-2.0,-0.74,-0.35,-13.32,16.21,16.07,-0.84,0.46,-0.35,-14.01,9.01,0.07,0
1746815928.53207,-2.0,-0.69,-0.36,-10.47,12.98,19.54,-0.84,0.48,-0.39,-17.54,12.78,1.56,0
1746815928.533069,-2.0,-0.75,-0.34,-12.87,2.58,15.37,-0.85,0.48,-0.39,-22.71,15.61,2.36,0
1746815928.533069,-2.0,-0.71,-0.34,-13.52,-8.19,13.63,-0.88,0.47,-0.4,-28.6,16.89,2.21,0
1746815928.534071,-2.0,-0.69,-0.4,-15.26,-4.54,5.03,-0.92,0.46,-0.42,-34.45,20.53,1.96,0
1746815928.535071,-2.0,-0.61,-0.37,-18.56,-10.6,1.34,-0.96,0.45,-0.42,-39.56,21.59,0.56,0
1746815928.535071,-2.0,-0.64,-0.45,-26.6,-14.18,-9.91,-0.97,0.44,-0.41,-44.91,26.08,-1.66,0
1746815928.536441,-2.0,-0.7,-0.44,-26.97,-7.83,-31.37,-0.96,0.44,-0.39,-49.31,29.18,-3.0,0
1746815928.537562,-2.0,-0.8,-0.43,-28.96,-18.87,-41.84,-0.93,0.44,-0.38,-52.36,27.72,-2.56,0
1746815928.538564,-2.0,-0.75,-0.41,-21.57,-21.92,-41.83,-0.9,0.44,-0.37,-54.59,24.56,0.34,0
1746815928.539564,-2.0,-0.79,-0.42,-18.53,-0.66,-42.09,-0.87,0.43,-0.35,-55.08,22.89,6.29,0
1746815928.540573,-2.0,-0.77,-0.3,-16.99,4.67,-37.0,-0.85,0.41,-0.33,-53.24,21.33,12.96,0
1746815928.540573,-2.0,-0.81,-0.3,-11.73,1.26,-26.61,-0.82,0.4,-0.34,-52.46,18.43,19.24,0
1746815928.542093,-2.0,-0.78,-0.28,0.34,6.82,-21.98,-0.78,0.39,-0.33,-53.24,19.17,24.11,0
1746815928.543144,-2.0,-0.66,-0.23,3.59,16.42,-20.08,-0.78,0.36,-0.32,-54.22,18.12,26.83,0
1746815928.544143,-2.0,-0.66,-0.21,7.12,8.86,-19.08,-0.78,0.33,-0.34,-53.35,16.52,28.08,0
1746815928.54565,-2.0,-0.65,-0.25,9.97,8.43,-17.69,-0.82,0.29,-0.35,-49.41,14.01,28.67,0
1746815928.546791,-2.0,-0.61,-0.26,12.81,3.4,-16.52,-0.86,0.21,-0.4,-42.5,13.41,25.25,0
1746815928.547826,-2.0,-0.63,-0.34,9.9,5.9,-18.96,-0.96,0.22,-0.38,-39.37,8.87,18.66,0
1746815928.547826,-2.0,-0.6,-0.38,4.96,-6.01,-24.73,-0.99,0.2,-0.45,-33.7,14.42,8.68,0
1746815928.548845,-2.0,-0.67,-0.43,-0.42,4.55,-31.13,-0.99,0.25,-0.54,-32.86,12.82,-6.81,0
1746815928.54985,-2.0,-0.75,-0.53,3.15,17.72,-31.58,-1.21,0.24,-0.37,-25.95,-10.64,-18.54,0
1746815928.550868,-2.0,-0.74,-0.44,0.58,24.69,-32.48,-1.06,0.33,-0.54,-23.77,-12.85,-22.02,0
1746815928.550868,-2.0,-0.73,-0.5,2.52,36.85,-27.24,-1.07,0.34,-0.54,-8.77,-16.02,-19.84,0
1746815928.55189,-2.0,-0.66,-0.34,-4.37,37.61,-22.92,-0.97,0.38,-0.64,12.6,-9.42,-12.44,0
1746815928.55299,-2.0,-0.73,-0.3,-7.82,53.39,-17.66,-0.9,0.4,-0.68,23.77,-2.27,-0.27,0
1746815928.554005,-2.0,-0.75,-0.3,-6.59,54.91,-3.56,-0.87,0.41,-0.7,44.2,-5.06,15.59,0
1746815928.554005,-2.0,-0.76,-0.23,-2.32,38.65,10.88,-0.94,0.48,-0.57,53.82,-15.52,30.8,0
1746815928.555517,-2.0,-0.7,-0.2,-0.31,18.27,29.69,-0.9,0.51,-0.55,42.12,-8.69,41.89,0
1746815928.555517,-2.0,-0.64,-0.18,-3.05,-0.1,46.63,-0.91,0.47,-0.51,37.14,-8.66,50.79,0
1746815928.556538,-2.0,-0.69,-0.21,-0.73,-4.88,60.61,-0.84,0.45,-0.52,25.68,-1.98,53.65,0
1746815928.557553,-2.0,-0.58,-0.29,9.38,5.47,67.78,-0.79,0.43,-0.54,8.66,8.46,52.46,0
1746815928.557553,-2.0,-0.54,-0.31,5.48,-4.94,63.06,-0.79,0.37,-0.53,-2.07,7.29,48.6,0
1746815928.558572,-2.0,-0.54,-0.26,0.5,-1.5,49.85,-0.78,0.32,-0.52,-11.21,9.82,41.42,0
1746815928.560589,-2.0,-0.48,-0.24,-1.24,-2.52,35.57,-0.77,0.26,-0.51,-16.21,15.01,31.27,0
