timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746815445.128938,-2.0,-0.76,0.15,74.15,38.28,40.64,-0.56,0.4,-0.32,65.31,-28.47,10.64,0
1746815445.128938,-2.0,-0.71,0.17,92.58,41.89,31.88,-0.47,0.43,-0.37,50.21,-12.91,14.37,0
1746815445.128938,-2.0,-0.67,0.18,100.06,39.42,22.47,-0.59,0.39,-0.26,28.37,-5.44,10.42,0
1746815445.137828,-2.0,-0.55,0.23,102.44,34.35,12.08,-0.55,0.4,-0.33,-11.54,7.79,0.2,0
1746815445.1389,-2.0,-0.44,0.16,92.31,31.85,-3.24,-0.67,0.37,-0.23,-39.53,25.52,-8.92,0
1746815445.140042,-2.0,-0.4,0.06,88.73,30.21,-22.09,-0.67,0.35,-0.3,-65.0,49.01,-20.65,0
1746815445.142112,-2.0,-0.32,0.01,76.11,0.47,-29.1,-0.86,0.3,-0.19,-74.27,70.6,-39.15,0
1746815445.14368,-2.0,-0.33,-0.12,76.05,-1.9,-36.22,-0.8,0.35,-0.27,-107.56,65.33,-55.26,0
1746815445.144732,-2.0,-0.29,-0.18,61.92,-8.62,-38.66,-0.98,0.32,-0.11,-141.04,134.24,-68.52,0
1746815445.145701,-2.0,-0.36,-0.2,60.08,-4.81,-35.92,-1.04,0.32,-0.07,-163.36,142.5,-86.21,0
1746815445.146761,-2.0,-0.44,-0.19,67.39,5.25,-31.76,-1.05,0.36,0.01,-182.0,155.02,-97.68,0
1746815445.147701,-2.0,-0.45,-0.02,72.05,9.92,-22.79,-0.85,0.12,-0.01,-167.17,183.15,-68.24,0
1746815445.1487,-2.0,-0.37,0.01,73.53,2.84,-13.7,-1.41,-0.03,0.35,-134.0,156.92,-110.34,0
1746815445.150255,-2.0,-0.33,0.03,57.03,-11.84,-11.53,-1.23,0.15,0.48,-174.26,159.47,-104.54,0
1746815445.151271,-2.0,-0.42,0.05,36.98,-10.85,-21.98,-1.01,-0.05,0.26,-178.23,111.27,-79.73,0
1746815445.151271,-2.0,-0.39,0.08,6.57,-14.09,-38.45,-1.19,-0.07,0.46,-56.29,111.81,-65.98,0
1746815445.152333,-2.0,-0.44,0.15,-12.93,-33.73,-33.66,-0.8,0.08,0.11,-23.46,71.22,-47.95,0
1746815445.153364,-2.0,-0.49,0.21,-5.24,-4.32,-56.15,-0.92,0.22,0.41,-24.4,67.81,-35.13,0
1746815445.154374,-2.0,-0.44,0.1,-3.38,-29.69,-45.55,-1.15,0.22,0.6,55.13,69.53,-28.33,0
1746815445.155722,-2.0,-0.31,0.21,-12.84,-39.52,-45.3,-0.76,0.36,0.15,84.5,71.84,-23.33,0
1746815445.155967,-2.0,-0.31,0.17,-40.89,-42.63,-38.51,-0.9,0.58,0.18,87.87,64.23,-20.27,0
1746815445.157911,-2.0,-0.36,0.17,-52.96,-41.36,-41.96,-0.97,0.65,0.14,37.63,26.06,-29.13,0
1746815445.158766,-2.0,-0.41,0.17,-62.5,-24.92,-52.63,-1.05,0.63,0.24,-30.93,19.11,-37.45,0
1746815445.15942,-2.0,-0.41,0.01,-50.4,-29.21,-62.72,-0.92,0.53,0.01,-56.65,64.99,-38.25,0
1746815445.159981,-2.0,-0.33,-0.09,-31.02,-29.04,-63.64,-0.97,0.43,-0.07,-28.37,15.92,-37.5,0
1746815445.161745,-2.0,-0.28,-0.2,-22.62,-72.19,-41.44,-1.03,0.35,-0.05,-17.24,2.88,-31.67,0
1746815445.162759,-2.0,-0.3,-0.23,-17.47,-61.76,-37.05,-0.99,0.42,-0.08,-35.53,-8.99,-32.83,0
1746815445.162759,-2.0,-0.31,-0.26,-19.06,-53.37,-22.44,-0.99,0.52,-0.01,-40.73,-19.21,-26.65,0
1746815445.16389,-2.0,-0.35,-0.33,-18.19,-22.74,-35.09,-0.96,0.5,-0.07,-53.28,43.06,-21.82,0
1746815445.164691,-2.0,-0.41,-0.18,-16.86,-27.65,-23.26,-0.94,0.52,-0.08,-49.31,28.66,-21.94,0
