timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1746815063.549536,2.0,-0.44,-0.86,-46.2,21.59,6.63,-1.1,0.47,-0.15,9.31,15.7,-44.23,0
1746815063.559841,-2.0,-0.53,-0.86,-38.73,30.95,10.45,-1.05,0.52,-0.09,5.54,-8.43,-44.67,0
1746815063.561386,-2.0,-0.51,-0.76,-41.36,31.45,8.29,-0.95,0.53,-0.09,3.73,3.96,-42.05,0
1746815063.563637,-2.0,-0.51,-0.69,-31.2,23.18,13.54,-0.89,0.55,-0.07,-2.31,-2.82,-37.7,0
1746815063.563637,-2.0,-0.48,-0.61,-25.69,19.76,14.02,-0.83,0.56,-0.03,-6.03,2.79,-32.18,0
1746815063.563637,-2.0,-0.45,-0.57,-14.47,13.13,15.12,-0.85,0.55,0.06,-3.72,-19.18,-24.59,0
1746815063.563637,-2.0,-0.4,-0.53,-6.62,9.27,10.78,-0.77,0.52,0.02,-8.14,-17.63,-17.81,0
1746815063.571739,-2.0,-0.36,-0.49,-0.12,4.7,5.86,-0.68,0.47,-0.04,-8.95,-10.92,-10.98,0
1746815063.573244,-2.0,-0.35,-0.48,2.59,-2.44,3.37,-0.68,0.44,-0.04,-1.6,-16.56,-5.09,0
1746815063.574602,-2.0,-0.32,-0.46,-3.78,-5.99,-4.44,-0.7,0.42,-0.05,7.76,-12.08,-2.15,0
1746815063.575997,-2.0,-0.33,-0.43,-11.52,-6.73,-10.04,-0.73,0.43,-0.05,13.4,-19.36,-4.52,0
1746815063.577,-2.0,-0.36,-0.5,-4.81,-6.89,-11.37,-0.76,0.39,-0.1,12.47,-3.73,-8.6,0
1746815063.578974,-2.0,-0.33,-0.44,-11.54,-2.78,-20.3,-0.76,0.4,-0.17,7.37,-4.56,-12.16,0
1746815063.580038,-2.0,-0.33,-0.49,-9.49,-8.5,-23.31,-0.79,0.37,-0.18,6.15,2.25,-11.43,0
1746815063.581319,-2.0,-0.33,-0.51,-10.15,-10.86,-28.52,-0.82,0.4,-0.15,3.41,-18.92,-13.47,0
1746815063.582339,-2.0,-0.3,-0.53,-11.66,-17.07,-31.86,-0.71,0.42,-0.21,-12.69,-7.23,-14.68,0
1746815063.583275,-2.0,-0.28,-0.54,-10.63,-18.92,-34.21,-0.78,0.43,-0.1,-26.94,-0.89,-16.31,0
1746815063.583842,-2.0,-0.31,-0.55,-6.68,-20.86,-34.34,-0.71,0.41,-0.14,-39.15,34.07,-13.98,0
1746815063.584844,-2.0,-0.29,-0.54,-15.53,-23.84,-40.06,-0.74,0.33,-0.09,-38.69,-2.43,-15.34,0
1746815063.586844,-2.0,-0.28,-0.6,-15.27,-27.37,-44.08,-0.76,0.32,-0.02,-41.94,24.4,-15.62,0
1746815063.587924,-2.0,-0.3,-0.6,-21.78,-31.77,-49.92,-0.71,0.3,-0.05,-41.31,18.62,-15.46,0
1746815063.589084,-2.0,-0.25,-0.63,-21.31,-22.11,-53.82,-0.73,0.39,-0.03,-42.3,15.24,-12.86,0
1746815063.589084,-2.0,-0.26,-0.59,-26.34,-23.48,-53.11,-0.78,0.37,-0.02,-41.86,13.13,-14.07,0
1746815063.59137,-2.0,-0.29,-0.65,-25.0,-22.99,-47.72,-0.88,0.36,0.01,-39.44,19.63,-13.92,0
1746815063.592414,-2.0,-0.3,-0.69,-16.41,-17.89,-38.81,-0.96,0.37,-0.02,-34.43,24.3,-14.93,0
1746815063.59344,-2.0,-0.29,-0.74,-14.32,-12.39,-31.76,-1.08,0.4,0.0,-24.48,23.74,-15.96,0
1746815063.593994,-2.0,-0.25,-0.78,-11.47,-13.89,-21.31,-1.19,0.45,-0.01,-16.37,10.29,-16.42,0
1746815063.593994,-2.0,-0.27,-0.91,-5.74,-6.24,-11.79,-1.2,0.55,-0.09,-18.34,17.67,-10.76,0
1746815063.593994,-2.0,-0.2,-0.83,-9.47,-13.73,0.53,-1.52,0.5,0.09,-3.95,-6.42,-9.02,0
