timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744136332.363202,0.21,-0.33,0.3,-5.79,5.15,4.96,-0.93,0.25,-0.31,1.82,0.08,6.37,0
1744136332.363202,0.21,-0.34,0.3,-3.63,3.82,5.12,-0.93,0.27,-0.31,0.27,2.82,5.39,0
1744136332.36982,0.21,-0.34,0.31,-2.05,3.08,5.96,-0.93,0.26,-0.29,-1.53,3.27,4.95,0
1744136332.371443,0.21,-0.33,0.29,-0.97,2.25,5.6,-0.92,0.26,-0.29,-0.87,4.95,4.48,0
1744136332.373968,0.21,-0.33,0.31,-1.85,1.72,5.85,-0.92,0.26,-0.29,-0.69,6.66,4.33,0
1744136332.375613,0.21,-0.33,0.29,-3.19,1.67,5.81,-0.94,0.26,-0.27,-0.47,4.58,4.11,0
1744136332.376669,0.2,-0.33,0.3,-4.35,1.66,5.73,-0.92,0.25,-0.29,0.11,3.22,3.75,0
1744136332.377961,0.21,-0.34,0.31,-5.29,1.52,5.5,-0.92,0.25,-0.28,0.75,4.08,2.37,0
1744136332.379224,0.21,-0.34,0.31,-5.34,1.56,6.05,-0.94,0.25,-0.3,1.5,3.47,0.08,0
1744136332.381227,0.21,-0.33,0.31,-5.23,1.58,6.0,-0.91,0.24,-0.31,2.31,3.85,-3.59,0
1744136332.382549,0.21,-0.33,0.3,-6.26,2.57,4.73,-0.9,0.23,-0.33,4.51,9.16,-8.87,0
1744136332.383298,0.21,-0.34,0.31,-7.85,4.33,4.66,-0.92,0.26,-0.33,4.25,14.4,-13.05,0
1744136332.384447,0.21,-0.34,0.29,-8.37,4.29,6.13,-0.91,0.25,-0.34,2.35,17.98,-16.38,0
1744136332.385557,0.22,-0.34,0.31,-6.37,1.77,5.31,-0.91,0.23,-0.35,2.02,22.07,-21.77,0
1744136332.387638,0.21,-0.34,0.3,-5.52,1.69,4.89,-0.92,0.23,-0.37,1.44,26.47,-30.33,0
1744136332.3886,0.23,-0.32,0.3,-6.62,2.61,5.41,-0.91,0.24,-0.38,-2.67,32.55,-37.8,0
1744136332.3903,0.21,-0.34,0.3,-6.76,2.62,6.34,-0.93,0.27,-0.38,-11.28,41.89,-41.46,0
1744136332.392289,0.21,-0.33,0.3,-5.1,1.47,6.56,-0.94,0.22,-0.38,-16.92,46.2,-46.13,0
1744136332.39398,0.22,-0.33,0.31,-3.95,0.85,5.51,-0.95,0.23,-0.37,-17.81,48.69,-48.66,0
1744136332.394413,0.23,-0.33,0.31,-5.05,0.53,5.3,-0.95,0.2,-0.37,-17.83,49.61,-47.98,0
1744136332.395528,0.21,-0.34,0.29,-5.46,0.73,6.07,-0.96,0.2,-0.36,-16.82,49.98,-47.5,0
1744136332.396924,0.21,-0.34,0.3,-4.0,-1.14,5.85,-0.99,0.23,-0.35,-17.88,42.65,-43.24,0
1744136332.398225,0.22,-0.34,0.3,-3.68,-2.7,6.03,-1.0,0.2,-0.35,-18.26,35.56,-39.93,0
1744136332.400314,0.22,-0.34,0.29,-4.07,-2.65,5.77,-0.96,0.18,-0.37,-15.42,30.05,-38.39,0
1744136332.402035,0.22,-0.33,0.28,-5.13,-1.38,4.66,-0.96,0.19,-0.37,-13.06,27.21,-34.51,0
1744136332.402542,0.22,-0.34,0.28,-6.4,-0.79,3.15,-0.96,0.18,-0.37,-12.12,28.24,-29.86,0
1744136332.403841,0.22,-0.34,0.29,-7.51,-0.82,1.53,-0.96,0.17,-0.39,-10.0,25.69,-26.36,0
1744136332.405924,0.22,-0.33,0.27,-9.58,0.58,1.6,-0.97,0.16,-0.39,-9.69,20.84,-22.72,0
1744136332.407823,0.21,-0.33,0.28,-10.62,1.37,2.68,-0.96,0.15,-0.41,-9.33,22.35,-21.59,0
1744136332.409815,0.21,-0.34,0.31,-8.96,0.26,2.52,-0.95,0.2,-0.45,-10.84,24.28,-19.59,0
1744136332.411099,0.23,-0.33,0.27,-9.14,0.94,2.77,-1.0,0.12,-0.39,-9.88,17.32,-21.21,0
1744136332.411099,0.21,-0.34,0.3,-8.18,-0.73,2.58,-0.98,0.14,-0.41,-8.27,16.69,-21.25,0
1744136332.411099,0.2,-0.33,0.3,-8.43,1.18,3.38,-1.01,0.19,-0.38,-9.78,12.1,-19.43,0
1744136332.411099,0.21,-0.33,0.28,-11.15,4.81,3.37,-0.96,0.12,-0.42,-10.27,13.08,-18.88,0
1744136332.411099,0.23,-0.32,0.26,-12.87,7.49,3.37,-0.95,0.16,-0.43,-8.46,13.18,-15.57,0
1744136332.411099,0.22,-0.31,0.25,-12.46,6.94,3.31,-0.98,0.09,-0.41,-7.86,9.29,-12.18,0
1744136332.417829,0.22,-0.31,0.29,-9.42,3.5,2.5,-0.94,0.1,-0.45,-7.99,11.06,-8.52,0
1744136332.419943,0.22,-0.31,0.3,-7.74,1.08,3.42,-0.97,0.11,-0.41,-4.89,3.03,-3.24,0
1744136332.42086,0.23,-0.3,0.29,-8.77,1.08,5.5,-0.98,0.1,-0.44,-3.98,2.13,-2.45,0
1744136332.423547,0.23,-0.29,0.28,-9.71,0.54,6.82,-0.96,0.11,-0.45,-4.61,4.33,-3.52,0
1744136332.425322,0.22,-0.29,0.29,-10.36,0.56,8.49,-0.97,0.1,-0.44,-3.34,4.03,-2.22,0
1744136332.426209,0.22,-0.31,0.29,-9.34,1.11,7.63,-0.97,0.1,-0.45,-0.92,3.05,-1.6,0
1744136332.428208,0.22,-0.31,0.29,-8.67,2.2,8.67,-0.95,0.11,-0.44,1.28,2.74,2.46,0
1744136332.428815,0.22,-0.31,0.29,-6.92,2.29,9.25,-0.98,0.14,-0.42,-0.8,-1.0,3.98,0
1744136332.431063,0.22,-0.32,0.3,-5.77,2.41,9.69,-0.98,0.15,-0.4,-5.47,-4.8,3.67,0
1744136332.431063,0.22,-0.32,0.29,-5.22,3.52,10.64,-0.96,0.15,-0.42,-7.4,-2.74,3.04,0
1744136332.431063,0.22,-0.32,0.29,-5.07,4.45,10.98,-0.94,0.15,-0.44,-9.97,-0.58,4.95,0
1744136332.431063,0.21,-0.32,0.29,-5.47,4.15,10.85,-0.97,0.16,-0.4,-12.38,-3.31,7.01,0
1744136332.436754,0.21,-0.32,0.3,-6.06,3.63,9.84,-0.94,0.14,-0.43,-13.99,-2.37,7.78,0
1744136332.437799,0.22,-0.32,0.31,-7.53,2.81,8.93,-0.95,0.15,-0.42,-16.24,-7.54,9.34,0
1744136332.440164,0.22,-0.33,0.31,-9.15,2.66,9.03,-0.97,0.13,-0.42,-16.99,-10.23,9.72,0
1744136332.442033,0.21,-0.34,0.31,-9.44,2.46,8.69,-0.94,0.1,-0.47,-13.73,-8.44,3.88,0
1744136332.443073,0.21,-0.34,0.3,-10.0,2.39,7.71,-0.94,0.09,-0.49,-12.37,-5.21,1.0,0
1744136332.444682,0.22,-0.34,0.31,-10.87,3.18,6.81,-0.94,0.07,-0.51,-10.42,2.7,-3.78,0
1744136332.4457,0.2,-0.35,0.3,-10.41,2.07,7.27,-0.94,0.11,-0.49,-8.93,6.65,-5.89,0
1744136332.446728,0.21,-0.35,0.3,-8.09,-0.13,5.76,-0.94,0.1,-0.47,-8.77,8.87,-5.12,0
1744136332.448829,0.21,-0.34,0.31,-7.02,-0.61,5.33,-0.95,0.12,-0.45,-8.81,7.92,-3.31,0
1744136332.449869,0.22,-0.33,0.31,-9.4,0.19,5.4,-0.95,0.11,-0.45,-8.08,5.89,-0.15,0
1744136332.451019,0.21,-0.31,0.29,-10.52,0.05,4.97,-0.94,0.08,-0.44,-7.33,3.59,1.8,0
1744136332.451542,0.21,-0.31,0.31,-11.55,-1.37,4.41,-0.94,0.08,-0.44,-6.35,-0.07,2.31,0
