timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744131319.398424,-2.0,-0.19,-0.39,1.27,-0.15,9.31,-0.75,0.06,-0.72,-16.15,41.18,-10.05,0
1744131319.398424,-2.0,-0.18,-0.39,0.73,-2.55,7.49,-0.81,0.06,-0.72,-12.42,71.64,-19.46,0
1744131319.398424,-2.0,-0.18,-0.41,-0.78,-2.04,5.18,-0.78,-0.03,-0.89,-22.68,89.8,-39.38,0
1744131319.407091,-2.0,-0.18,-0.4,-1.25,-1.89,2.73,-0.74,0.05,-0.81,-39.68,116.57,-76.47,0
1744131319.408575,-2.0,-0.17,-0.41,-3.66,0.5,0.06,-0.9,-0.08,-0.64,-37.07,116.87,-108.56,0
1744131319.408575,-2.0,-0.16,-0.42,-5.15,2.31,-2.38,-0.99,0.02,-0.61,-25.16,102.31,-99.71,0
1744131319.409601,-2.0,-0.16,-0.43,-7.15,1.04,-3.9,-0.79,-0.03,-0.97,-1.61,132.72,-97.59,0
1744131319.411325,-2.0,-0.16,-0.42,-8.94,0.7,-3.65,-1.0,0.31,-0.73,-30.5,98.68,-90.2,0
1744131319.41194,-2.0,-0.16,-0.42,-9.08,0.67,-3.3,-0.89,0.18,-0.59,-20.31,51.45,-58.98,0
1744131319.412749,-2.0,-0.16,-0.41,-9.01,-0.02,-2.57,-0.7,0.03,-0.66,-5.26,15.78,-42.37,0
1744131319.413175,-2.0,-0.15,-0.42,-9.2,0.14,-2.14,-0.72,0.03,-0.78,13.4,19.39,-17.94,0
1744131319.413175,-2.0,-0.15,-0.43,-9.42,-0.45,-1.92,-0.66,0.01,-0.88,24.86,52.42,-14.21,0
1744131319.413175,-2.0,-0.16,-0.43,-10.5,0.74,-0.79,-0.75,-0.09,-0.77,35.29,77.83,2.83,0
1744131319.413175,-2.0,-0.15,-0.43,-10.33,0.91,0.91,-0.74,-0.06,-0.83,49.15,89.56,0.98,0
1744131319.413175,-2.0,-0.15,-0.43,-9.8,-1.21,2.08,-0.82,-0.01,-0.82,53.85,82.69,3.53,0
1744131319.413175,-2.0,-0.16,-0.43,-9.07,-0.85,2.76,-0.86,0.02,-0.75,46.18,55.97,6.47,0
1744131319.413175,-2.0,-0.15,-0.43,-7.94,0.47,3.27,-0.78,-0.02,-0.86,36.71,33.68,8.79,0
1744131319.413175,-2.0,-0.15,-0.42,-7.75,-0.1,3.81,-0.7,-0.07,-0.95,34.66,38.24,4.42,0
1744131319.418729,-2.0,-0.15,-0.42,-6.96,-0.89,5.15,-0.71,-0.01,-0.93,30.4,48.4,0.46,0
1744131319.418729,-2.0,-0.14,-0.41,-7.08,-1.41,6.07,-0.73,-0.0,-0.85,17.95,45.73,-6.61,0
1744131319.418729,-2.0,-0.14,-0.4,-7.7,-0.27,6.74,-0.72,-0.01,-0.88,10.68,46.55,-12.7,0
1744131319.418729,-2.0,-0.15,-0.4,-7.3,1.52,7.15,-0.72,-0.04,-0.86,6.75,35.7,-17.53,0
1744131319.418729,-2.0,-0.14,-0.38,-8.0,4.4,7.79,-0.72,-0.04,-0.85,-0.18,19.89,-24.39,0
1744131319.418729,-2.0,-0.14,-0.38,-9.91,5.76,8.32,-0.69,-0.03,-0.88,-4.82,19.82,-28.37,0
1744131319.418729,-2.0,-0.15,-0.39,-12.1,7.15,8.62,-0.74,0.02,-0.87,-12.99,9.16,-19.41,0
1744131319.418729,-2.0,-0.15,-0.39,-15.46,7.35,8.12,-0.71,-0.03,-0.88,-22.18,-3.63,-17.92,0
1744131319.418729,-2.0,-0.15,-0.39,-18.37,8.24,6.83,-0.7,-0.04,-0.89,-21.26,-12.46,-16.37,0
1744131319.418729,-2.0,-0.16,-0.39,-22.03,9.82,5.5,-0.69,-0.05,-0.93,-17.89,-11.56,-11.33,0
1744131319.42445,-2.0,-0.17,-0.39,-23.78,9.15,4.21,-0.7,-0.01,-0.91,-10.95,-5.26,-5.42,0
