timestamp,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,em_movimento
1744131106.43019,-2.0,-0.52,-0.41,12.61,31.43,-17.17,0.24,0.66,-0.67,-37.92,57.46,74.11,0
1744131106.431121,-2.0,-0.5,-0.4,9.21,33.03,-18.4,0.32,0.57,-0.59,-22.05,85.46,93.51,0
1744131106.431121,-2.0,-0.54,-0.43,9.13,36.3,-19.98,-0.04,0.71,-0.29,-28.44,55.5,77.78,0
1744131106.431121,-2.0,-0.54,-0.43,5.43,31.0,-23.63,0.19,0.74,-0.49,-15.57,55.98,84.29,0
1744131106.431121,-2.0,-0.57,-0.45,6.69,40.77,-25.92,0.29,0.76,-0.51,-7.81,70.69,87.74,0
1744131106.431121,-2.0,-0.62,-0.46,6.47,46.77,-27.47,0.14,0.7,-0.37,14.48,43.69,101.21,0
1744131106.431121,-2.0,-0.69,-0.46,14.05,45.1,-28.58,0.25,0.7,-0.36,19.42,26.3,102.08,0
1744131106.431121,-2.0,-0.66,-0.45,11.5,45.27,-30.33,0.14,0.85,-0.3,13.74,2.05,87.68,0
1744131106.431121,-2.0,-0.68,-0.41,16.89,50.84,-30.96,0.42,0.81,-0.4,22.92,69.83,92.79,0
1744131106.431121,-2.0,-0.68,-0.39,6.36,51.7,-32.85,0.29,0.91,-0.4,9.44,44.92,75.79,0
1744131106.431121,-2.0,-0.67,-0.39,-1.07,55.96,-33.76,0.33,0.85,-0.35,11.76,43.36,86.28,0
1744131106.431121,-2.0,-0.73,-0.37,2.15,53.9,-32.34,0.55,0.84,-0.56,13.28,32.86,78.46,0
1744131106.438874,-2.0,-0.75,-0.37,3.79,45.31,-31.79,0.39,0.95,-0.42,9.3,50.95,70.3,0
1744131106.438874,-2.0,-0.75,-0.4,6.63,43.02,-30.89,0.6,0.98,-0.53,-14.02,111.08,64.0,0
1744131106.438874,-2.0,-0.77,-0.43,10.69,31.47,-24.37,0.33,1.14,-0.31,-38.95,115.21,57.1,0
1744131106.438874,-2.0,-0.68,-0.1,15.7,23.64,-18.5,0.35,1.07,-0.25,-48.24,90.76,60.14,0
1744131106.438874,-2.0,-0.79,-0.39,21.69,25.73,-21.18,0.44,0.98,-0.32,-40.12,32.53,67.79,0
1744131106.438874,-2.0,-0.71,-0.33,17.53,36.73,-22.88,0.38,0.94,-0.25,-41.02,1.81,62.25,0
